assembly_index,nonlinearity_strength,measurement_noise_mm,method,final_quality
1,0.0,0.0,ZERO,1.5342477805167538
1,0.0,0.0,LSQ,0.07605579481369386
1,0.0,0.0,LOCKED_HYBRID,0.1152794702606777
2,0.0,0.0,ZERO,1.3284158434111055
2,0.0,0.0,LSQ,0.28255240561608
2,0.0,0.0,LOCKED_HYBRID,0.26879558238080686
3,0.0,0.0,ZERO,2.5917702492582455
3,0.0,0.0,LSQ,0.16852256110224528
3,0.0,0.0,LOCKED_HYBRID,0.18853410655040856
4,0.0,0.0,ZERO,1.5409505885437198
4,0.0,0.0,LSQ,0.3207253915373924
4,0.0,0.0,LOCKED_HYBRID,0.31592170071018943
5,0.0,0.0,ZERO,2.318380693796794
5,0.0,0.0,LSQ,0.11378977855117448
5,0.0,0.0,LOCKED_HYBRID,0.11130374084450033
6,0.0,0.0,ZERO,0.9943972574791287
6,0.0,0.0,LSQ,1.0137003020091537
6,0.0,0.0,LOCKED_HYBRID,0.8658797069319613
7,0.0,0.0,ZERO,1.869381604659369
7,0.0,0.0,LSQ,0.34166722523239434
7,0.0,0.0,LOCKED_HYBRID,0.27859727812767243
8,0.0,0.0,ZERO,2.2315627758934418
8,0.0,0.0,LSQ,0.94715924376475
8,0.0,0.0,LOCKED_HYBRID,0.783161642942088
9,0.0,0.0,ZERO,1.1530119126597849
9,0.0,0.0,LSQ,0.42391700559668744
9,0.0,0.0,LOCKED_HYBRID,0.3514547088986719
10,0.0,0.0,ZERO,1.4221495252781753
10,0.0,0.0,LSQ,0.7472257115285501
10,0.0,0.0,LOCKED_HYBRID,0.5936125760192897
11,0.0,0.0,ZERO,2.2276467862574005
11,0.0,0.0,LSQ,0.33941015349642684
11,0.0,0.0,LOCKED_HYBRID,0.2863704941758433
12,0.0,0.0,ZERO,2.0305347781646526
12,0.0,0.0,LSQ,0.469114654439489
12,0.0,0.0,LOCKED_HYBRID,0.4331168258180923
13,0.0,0.0,ZERO,0.801672187289214
13,0.0,0.0,LSQ,0.2452714205254234
13,0.0,0.0,LOCKED_HYBRID,0.19762495858119145
14,0.0,0.0,ZERO,0.6485239917035357
14,0.0,0.0,LSQ,0.3311176748852865
14,0.0,0.0,LOCKED_HYBRID,0.2909218389015944
15,0.0,0.0,ZERO,1.5765215827149157
15,0.0,0.0,LSQ,0.14766482287649374
15,0.0,0.0,LOCKED_HYBRID,0.16004885575241146
16,0.0,0.0,ZERO,3.628462852213796
16,0.0,0.0,LSQ,0.303083896968297
16,0.0,0.0,LOCKED_HYBRID,0.3167742477384181
17,0.0,0.0,ZERO,0.7976188473266353
17,0.0,0.0,LSQ,0.17013869644591656
17,0.0,0.0,LOCKED_HYBRID,0.18711917154250454
18,0.0,0.0,ZERO,1.9392101505651989
18,0.0,0.0,LSQ,0.230375429325861
18,0.0,0.0,LOCKED_HYBRID,0.24265518454303509
19,0.0,0.0,ZERO,0.6399229518236
19,0.0,0.0,LSQ,0.34371736582230367
19,0.0,0.0,LOCKED_HYBRID,0.2967897557546659
20,0.0,0.0,ZERO,2.0091503641564437
20,0.0,0.0,LSQ,0.19555321419006766
20,0.0,0.0,LOCKED_HYBRID,0.17625381135517248
21,0.0,0.0,ZERO,4.2211016270796105
21,0.0,0.0,LSQ,0.3025357885978658
21,0.0,0.0,LOCKED_HYBRID,0.25845113876915643
22,0.0,0.0,ZERO,0.7791378592473812
22,0.0,0.0,LSQ,0.4727045180708985
22,0.0,0.0,LOCKED_HYBRID,0.39346555213284407
23,0.0,0.0,ZERO,0.9387689163955599
23,0.0,0.0,LSQ,0.07911227504698497
23,0.0,0.0,LOCKED_HYBRID,0.07892662066958749
24,0.0,0.0,ZERO,1.9936687115368452
24,0.0,0.0,LSQ,0.251318911980867
24,0.0,0.0,LOCKED_HYBRID,0.27003554948282366
25,0.0,0.0,ZERO,1.9513151407790752
25,0.0,0.0,LSQ,0.31474765590378284
25,0.0,0.0,LOCKED_HYBRID,0.3082997236587346
26,0.0,0.0,ZERO,1.4917386440140823
26,0.0,0.0,LSQ,0.18678738642374296
26,0.0,0.0,LOCKED_HYBRID,0.18292114487801284
27,0.0,0.0,ZERO,2.4166127589848014
27,0.0,0.0,LSQ,0.5453045440584328
27,0.0,0.0,LOCKED_HYBRID,0.45111109978231856
28,0.0,0.0,ZERO,2.2811374370306705
28,0.0,0.0,LSQ,0.5760612546438306
28,0.0,0.0,LOCKED_HYBRID,0.5363929550605872
29,0.0,0.0,ZERO,1.4285586159810915
29,0.0,0.0,LSQ,0.7122447961279428
29,0.0,0.0,LOCKED_HYBRID,0.628661253317995
30,0.0,0.0,ZERO,0.6658849129500888
30,0.0,0.0,LSQ,0.5448228832620456
30,0.0,0.0,LOCKED_HYBRID,0.47070116346379687
31,0.0,0.0,ZERO,2.2397953821965553
31,0.0,0.0,LSQ,0.42861562367075157
31,0.0,0.0,LOCKED_HYBRID,0.3920157693679853
32,0.0,0.0,ZERO,1.8048079171588252
32,0.0,0.0,LSQ,0.4458979077635785
32,0.0,0.0,LOCKED_HYBRID,0.3377768155600566
33,0.0,0.0,ZERO,2.4165525014803397
33,0.0,0.0,LSQ,0.3115639057524262
33,0.0,0.0,LOCKED_HYBRID,0.2703142674721739
34,0.0,0.0,ZERO,2.98423005705513
34,0.0,0.0,LSQ,0.7927293837038543
34,0.0,0.0,LOCKED_HYBRID,0.6445696745021827
35,0.0,0.0,ZERO,1.7743602875546443
35,0.0,0.0,LSQ,0.1848714307745749
35,0.0,0.0,LOCKED_HYBRID,0.16071869806231703
36,0.0,0.0,ZERO,2.851636172333662
36,0.0,0.0,LSQ,0.8092344917443768
36,0.0,0.0,LOCKED_HYBRID,0.6558798652017919
37,0.0,0.0,ZERO,0.602624737431612
37,0.0,0.0,LSQ,0.514038879924423
