iteration,current_score,best_score,method
1,4.72583163269591,4.72583163269591,random_search
2,4.665157770036824,4.665157770036824,random_search
3,12.630152384075693,4.665157770036824,random_search
4,3.00837827477813,3.00837827477813,random_search
5,13.765162868418606,3.00837827477813,random_search
6,7.4964202092507,3.00837827477813,random_search
7,9.561264324301591,3.00837827477813,random_search
8,17.017459190790092,3.00837827477813,random_search
9,2.666906078902796,2.666906078902796,random_search
10,3.520085271880382,2.666906078902796,random_search
11,16.826477362379926,2.666906078902796,random_search
12,4.936973049050184,2.666906078902796,random_search
13,5.1224208967755915,2.666906078902796,random_search
14,4.475705411465186,2.666906078902796,random_search
15,2.5857346297730084,2.5857346297730084,random_search
16,3.796391535110926,2.5857346297730084,random_search
17,3.550280528917801,2.5857346297730084,random_search
18,12.80457479698018,2.5857346297730084,random_search
19,12.382057010012932,2.5857346297730084,random_search
20,3.558316912019198,2.5857346297730084,random_search
21,5.271968615769976,2.5857346297730084,random_search
22,9.543399847632465,2.5857346297730084,random_search
23,2.3454875803574002,2.3454875803574002,random_search
24,2.554114322543393,2.3454875803574002,random_search
25,2.658727587334224,2.3454875803574002,random_search
26,2.3566316484564753,2.3454875803574002,random_search
27,12.481799924561129,2.3454875803574002,random_search
28,13.322369439087531,2.3454875803574002,random_search
29,4.669786157186267,2.3454875803574002,random_search
30,2.9123789124195714,2.3454875803574002,random_search
31,10.999884135692463,2.3454875803574002,random_search
32,2.365921543105104,2.3454875803574002,random_search
33,4.602393752890354,2.3454875803574002,random_search
34,16.203216809687348,2.3454875803574002,random_search
35,16.994529817815224,2.3454875803574002,random_search
36,4.821425079288791,2.3454875803574002,random_search
37,15.772448202582336,2.3454875803574002,random_search
38,2.368644984327034,2.3454875803574002,random_search
39,14.605093618328103,2.3454875803574002,random_search
40,4.496433388876285,2.3454875803574002,random_search
41,9.974485946494672,2.3454875803574002,random_search
42,5.603413576418651,2.3454875803574002,random_search
43,3.5685857030386035,2.3454875803574002,random_search
44,2.893836472831207,2.3454875803574002,random_search
45,2.5806715489940784,2.3454875803574002,random_search
46,16.920584108927937,2.3454875803574002,random_search
47,4.656923857641641,2.3454875803574002,random_search
48,16.457829596373685,2.3454875803574002,random_search
49,2.117337975758459,2.117337975758459,random_search
50,4.443845253718311,2.117337975758459,random_search
51,15.578191670433252,2.117337975758459,random_search
52,4.172851537949739,2.117337975758459,random_search
53,9.96406791271158,2.117337975758459,random_search
54,4.307428942621173,2.117337975758459,random_search
55,5.609958535274111,2.117337975758459,random_search
56,13.903275678257438,2.117337975758459,random_search
57,16.54528518850601,2.117337975758459,random_search
58,2.001805891591789,2.001805891591789,random_search
59,5.626338715329756,2.001805891591789,random_search
60,15.668472515228979,2.001805891591789,random_search
61,15.666532747274905,2.001805891591789,random_search
62,12.368488228717153,2.001805891591789,random_search
63,4.572948832177296,2.001805891591789,random_search
64,16.419211535050795,2.001805891591789,random_search
65,13.923469872152435,2.001805891591789,random_search
66,8.301683194937276,2.001805891591789,random_search
67,2.457178845955722,2.001805891591789,random_search
68,6.3653371993679055,2.001805891591789,random_search
69,3.043588507200407,2.001805891591789,random_search
70,3.731208487341953,2.001805891591789,random_search
71,8.178571072790128,2.001805891591789,random_search
72,11.49714278910528,2.001805891591789,random_search
73,3.779100210564617,2.001805891591789,random_search
74,2.286826143082895,2.001805891591789,random_search
75,16.634242953438935,2.001805891591789,random_search
76,5.629412460427403,2.001805891591789,random_search
77,4.259488842657491,2.001805891591789,random_search
78,16.898569321428784,2.001805891591789,random_search
79,12.895296838112197,2.001805891591789,random_search
80,5.629591536449282,2.001805891591789,random_search
1,2.8643597155893183,2.8643597155893183,bayesian_optimization
2,4.674563381959899,2.8643597155893183,bayesian_optimization
3,2.46434182288369,2.46434182288369,bayesian_optimization
4,5.5021734229448755,2.46434182288369,bayesian_optimization
5,5.692308052867518,2.46434182288369,bayesian_optimization
6,8.859902729839261,2.46434182288369,bayesian_optimization
7,6.654185291949585,2.46434182288369,bayesian_optimization
8,17.176027075005194,2.46434182288369,bayesian_optimization
9,9.244255871852856,2.46434182288369,bayesian_optimization
10,5.246262300916512,2.46434182288369,bayesian_optimization
11,2.8551322372672887,2.46434182288369,bayesian_optimization
12,2.69010839507347,2.46434182288369,bayesian_optimization
13,3.0783727779588266,2.46434182288369,bayesian_optimization
14,2.891811328805683,2.46434182288369,bayesian_optimization
15,2.9066348874782593,2.46434182288369,bayesian_optimization
16,2.920400577844753,2.46434182288369,bayesian_optimization
17,3.0893490872378324,2.46434182288369,bayesian_optimization
18,2.7251830439351425,2.46434182288369,bayesian_optimization
19,3.0198173599216434,2.46434182288369,bayesian_optimization
20,3.0086122549368373,2.46434182288369,bayesian_optimization
21,3.0144082437942807,2.46434182288369,bayesian_optimization
22,2.05763065613925,2.05763065613925,bayesian_optimization
23,2.101015577001069,2.05763065613925,bayesian_optimization
24,2.072575986677004,2.05763065613925,bayesian_optimization
25,2.187134037983017,2.05763065613925,bayesian_optimization
26,2.1890902238823506,2.05763065613925,bayesian_optimization
27,2.242119358258289,2.05763065613925,bayesian_optimization
28,2.3887104055842636,2.05763065613925,bayesian_optimization
29,2.224351730726387,2.05763065613925,bayesian_optimization
30,2.1766111639463834,2.05763065613925,bayesian_optimization
31,2.1550205125236586,2.05763065613925,bayesian_optimization
32,2.1107685750289287,2.05763065613925,bayesian_optimization
