feature,importance
state_profile_p050,0.05503538298176706
lsq_locator_offset_mm,0.05352679546172021
state_profile_p060,0.05122750872797964
state_profile_p000,0.04860163957007344
state_profile_p030,0.04748738149390944
state_profile_p010,0.04702635090265447
lsq_z_adj_mm,0.04656978789347254
state_profile_p070,0.04362914803170811
state_profile_p020,0.04130740835940553
component_parallelism,0.04063321997067447
state_signed_mean,0.04012852725511566
state_profile_p090,0.03994052149351086
state_max_gap,0.039570929936890806
state_profile_p040,0.039171880950765264
state_profile_p100,0.037158470409011976
component_profile_rms,0.037097193957637914
state_profile_p080,0.03699648714351782
state_mean_gap,0.03436028217571315
lsq_theta_adj_deg,0.03269924072232091
lsq_utilization,0.031129897279559435
state_quality,0.029946517047057097
state_parallelism,0.028929505275451885
state_rms,0.027268243012147204
state_estimated_angle_deg,0.027134022508231107
state_signed_end_difference,0.022669922779971388
component_index,0.020753734659732667
