model,MAE,RMSE,R2,training_and_prediction_time_sec
Random Forest,0.16621283376830287,0.23069713109118348,0.9950422003336779,31.45751929283142
Gradient Boosting,0.21852798412593594,0.3030819975925045,0.9914429342616375,39.69860219955444
SVR,0.47773715522561633,0.7736703552856594,0.9442408045027146,3150.563364982605
Linear Regression,2.4550461979511415,2.852062468480089,0.24225574279766515,0.11618852615356445
Ridge Regression,2.4550481935672384,2.852063225004686,0.2422553408062985,0.08556103706359863
