rule_name,margin_threshold,uncertainty_threshold,utilization_threshold,n_triggered,trigger_rate_percent,high_regret_capture_percent,exact_miss_capture_percent,high_regret_precision_percent,exact_miss_precision_percent,triggered_mean_regret,nontriggered_mean_regret
margin_only_q0.05,0.0015659170414690719,,,25,5.0,5.0,3.0303030303030303,100.0,4.0,7.846058760268e-05,0.002443941207362887
margin_only_q0.10,0.006742544927672853,,,50,10.0,10.0,36.36363636363637,100.0,24.0,0.005764309977983272,0.0019435957539739445
margin_only_q0.15,0.018084364881560053,,,75,15.0,15.0,60.60606060606061,100.0,26.666666666666668,0.00915483558418321,0.0011205198102910536
margin_only_q0.20,0.02800373921277931,,,100,20.0,20.0,75.75757575757575,100.0,25.0,0.009045836106821536,0.0006456249437632128
margin_only_q0.25,0.03620959548022318,,,125,25.0,25.0,87.87878787878788,100.0,23.200000000000003,0.008342428062057122,0.0003200802144807952
margin_only_q0.30,0.04905521404897002,,,150,30.0,30.0,93.93939393939394,100.0,20.666666666666668,0.007548022254589179,8.751499999731829e-05
tree_std_only_q0.70,,0.0475849118962984,,150,30.0,30.0,45.45454545454545,100.0,10.0,0.004327217115000532,0.0014678600598210252
tree_std_only_q0.75,,0.05740543258281416,,125,25.0,25.0,30.303030303030305,100.0,8.0,0.0045533352244482,0.0015831111603504364
tree_std_only_q0.80,,0.06787304727593714,,100,20.0,20.0,27.27272727272727,100.0,9.0,0.005509220358001148,0.0015297788809683095
tree_std_only_q0.85,,0.07606277016589152,,75,15.0,15.0,27.27272727272727,100.0,12.0,0.007345627144001531,0.0014397918879701735
tree_std_only_q0.90,,0.09103730722544372,,50,10.0,10.0,18.181818181818183,100.0,12.0,0.0065791573611302025,0.001853057155846508
tree_std_only_q0.95,,0.12039645358614426,,25,5.0,5.0,9.090909090909092,100.0,12.0,0.0049061708242482205,0.002189851194907859
margin_or_tree_std,0.0015659170414690719,0.0475849118962984,,173,34.599999999999994,34.599999999999994,48.484848484848484,100.0,9.248554913294797,0.0037632605892494045,0.0015651055236920238
margin_or_tree_std,0.0015659170414690719,0.05740543258281416,,148,29.599999999999998,29.599999999999998,33.33333333333333,100.0,7.4324324324324325,0.0038589757955817027,0.0016809805978447343
margin_or_tree_std,0.0015659170414690719,0.06787304727593714,,124,24.8,24.8,30.303030303030305,100.0,8.064516129032258,0.004458738310404692,0.0016222075470671725
