rule_name,margin_threshold,uncertainty_threshold,utilization_threshold,n_triggered,trigger_rate_percent,regret_capture_percent,positive_regret_capture_percent,exact_miss_capture_percent,positive_regret_precision_percent,exact_miss_precision_percent,positive_regret_lift,exact_miss_lift,triggered_mean_regret,nontriggered_mean_regret,regret_concentration
margin_only_q0.05,0.0015659170414690571,,,25,5.0,0.1686840412930024,3.0303030303030303,3.0303030303030303,4.0,4.0,0.606060606060606,0.606060606060606,7.846058760268e-05,0.002443941207362887,0.03373680825860048
margin_only_q0.10,0.006742544927672817,,,50,10.0,24.78561866693395,36.36363636363637,36.36363636363637,24.0,24.0,3.6363636363636362,3.6363636363636362,0.005764309977983272,0.0019435957539739445,2.478561866693395
margin_only_q0.15,0.018084364881559973,,,75,15.0,59.04651153773388,60.60606060606061,60.60606060606061,26.666666666666668,26.666666666666668,4.040404040404041,4.040404040404041,0.00915483558418321,0.0011205198102910536,3.9364341025155922
margin_only_q0.20,0.02800373921277925,,,100,20.0,77.79132112034785,75.75757575757575,75.75757575757575,25.0,25.0,3.7878787878787876,3.7878787878787876,0.009045836106821536,0.0006456249437632128,3.8895660560173924
margin_only_q0.25,0.0362095954802231,,,125,25.0,89.67779382625207,87.87878787878788,87.87878787878788,23.200000000000003,23.200000000000003,3.515151515151515,3.515151515151515,0.008342428062057122,0.0003200802144807952,3.5871117530500833
margin_only_q0.30,0.049055214048969994,,,150,30.0,97.36589566123503,93.93939393939394,93.93939393939394,20.666666666666668,20.666666666666668,3.131313131313131,3.131313131313131,0.007548022254589179,8.751499999731829e-05,3.2455298553745013
tree_std_only_q0.70,,0.047584911896298356,,150,30.0,55.81904185119336,45.45454545454545,45.45454545454545,10.0,10.0,1.5151515151515151,1.5151515151515151,0.004327217115000532,0.0014678600598210252,1.8606347283731122
tree_std_only_q0.75,,0.05740543258281412,,125,25.0,48.946548228213054,30.303030303030305,30.303030303030305,8.0,8.0,1.212121212121212,1.212121212121212,0.0045533352244482,0.0015831111603504364,1.9578619291285224
tree_std_only_q0.80,,0.06787304727593713,,100,20.0,47.37754751811581,27.27272727272727,27.27272727272727,9.0,9.0,1.3636363636363635,1.3636363636363635,0.005509220358001148,0.0015297788809683095,2.368877375905791
tree_std_only_q0.85,,0.07606277016589147,,75,15.0,47.37754751811581,27.27272727272727,27.27272727272727,12.0,12.0,1.8181818181818181,1.8181818181818181,0.007345627144001531,0.0014397918879701735,3.1585031678743873
