component_index,mean_actual_quality,exact_best_hit_rate_percent,top3_hit_rate_percent,mean_regret,selected_beats_zero_percent,mean_utilization
1,0.07098934099359457,95.0,100.0,0.001692100541154981,85.0,0.11161865450005588
2,0.12145547748602664,94.0,100.0,0.002693655817854228,99.0,0.12010795263912336
3,0.169237610076496,93.0,100.0,0.0015961193100916243,89.0,0.12352088289046369
4,0.20292788785943994,91.0,100.0,0.003518010590467595,92.0,0.116714718807898
5,0.21449795104827613,94.0,100.0,0.002128449622305971,94.0,0.10434154168570743
