model,assembly_id,component_index,trajectory_type,n_candidates,true_best_quality,true_best_source,predicted_best_predicted_quality,predicted_best_actual_quality,predicted_best_source,true_rank_of_predicted_best,exact_best_hit,top3_hit,top5_hit,absolute_regret,relative_regret_percent,zero_actual_quality,selected_beats_zero,true_best_beats_zero,selected_improvement_vs_zero_percent,rank_correlation,candidate_quality_range,best_to_second_quality_gap
scalar_rf,11,1,zero,21,0.0404433775030273,informed,0.0947634400507104,0.0404433775030273,informed,1,True,True,True,0.0,0.0,0.18882790714297,True,True,78.58188542416784,1.0,11.32405968026295,0.1483845296399427
scalar_rf,11,1,heuristic,21,0.0404433775030273,informed,0.0947634400507104,0.0404433775030273,informed,1,True,True,True,0.0,0.0,0.18882790714297,True,True,78.58188542416784,0.9974025974025975,11.125529859677837,0.0980333905641775
scalar_rf,11,1,partial,21,0.0404433775030273,informed,0.0947634400507104,0.0404433775030273,informed,1,True,True,True,0.0,0.0,0.18882790714297,True,True,78.58188542416784,1.0,11.000559635342043,0.0764156140178859
scalar_rf,11,1,random_feasible,21,0.0404433775030273,informed,0.0947634400507104,0.0404433775030273,informed,1,True,True,True,0.0,0.0,0.18882790714297,True,True,78.58188542416784,0.9974025974025975,11.000559635342043,0.1483845296399427
scalar_rf,11,2,zero,21,0.1312017649562781,informed,0.1418139381114397,0.1312017649562781,informed,1,True,True,True,0.0,0.0,0.2074428154841517,True,True,36.75280358586257,0.9974025974025975,11.296055426234302,0.07624105052787358
scalar_rf,11,2,heuristic,21,0.0565526478697897,zero,0.0650982353622394,0.0588440302184354,informed,2,False,True,True,0.002291382348645697,4.051768458165774,0.0565526478697897,False,False,-4.051768458165774,0.9948051948051948,11.268420998154701,0.002291382348645697
scalar_rf,11,2,partial,21,0.0940720501358763,informed,0.1031357403264856,0.0940720501358763,informed,1,True,True,True,0.0,0.0,0.1282719724166119,True,True,26.662038196199532,0.9987012987012988,11.077441301362597,0.034199922280735595
scalar_rf,11,2,random_feasible,21,0.4389813581199109,informed,0.489897945859091,0.4389813581199109,informed,1,True,True,True,0.0,0.0,0.8156286245038249,True,True,46.178769977946956,0.996103896103896,11.496919619692097,0.04197962087855911
scalar_rf,11,3,zero,21,0.173151627195167,informed,0.1644086435136615,0.173151627195167,informed,1,True,True,True,0.0,0.0,0.2526765544826415,True,True,31.473013968511165,0.9987012987012988,11.201291401230213,0.052880619761052516
scalar_rf,11,3,heuristic,21,0.1139966272092412,informed,0.1012869342022807,0.1139966272092412,informed,1,True,True,True,0.0,0.0,0.1199167024276847,True,True,4.936822893385994,0.9987012987012988,11.093066657594001,0.005920075218443496
scalar_rf,11,3,partial,21,0.1352727716964546,informed,0.1362481312556353,0.1352727716964546,informed,1,True,True,True,0.0,0.0,0.1647793851519456,True,True,17.90673841165416,0.9870129870129869,11.09777229145566,0.029506613455490993
scalar_rf,11,3,random_feasible,21,0.6211624417537097,local_informed,0.9411398287596242,0.6211624417537097,local_informed,1,True,True,True,0.0,0.0,5.020083551024507,True,True,87.62645212096236,0.9727272727272727,14.363991652782037,0.6951355801649955
scalar_rf,11,4,zero,21,0.1408490540315664,local_informed,0.174451493063673,0.1752185158432792,informed,2,False,True,True,0.0343694618117128,24.40162771984971,0.2591901163598743,True,True,32.39768618337444,0.9948051948051948,11.611567411582337,0.0343694618117128
scalar_rf,11,4,heuristic,21,0.1120882535556121,informed,0.1103824430953464,0.1120882535556121,informed,1,True,True,True,0.0,0.0,0.1150151961595617,True,True,2.5448312063816547,0.996103896103896,11.213098981992442,0.0029269426039496005
scalar_rf,11,4,partial,21,0.1295210204508969,informed,0.1298330846006523,0.1295210204508969,informed,1,True,True,True,0.0,0.0,0.151450058288267,True,True,14.479385538188975,0.9987012987012988,11.146772695534917,0.021929037837370102
scalar_rf,11,4,random_feasible,21,0.5562623859158946,local_informed,0.9818872708737936,0.6245040336807829,local_informed,2,False,True,True,0.06824164776488828,12.267888229136211,2.5569211836229138,True,True,75.57593727641145,0.9935064935064933,11.7241442455933,0.06824164776488828
scalar_rf,11,5,zero,21,0.2256708059697079,moderate_random,0.2360029869710012,0.2531564913696738,informed,2,False,True,True,0.027485685399965876,12.179548560506012,0.47819976111195,True,True,47.060514881686025,0.9922077922077923,11.0335760368493,0.027485685399965876
scalar_rf,11,5,heuristic,21,0.1748484313249886,informed,0.1713279397156935,0.1748484313249886,informed,1,True,True,True,0.0,0.0,0.3311321872966747,True,True,47.19678785912322,0.9948051948051948,11.113137755905136,0.062387310341608104
scalar_rf,11,5,partial,21,0.1919750868877554,informed,0.1905000528082615,0.1919750868877554,informed,1,True,True,True,0.0,0.0,0.3504008843964706,True,True,45.21272763953987,0.9974025974025975,11.005776709138342,0.06514424959843051
