component_index,mean_actual_quality,mean_prediction_abs_error,exact_best_hit_rate_percent,top3_hit_rate_percent,mean_regret,selected_beats_zero_percent,bo_refinement_selected_percent,mean_utilization
1,0.07479981044744721,0.009280541917278643,86.66666666666667,96.66666666666667,0.005889297478771085,73.33333333333333,0.0,0.08959823793789616
2,0.13291249624257467,0.01026872198658244,80.0,93.33333333333333,0.01769512633537134,96.66666666666667,3.3333333333333335,0.10570826234359855
3,0.17318538292709837,0.017011257397838465,70.0,90.0,0.01751658245768641,90.0,10.0,0.14324678808295593
4,0.20272952606769562,0.02812755042240096,66.66666666666666,90.0,0.016505069377235504,93.33333333333333,13.333333333333334,0.1237022132012947
5,0.21545088871730683,0.022386056977107015,70.0,96.66666666666667,0.012993438977524184,93.33333333333333,3.3333333333333335,0.10172227547902729
