component_index,mean,median,std
1,0.23305681596483388,0.17770286896449475,0.20562038188844062
2,0.2197818187858529,0.15281230894284892,0.2029221790571026
3,0.12568693821299495,0.08488061199442407,0.1657333584759619
4,0.1396508452259153,0.10064934275273982,0.18546044288925756
5,0.15408723662970897,0.11945909644994085,0.21947208211659083
