assembly_id,batch_condition,structured20_final_quality,warmstart_bo_final_quality,bo_quality_benefit,bo_better,structured_better,essential_tie,n_component_decisions,n_bo_refinements,mean_prediction_abs_error,max_prediction_abs_error,mean_regret,max_regret,mean_utilization,max_utilization,bo_refinement_rate_percent,bo_used_at_least_once
6,normal,0.0977049500066267,0.0977049500066267,0.0,False,False,True,5,0,0.0026742006946061,0.0073440833802877,0.0,0.0,0.04872229602563362,0.1528462534252973,0.0,False
10,normal,0.1873296117128139,0.1873296117128139,0.0,False,False,True,5,0,0.009887369903645736,0.035875549079199,0.0058337068358747,0.0291685341793735,0.06466498412011262,0.1745389769189608,0.0,False
35,normal,0.0946917933538692,0.0946917933538692,0.0,False,False,True,5,0,0.008230324373284883,0.0296601957454871,0.0,0.0,0.06392326870354517,0.2209008193388741,0.0,False
41,normal,0.1484281750297853,0.1484281750297853,0.0,False,False,True,5,0,0.001405619245673756,0.0033369121320515,0.0,0.0,0.01136797895094752,0.034286221823557,0.0,False
53,normal,0.0576202719722357,0.0576202719722357,0.0,False,False,True,5,0,0.007350942059676099,0.0174207811409361,0.0,0.0,0.043354960592374356,0.1050363184208656,0.0,False
63,normal,0.1863635895446471,0.1863635895446471,0.0,False,False,True,5,0,0.0046134152328624,0.0133708785012894,0.02241140040852116,0.0606575983109921,0.09837806802208549,0.3592573270292026,0.0,False
65,normal,0.1611167676737857,0.1611167676737857,0.0,False,False,True,5,0,0.0019619730656092057,0.0059979853606101,0.0014479464429299,0.0072397322146495,0.021824862134653,0.0495124777602096,0.0,False
76,normal,0.0547736558858311,0.0547736558858311,0.0,False,False,True,5,0,0.0015205251431001426,0.0064470461980711,0.0,0.0,0.00556199757930872,0.0111296856025288,0.0,False
92,normal,0.1543621474046087,0.1543621474046087,0.0,False,False,True,5,0,0.002604975920278831,0.0075317613413806,0.0,0.0,0.05810479094735144,0.2420929797548758,0.0,False
93,normal,0.319112202414626,0.319112202414626,0.0,False,False,True,5,0,0.007183846760481441,0.0178094151021956,0.0229161829776022,0.0456095259379998,0.02746148199631814,0.0525414996566263,0.0,False
96,normal,0.2063344595427758,0.1578923450625436,0.048442114480232196,True,False,False,5,1,0.02219087259461148,0.0713586435860233,0.0049393430226500005,0.02469671511325,0.08773526793811867,0.1977171794878819,20.0,True
99,normal,0.2238495842019735,0.2238495842019735,0.0,False,False,True,5,0,0.003232981457713577,0.005326054064566,0.0027784316291326002,0.013892158145663,0.05865792388136102,0.087132180275678,0.0,False
124,normal,0.1758458925437341,0.1758458925437341,0.0,False,False,True,5,0,0.002171181107401245,0.0078508515121366,0.018024714451200262,0.0697299840055815,0.01315923033123254,0.0417301184407159,0.0,False
131,normal,0.2494843083084346,0.2494843083084346,0.0,False,False,True,5,0,0.00391362890461232,0.0097981453768108,0.0,0.0,0.11007231873835369,0.3350622533076315,0.0,False
152,normal,0.2157706605348268,0.2157706605348268,0.0,False,False,True,5,0,0.004774905135206181,0.017701440279215,0.0025430295602619,0.0127151478013095,0.09964698907251587,0.1672739120619368,0.0,False
154,normal,0.102685540317329,0.102685540317329,0.0,False,False,True,5,0,0.0034169617381055602,0.0065678192245886,0.0025088777484834,0.012544388742417,0.07084456862633551,0.2032131648546323,0.0,False
172,offset_drift,0.3010130251550235,0.2396965977009016,0.061316427454121886,True,False,False,5,1,0.014346716284074638,0.0645638587113029,0.018743823720436738,0.0842201264188833,0.10377434175993734,0.1783972454909747,20.0,True
195,offset_drift,0.200560756477623,0.200560756477623,0.0,False,False,True,5,0,0.01898438928503272,0.055163103403318,0.01930107376917304,0.0782281609237181,0.191510756867663,0.399120344775409,0.0,False
