assembly_id,batch_condition,structured20_final_quality,warmstart_bo_final_quality,bo_quality_benefit,bo_better,structured_better,essential_tie,n_component_decisions,n_bo_refinements,mean_prediction_abs_error,max_prediction_abs_error,mean_regret,max_regret,mean_utilization,max_utilization,bo_refinement_rate_percent,bo_used_at_least_once
526,fixture_drift,0.4172437189647918,0.3329354880857548,0.084308230879037,True,False,False,5,1,0.02292618142746538,0.088232126795016,0.01888545064973026,0.0721236026792563,0.2779321910021364,0.3847957260485509,20.0,True
801,high_variation,0.3410981130721529,0.267316233211661,0.0737818798604919,True,False,False,5,1,0.01973779168731888,0.0581835400497031,0.04991690714513098,0.1381534543225426,0.09488625167409116,0.248965305052053,20.0,True
172,offset_drift,0.3010130251550235,0.2396965977009016,0.061316427454121886,True,False,False,5,1,0.014346716284074638,0.0645638587113029,0.018743823720436738,0.0842201264188833,0.10377434175993734,0.1783972454909747,20.0,True
732,high_variation,0.427348576709501,0.3677481130903245,0.05960046361917648,True,False,False,5,1,0.02810538692030712,0.0742740417701967,0.055724031365376056,0.1311603864016162,0.14880651701792785,0.45,20.0,True
96,normal,0.2063344595427758,0.1578923450625436,0.048442114480232196,True,False,False,5,1,0.02219087259461148,0.0713586435860233,0.0049393430226500005,0.02469671511325,0.08773526793811867,0.1977171794878819,20.0,True
786,high_variation,0.3968152210462345,0.3545960452014213,0.04221917584481322,True,False,False,5,3,0.040452042911350385,0.162278174727786,0.037892540117445986,0.0890173737906479,0.18644328021722598,0.45,60.0,True
222,offset_drift,0.2554840373863245,0.2326687185244977,0.022815318861826833,True,False,False,5,1,0.029915802850115795,0.1166667923884959,0.0,0.0,0.10678293110487551,0.1592186567848104,20.0,True
815,high_variation,0.4198876147710264,0.4013491714924763,0.018538443278550087,True,False,False,5,1,0.0070692591474561224,0.0200196216351199,0.0034633560397874996,0.0173167801989375,0.02945956689684242,0.0616203152193824,20.0,True
554,fixture_drift,0.2528963223837403,0.2425654187420429,0.01033090364169742,True,False,False,5,1,0.027499341965957345,0.0542526999449474,0.0028957157562924,0.014478578781462,0.238075389303758,0.3777880999843929,20.0,True
598,fixture_drift,0.3954015751238074,0.3862588702533968,0.009142704870410634,True,False,False,5,1,0.00847932087891116,0.0240654083809493,0.00680467409852306,0.0246946592574396,0.2398740361938127,0.3957956783149359,20.0,True
