component_index,mean,median,std
1,0.29098884736421166,0.26557104791654207,0.20051702440355554
2,0.490155928245633,0.46154194324580944,0.2675134597856544
3,0.7053806322277439,0.6781897105485404,0.34561699736983953
4,0.8984280164009649,0.8831546976699647,0.42875329485133196
5,1.0656107223959683,1.0520103531733218,0.5009807293325765
