model,MAE,RMSE,R2,mean_signed_error,median_absolute_error,p95_absolute_error,p99_absolute_error,runtime_sec
Closed-loop RF,0.14256976170287883,0.27418875556623895,0.9941095281373394,0.0009607625002370499,0.07086023624025184,0.5137233173623815,1.1187968649587674,873.5224695205688
Closed-loop Gradient Boosting,0.37368531957553847,0.5353953381046468,0.9775405055949761,0.002098160610927926,0.26920015374842166,1.1224440186692741,1.8408426039558317,235.4029290676117
Original RF,0.5417691341391344,1.4278945772047087,0.8402491809922288,0.15095687031757943,0.15193059319787516,2.950014601392679,6.994315585342022,0.9310603141784668
