assembly_id,batch_condition,structured20_final_quality,warmstart_bo_final_quality,bo_quality_benefit,bo_better,structured_better,essential_tie,n_component_decisions,n_bo_refinements,mean_prediction_abs_error,max_prediction_abs_error,mean_regret,max_regret,mean_utilization,max_utilization,bo_refinement_rate_percent,bo_used_at_least_once
959,disturbed,0.445551068630689,0.6317890674532817,-0.18623799882259268,False,True,False,5,3,0.055445549460974665,0.189326338303541,0.06704828226247668,0.1437204499258828,0.18239871341129038,0.3503968753616865,60.0,True
982,disturbed,0.2588500578539265,0.3496824837913195,-0.09083242593739299,False,True,False,5,1,0.01817605649093616,0.0482668224686126,0.03113066404437854,0.0908324259373929,0.09793801654055218,0.1920559198797479,20.0,True
295,offset_drift,0.1628616588217099,0.2503016290309893,-0.0874399702092794,False,True,False,5,1,0.02481194680472604,0.0514633408964168,0.039340944998555345,0.1687141666987055,0.12803944738984668,0.2618194861686832,20.0,True
836,disturbed,0.2274528604620119,0.2710397503204027,-0.043586889858390765,False,True,False,5,1,0.037224749508418066,0.066301425949029,0.08140227126555236,0.223519386133046,0.11139514124324416,0.155317637055724,20.0,True
255,offset_drift,0.2901805556934448,0.3160993340761355,-0.025918778382690688,False,True,False,5,1,0.03568463081100576,0.1532893297186821,0.04883589781329548,0.1267092665432545,0.12282959616781222,0.1724192433665437,20.0,True
266,offset_drift,0.2046149921235948,0.226636776191796,-0.02202178406820121,False,True,False,5,1,0.025322005368808943,0.0461499483458077,0.01266327263579714,0.0633163631789857,0.12238751853947719,0.2017708493305783,20.0,True
196,offset_drift,0.30196034954973,0.3190049973279429,-0.017044647778212907,False,True,False,5,1,0.011201653762130623,0.0456875369457784,0.03301952301031894,0.1076505959603791,0.15754211664172502,0.2511094812057697,20.0,True
329,offset_drift,0.1312421820595486,0.1423379577803513,-0.011095775720802697,False,True,False,5,1,0.029095356427649044,0.05815425702921,0.00221915514416054,0.0110957757208027,0.105848646475971,0.1206489000679242,20.0,True
538,fixture_drift,0.3803915017478337,0.3827138755578904,-0.002322373810056677,False,True,False,5,1,0.029270703562271683,0.0781764283735112,0.0311225307310945,0.095815744788765,0.23969027823280964,0.264381574967181,20.0,True
92,normal,0.1543621474046087,0.1543621474046087,0.0,False,False,True,5,0,0.002604975920278831,0.0075317613413806,0.0,0.0,0.05810479094735144,0.2420929797548758,0.0,False
