model,decision_states,exact_best_hit_rate_percent,top3_hit_rate_percent,top5_hit_rate_percent,median_true_rank_of_predicted_best,mean_absolute_regret,median_absolute_regret,p95_absolute_regret,mean_rank_correlation,selected_beats_zero_rate_percent,true_best_beats_zero_rate_percent,mean_selected_improvement_vs_zero_percent,median_best_to_second_quality_gap
scalar_rf,4000,77.425,97.02499999999999,99.375,1.0,0.04202750480309181,0.0,0.24427999901443473,0.9882752930305562,93.25,95.95,55.014362083832005,0.10864247152989118
profile_aware_rf,4000,78.64999999999999,97.32499999999999,99.425,1.0,0.03757700930611296,0.0,0.21286624282610653,0.9888710720403704,93.75,95.95,55.26486528422968,0.10864247152989118
