assembly_id,batch_condition,zero_final_quality,random_final_quality,bo_final_quality,bo_improvement_vs_zero_percent,bo_improvement_vs_random_percent,bo_final_mean_gap,bo_final_max_gap,bo_final_parallelism,bo_final_rms,bo_minus_zero
833,high_variation,0.4873264490275749,1.636754759724642,2.546623734621353,-422.5703919216694,-55.58981695277196,2.33040405460506,3.714246234380531,1.6210692994851923,2.4690785808011824,2.059297285593778
152,normal,0.5240816846091182,1.573803189370938,2.433736598055311,-364.38115842008347,-54.640466768153885,1.5900564210591606,3.585274944949292,2.309871293444159,1.8817580021952784,1.909654913446193
752,high_variation,0.8059744854303739,2.465386822057849,2.666594022101098,-230.8534042088432,-8.161283180515372,2.4053112329046606,3.745152039691721,1.9004576497568,2.5131774539514398,1.8606195366707243
65,normal,0.2376326773630513,2.2524550698551264,2.0068961718919827,-744.5371209725838,10.901833348397828,1.4586168976812917,3.166212764482449,1.499969966974802,1.6945628315042005,1.7692634945289314
41,normal,0.2155713084000664,1.8590264104074128,1.9662954205119685,-812.1322476100729,-5.7701713920808295,1.2773786397745288,4.362052311407199,0.2720223941202884,1.9285941692136368,1.7507241121119022
124,normal,0.2684713828830063,1.7720644404601904,1.9955658530031348,-643.3067284764413,-12.612487866688582,1.3188796636585105,3.8800331144611615,0.8721485367063913,1.7424745855531587,1.7270944701201285
815,high_variation,0.4622371126590973,1.0244691655385867,1.9655704727652716,-325.22991316253126,-91.86233601593332,1.3561203570342346,3.896406338860876,0.7145678798716737,1.75442100035236,1.5033333601061742
735,high_variation,0.589255046240713,3.5100557919013515,1.986135183756005,-237.0586635493421,43.41585144206094,1.2268921985753949,3.632626882400833,1.2111301208790242,1.6494042319942954,1.396880137515292
786,high_variation,0.6475508743188872,2.6603473459952784,2.009902025754922,-210.3851921857097,24.449638924762827,1.26343078438379,4.308714155807528,0.5040747340066994,1.8703612349551688,1.3623511514360347
99,normal,0.1721658121788787,2.700278439422864,1.3786181982018484,-700.7502655460286,48.945331782284526,0.8742874680488695,2.121081740739816,1.2358372658383794,1.0925625581372909,1.2064523860229697
