assembly_id,batch_condition,zero_final_quality,random_final_quality,bo_final_quality,bo_improvement_vs_zero_percent,bo_improvement_vs_random_percent,bo_final_mean_gap,bo_final_max_gap,bo_final_parallelism,bo_final_rms,bo_minus_zero
919,disturbed,1.846542656348494,1.063187908387545,0.2546983912206831,86.20674207849903,76.04389692439555,0.1574983215871377,0.4533737742400404,0.1761337963542336,0.1859662356625965,-1.5918442651278109
908,disturbed,2.203151813915336,1.2941509061056553,0.8936647180542092,59.436988753578845,30.945864671731734,0.645735027002026,1.797689568539926,0.2626077549994599,0.8185501289178561,-1.3094870958611269
196,offset_drift,1.69820693695669,0.3749394673513981,0.5663279533356294,66.65141679667555,-51.04516932725556,0.5231174819949731,0.941151356000746,0.2296700818274519,0.5814627738867801,-1.1318789836210605
959,disturbed,1.9577828595753224,1.4638445487343514,0.8772767429112536,55.19029402977047,40.070361728658135,0.5582151294354248,1.5229773065644625,0.60269753205218,0.7210975249563341,-1.0805061166640688
936,disturbed,1.8423608864937704,1.1459822953475336,0.8295805802970116,54.97187405689007,27.609651242872747,0.6192632228111699,1.599265784639765,0.3003643480766322,0.739125736387415,-1.0127803061967589
839,disturbed,1.2400377650806644,2.132861563374105,0.2611170976369646,78.94281085705653,87.75742869950324,0.2250988266657878,0.4777969165083716,0.0799324489845859,0.2626863998934103,-0.9789206674436999
710,high_variation,1.601127378536881,2.470044722820355,0.6635912212419837,58.554751474653,73.13444509278845,0.6367974371625523,1.15515257824031,0.1755616207450534,0.7333773039760894,-0.9375361572948973
483,angular_drift,1.991058413357631,1.664790285909405,1.0581195056416135,46.85643080369256,36.44127343861768,0.9168707477390832,2.1605225524910123,0.0954564144154277,1.0626459124795702,-0.9329389077160175
422,angular_drift,1.8965852668088503,3.394937300828711,1.069420896674893,43.61334998271524,68.49953911037339,1.1956659681467494,1.7444239861130495,0.1912770387323648,1.3001079877724384,-0.8271643701339573
845,disturbed,1.6751329111465605,1.1814913161059473,0.9001960493226168,46.26121644840294,23.80849211066957,1.0056151122272554,1.62905504681409,0.0063742682611294,1.078827211318745,-0.7749368618239437
