assembly_id,component_index,zero_quality,deterministic_quality,structured_quality,deterministic_z_adj,deterministic_theta_adj,deterministic_locator_offset,deterministic_utilization,least_squares_success
100001,1,0.027705836311958568,0.03855485602153698,0.0277010497531896,-1.287300763231113e-19,0.0017481239141562792,-0.00012846836293050096,0.0014567699284635661,True
100001,2,0.12363005484612404,0.13650132394491998,0.10159373423819,0.012066795331417973,0.007238783256268703,-0.011844180232825515,0.011844180232825515,True
100001,3,0.3465435732604848,0.30808989151909966,0.3309599979772978,-0.14190006859971352,0.0067599545224857486,-0.253944857325669,0.253944857325669,True
100001,4,0.4263375268795231,0.3151158018139796,0.3199195471204686,-0.10396273185572474,1.5902773407317584e-15,-0.065166843713859,0.065166843713859,True
100001,5,0.46869754416773357,0.3914315652655237,0.3398119891241024,-3.850670242702873e-17,0.003495376960007969,1.8018084853993477e-17,0.002912814133339974,True
100002,1,0.46799643475892394,2.8241406006276728e-05,4.975972214397733e-05,0.2988750268812797,0.031932494322852535,0.03298246318038151,0.11955001075251188,True
100002,2,0.55758631055669,2.824140600608331e-05,3.5348009997244766e-05,0.1295639275182897,-3.1575777857863713e-17,-4.1081062927806196e-17,0.051825571007315885,True
100002,3,0.4195726965662235,2.82414060060617e-05,2.9622444949604568e-05,-2.6307534170097917e-19,-0.017281515440427796,-5.480641981914225e-17,0.014401262867023163,True
100002,4,0.4239709580572922,0.1680311671005754,0.1780462019770173,-0.07531431742269679,0.007812382705732941,-0.13478276495016078,0.13478276495016078,True
100002,5,0.4635510198011304,0.203984941594216,0.2090657065341715,-0.04264835947655496,0.008264977082047542,-0.06062645578323917,0.06062645578323917,True
100003,1,0.08200916040858065,0.013547636342522146,0.0520622846411376,-0.02730871534189078,-0.007347028596536977,-0.021016518546340797,0.021016518546340797,True
100003,2,0.11256614995564221,0.07285534122030189,0.0719048251004718,-4.9623945579656e-18,0.0030350572794968405,4.336808689942018e-19,0.0025292143995807007,True
100003,3,0.5487078123950531,0.13465160130383413,0.1110443244279986,0.6831614890485991,0.0028028630631208125,-0.0020805908527800473,0.2732645956194396,True
100003,4,0.5926656279702631,0.1935044116029642,0.1432323269765281,-5.005034638254215e-17,0.002674142082897301,0.08753498907482099,0.08753498907482099,True
100003,5,0.4916328895506952,0.2115516085456289,0.2203657714941582,-0.0975497659612774,0.0,-0.1745754011512791,0.1745754011512791,True
100004,1,0.18648380156176256,1.277577862901601e-16,0.0,-0.2664054308025179,-3.316886114552083e-18,4.235912984405681e-18,0.10656217232100715,True
100004,2,0.6033871393269551,0.011790403768495815,0.020774008750129,-0.19936386575429904,0.03333027411097683,-0.029699778158902124,0.07974554630171962,True
100004,3,0.8997780337590401,0.011790403768495817,0.0147573144974077,-2.6562238342099588e-17,0.0361660694909553,0.008086310050129199,0.030138391242462752,True
100004,4,1.0987561905822265,0.011790403768498927,0.0123669687865762,-0.286075740730565,3.975693351829396e-16,-0.06094103699995964,0.11443029629222601,True
