assembly_id,component_index,greedy_quality,lookahead_quality,greedy_utilization,lookahead_utilization,predicted_two_step_quality,greedy_z,greedy_theta,greedy_locator,lookahead_z,lookahead_theta,lookahead_locator
100015,1,0.002106394378296612,4.207604382598186,0.003730276517854306,0.3480892721010284,0.0033324154774368956,-0.004162671798514636,1.0435190141784062e-08,0.003730276517854306,-0.521357088607183,-0.4177071265212341,0.34152666665604725
100015,2,0.0033321838872411545,8.401238026024675,0.002126637632792409,0.5537815035603818,0.005002800881586494,-0.002422217049366258,-1.3337266077732666e-08,0.002126637632792409,-1.3844537589009545,-0.3768937985436399,-0.5114789491268559
100015,3,0.006573272834465209,9.99453699285386,0.0069239124904503235,0.9476136121713881,0.13240453569588806,-0.009010562864652238,-4.9535682511869794e-05,0.0069239124904503235,0.5365805738968943,-0.18233500753274656,-0.9476136121713881
100015,4,0.027904056946705023,10.101159100424514,0.0010425702144252237,0.8114477928289923,0.06002657923599799,-0.0004984161318687258,4.963754218808998e-05,0.0010425702144252237,0.8087729228437607,-0.04663525058291542,0.8114477928289923
100015,5,0.06391373241884916,0.06012169214497222,0.013649704613889257,0.8528769601279522,,-0.000548700367111743,-0.0003783552955188174,0.013649704613889257,0.5441579679397143,1.0234523521535426,0.3248694954400763
100022,1,0.04480096410165643,8.838567265417073,1.3116002991225369e-06,0.737581825640651,0.12297222192213872,1.5938898047369953e-07,-3.436300481753731e-09,-1.3116002991225369e-06,0.7748744540045132,-0.8850981907687812,0.2670201014670942
100022,2,0.08147743671520147,0.2323394796342475,0.057367220130306776,0.7423105098588267,0.11253254474759943,-0.023030420467276946,2.6536972219277627e-09,0.057367220130306776,-0.5428917381114737,0.8907726118305921,-0.3244601726441332
100022,3,0.08917857920814122,4.008377967914735,0.19186409926181414,0.4632794212095813,0.1185929015147339,-0.07009250408948786,-1.2559936449113584e-09,-0.19186409926181414,0.2777782323258571,0.38623239968889767,0.4632794212095813
100022,4,0.1190017836062515,1.6785412540088003,0.11905171845636209,0.20845835885984432,0.16469494464758933,-0.12490029572517602,-4.015710552285334e-05,-0.11905171845636209,-0.4889464075368402,-0.2272823914443596,0.20845835885984432
100022,5,0.14757599735669552,0.14779108021676993,0.032715049813601696,0.8183674236982004,,-0.004458311892669627,4.0182654454945744e-05,-0.032715049813601696,-0.24803420308973947,-0.16463046606298598,-0.8183674236982004
100030,1,0.002625566202019922,4.291136696186128,0.004620272297475121,0.3615104089179282,0.01652168085303551,0.005188063629159782,3.1689269658368226e-08,-0.004620272297475121,0.2951296068867087,-0.4338124907015138,-0.29806539607192395
100030,2,0.018865509293800577,3.6043932940129833,0.13277120587719915,0.5496968427575736,0.17608161847976872,0.04569882515778778,0.03583092754590966,-0.13277120587719915,-1.374242106893934,0.14108260351395555,0.4118634223131792
100030,3,0.10631585451231841,1.8279216691793063,0.24794514883813906,0.4180987110983092,0.12328028577195561,-0.6198628720953476,-9.560606896589577e-05,-0.18620783483139816,0.15561396610151157,0.501718453317971,-0.14438081006829584
100030,4,0.10693988548205431,7.381829575834131,0.3259488397408302,0.7474699669277726,0.10665576429888232,-0.8148720993520755,-7.959778723130028e-05,0.0059187408957521725,-1.8686749173194315,0.5341039757923544,-0.16385111188337087
100030,5,0.10657263446029523,0.10773625906779281,0.1575085170557518,0.5894512739346534,,-0.0017947588479083865,7.960227666472508e-05,-0.1575085170557518,1.400712320036328,-0.707341528721584,-0.2221117025116064
100031,1,0.029557051173866995,8.260758592451397,0.1405582973953309,0.6794007907475714,0.04557420713220453,-0.055144903835189926,-4.612590833312556e-09,-0.1405582973953309,1.1380450016635562,-0.8152809488970857,-0.6454740160884386
100031,2,0.029571221612561625,0.23733613258248537,0.11334072994795227,0.6779379344443537,0.10624194557475694,0.2833518248698807,-3.4847758834648038e-06,0.014293006612372833,-0.6484351141963054,0.8135255213332244,0.6346059475037562
100031,3,0.11057818446591858,2.523579305437613,0.1883599560988436,0.7165457046259116,0.12953593782576397,-0.017351970329687605,0.00014668539330253694,0.1883599560988436,0.3667101258769193,-0.22892517839770557,0.7165457046259116
100031,4,0.13030789429945155,6.191816894907873,0.10716154310050166,0.7025478979985393,0.1560870074942989,-0.26790385775125414,-0.0001432016831899101,0.014082815045957476,-0.10721822763262306,0.8430574775982472,-0.24404304236923258
100031,5,0.14436590154368656,0.14432248826885152,0.19116765085700316,0.5826886257481744,,-0.07872999827233886,1.4009078999294008e-09,-0.19116765085700316,-0.8845295991653258,-0.6124128311329713,-0.5826886257481744
100039,1,0.03870768743595149,9.333316749597289,0.14153509787472784,0.7911250490392501,0.06164523576413437,0.02334077150266835,-3.7098811960488717e-09,-0.14153509787472784,-0.3664307111737782,0.9493500588471,0.4520294283820434
100039,2,0.05936955560309233,3.0351191795677153,0.19924264808904157,0.9552752270130038,0.1339294007209132,-0.4496839318459178,-0.010456652532164722,-0.19924264808904157,2.07256568744982,-1.1463302724156046,-0.0554968140578824
100039,3,0.1339280666359987,7.793811557028827,0.025396130198355307,0.797242379884372,0.24583748407375466,-0.022490741034292806,-0.00020802701413731272,0.025396130198355307,-1.1504409341157371,0.9566908558612464,0.0025101984442403857
100039,4,0.13418256065193068,5.843061263881309,0.04035584414350701,0.5981123959721555,0.26919348405311166,-0.0594653905945392,-4.0950723254413726e-08,0.04035584414350701,-1.4952809899303887,-0.18318020575462635,0.17203014876588285
100039,5,0.15063535330350342,0.15081115837592865,0.18404743191192155,0.9982481145077657,,-0.37833816533901904,4.250620769332925e-08,-0.18404743191192155,0.05110946859294388,-0.5871967677970499,-0.9982481145077657
100072,1,0.017167592119621787,9.924238386679377,0.06191704428123934,0.7938822441741069,0.03376449025622298,-0.15479261070309835,-0.00026661081970762445,-0.048076798853682434,1.7346396538910274,0.9526586930089282,0.23621994146806416
100072,2,0.03480011608790315,6.738588981193401,0.1213614426198657,0.7760138291769544,0.1107091166125681,-0.30340360654966425,0.012084735759012944,0.006180595632415242,-1.940034572942386,-0.2535027028542114,-0.39254760893914037
100072,3,0.1099835038951118,5.048435726981118,0.11209321131776351,0.9790105262974346,0.16190707786281783,-0.28023302829440877,0.014000824723119408,-0.05219768672227555,0.05381101680997702,-1.1748126315569214,0.124316584821627
100072,4,0.13512963692992994,7.966711500828951,0.24715002265830288,0.8545232438274868,0.2126370587681461,-0.03936643716765638,0.022615535459797918,-0.24715002265830288,-2.136308109568717,-0.23447152961214196,-0.5788966867939314
100072,5,0.17457118014979606,0.1743633520032663,0.1566053387078727,0.6321651323905958,,-0.3045097376341843,-5.664647037942022e-10,0.1566053387078727,1.2074050453004084,0.758598158868715,0.3948658541374039
100079,1,0.04737854976329852,2.142650483114616,0.27239241866127295,0.20387804307787705,0.08257568200439573,-0.27437291817016596,-5.2121624443923766e-05,-0.27239241866127295,0.2894735325687324,0.19738794474810292,0.20387804307787705
100079,2,0.08262761144461692,1.969187085284971,0.08988574965131649,0.9517305307842623,0.08094266418460411,-0.22471437412829123,5.2116960342283405e-05,-0.038311939362290784,-2.3793263269606557,-0.30774849687425715,0.022675061857940923
100079,3,0.08103518496224844,4.5090615595596475,0.07187644150702845,0.9681875359404146,0.21705158021460888,-0.1796911037675711,3.5793133963112364e-09,0.024756215755647317,2.0493848298105184,-0.33702519948920057,-0.9681875359404146
100079,4,0.08844622417884379,10.026376473843394,0.09933262996226377,0.47214529946277434,0.13489437213282357,-0.2010594932121451,3.7057875174628664e-05,-0.09933262996226377,-0.09548134670795022,-0.5665743593553292,0.16580723160460542
100079,5,0.13501230174122034,0.13497342961966485,0.10718217156883433,0.844905788112104,,-0.26795542892208585,-4.800945178497552e-05,-0.0644588460722592,-1.0118773990827328,1.0138869457345248,0.12467276945771648
100089,1,0.024472210186936367,8.167449084675525,0.06575629590090992,0.6808856575311899,0.10171163190395442,0.11519204208018441,0.00012976955796473177,-0.06575629590090992,0.8716207763543987,-0.8170627890374279,0.09368583998828584
100089,2,0.01296698896313577,1.9554435338447174,0.05802957238476303,0.5204552294422363,4.98139408090062e-08,-0.05497208827601574,0.0008747868218688559,0.05802957238476303,-1.0993610655025714,0.6245462753306835,0.22319860844885017
100089,3,0.004138744265501604,8.41835773507224,0.06511828495383008,0.8580922402211415,0.00516409888880689,-0.16279571238457521,-0.005924152267177869,0.003285999868753793,-0.7189685861261453,1.0297106882653697,0.23212050378755342
100089,4,0.005341131122530326,2.805008445308493,0.06877029865131806,0.564004420885545,0.024712758482224834,-0.17192574662829516,2.0855729752024613e-05,0.014458884644034735,1.4100110522138625,-0.5856223510725184,-0.05383179796048454
100089,5,0.005164087025801922,0.0062470610103496005,0.21939318005166225,0.32300958709983874,,-0.06997957893114323,-2.085965514085949e-05,0.21939318005166225,-0.8075239677495969,-0.256627713204718,-0.2752606287066511
100094,1,0.010403431016015444,1.3445167144676495,0.08150481715182845,0.18819214906308226,0.04619741678198255,-0.20376204287957111,0.00016169623169588475,-0.0385816068458692,-0.47048037265770565,-0.12921156107709575,0.0074916726905389615
100094,2,0.04610231086017378,1.353161773196597,0.08407786035725329,0.6800305378597602,0.18937269010334457,-0.21019465089313322,-0.0005273328935728399,0.026019195134807927,-1.7000763446494005,0.1482694838674661,0.2610824274486615
100094,3,0.18995388370072824,8.812143174396011,0.23195050242774742,0.7271541026609065,0.36019027353935257,-0.3411918606223603,0.0295014838580614,-0.23195050242774742,0.11302806822326927,0.8725849231930878,-0.17047303766659438
100094,4,0.2638877327344849,4.70709606906684,0.27101723684165174,0.9720990052724771,0.26688942211584465,-0.2615996733332072,0.0822818205770964,-0.27101723684165174,-1.1875069498135438,-1.1665188063269725,0.5066739117379713
100094,5,0.2633216672196741,0.26887558357270647,0.07464790423853798,0.9830158890105763,,-0.18661976059634497,4.173354116873622e-09,-0.0017471692025981026,2.0326874925834506,0.3869948858210144,-0.9830158890105763
100099,1,4.775591712528637e-08,6.424575927309313,0.08832937578498498,0.5366621087714959,0.12301711886406197,-0.22082343946246247,-4.784802504915431e-09,2.2680655001113675e-08,0.3732926677698989,-0.643994530525795,-0.1801436179598077
100099,2,0.06927045072500712,2.890469651350705,0.18020951928551873,0.41337286205116425,0.09510087161164997,-0.14959890204594758,8.29042600494187e-09,-0.18020951928551873,-1.0334321551279106,0.358937642619753,0.368323174881936
100099,3,0.09573292112722064,8.121381040341408,0.07971555276704442,0.7075825985505642,0.1313914380446507,-0.19928888191761107,-1.5537145503910467e-08,-0.029288884143236524,-1.7689564963764104,-0.4817546953569391,-0.10909830558302705
100099,4,0.1308419480153083,8.518640296683689,0.08197736227962352,0.9126195426352272,0.15739782496843202,-0.20494340569905878,0.016907751775585414,-0.007493849684051698,2.281548856588068,-0.07669464405057315,-0.07431173328864686
100099,5,0.1576844508981071,0.15832880254586482,0.03573406775200315,0.7169862784613176,,0.08011971192979893,4.204314442323615e-07,0.03573406775200315,-0.548869157863713,0.860383534153581,-0.15353349524114634
100101,1,0.05704156875797648,9.38644390416448,0.13500422493914166,0.8062059287209177,0.1167613734385793,-0.33751056234785415,-0.007784158866859369,-0.006990470098818813,-2.0155148218022942,-0.916171444352055,0.09116339060877351
100101,2,0.11385760221759345,8.364975737983526,0.12945627367584928,0.735850632189529,0.11384374990103627,-0.1125531693000993,-0.017423534977632778,-0.12945627367584928,0.9475445785749913,0.05507274599152741,-0.735850632189529
100101,3,0.1140107265227363,11.155154216943167,0.07492146461123701,0.5105870562326228,0.12524069171368457,0.12187138014500465,-0.017403375302987467,0.07492146461123701,0.12911009345089017,-0.3077544233457216,0.5105870562326228
100101,4,0.12529205516276606,3.27913498362338,0.15089475313037817,0.8506805494316643,0.16268770877342908,-0.051468196398703814,-0.017403371271434844,-0.15089475313037817,0.2407537966587765,0.7929555687012169,-0.8506805494316643
100101,5,0.15879669762668097,0.15956995118539358,0.150861831696592,0.8492795628022923,,-0.37715457924148,-0.017403375708570076,0.0132526211538633,-0.06224178409465707,0.29848168309408724,0.8492795628022923
100110,1,0.1062157454200851,3.898402859326499,0.2738188389854807,0.6288998982503355,0.11402254099729749,0.26445434426672176,-0.01740337523198544,-0.2738188389854807,0.3511521459955864,0.3836193675163263,-0.6288998982503355
100110,2,0.11703561523865669,6.655706305997657,0.10382421169634515,0.3125980275589688,0.201092531454309,-0.037640735899496236,-0.0167908403037087,-0.10382421169634515,-0.6908891346957186,0.24484807301601721,0.3125980275589688
100110,3,0.11785845995125126,2.858677457480688,0.05368681200869574,0.5404847066539041,0.11466037056081452,-0.01224379287563554,-0.017970732241272103,0.05368681200869574,1.3512117666347603,-0.41306003603487096,0.30104112915658504
100110,4,0.11444851044419693,3.658003779921203,0.03603199517155055,0.546809555675011,0.114564647962255,-0.018927165175115553,-0.017448553066295166,-0.03603199517155055,-0.7648923676419677,-0.6561714668100131,0.21229229648810807
