assembly_id,greedy_final_quality,lookahead_final_quality,lookahead_minus_greedy
100015,0.06391373241884916,0.06012169214497222,-0.0037920402738769454
100022,0.14757599735669552,0.14779108021676993,0.0002150828600744059
100030,0.10657263446029523,0.10773625906779281,0.001163624607497582
100031,0.14436590154368656,0.14432248826885152,-4.3413274835035764e-05
100039,0.15063535330350342,0.15081115837592865,0.00017580507242523358
100072,0.17457118014979606,0.1743633520032663,-0.0002078281465297538
100079,0.13501230174122034,0.13497342961966485,-3.887212155548325e-05
100089,0.005164087025801922,0.0062470610103496005,0.0010829739845476787
100094,0.2633216672196741,0.26887558357270647,0.005553916353032373
100099,0.1576844508981071,0.15832880254586482,0.0006443516477577238
100101,0.15879669762668097,0.15956995118539358,0.0007732535587126055
100110,0.11929872236148499,0.11617332259275745,-0.003125399768727541
100122,0.07879303000338767,0.07764392633866904,-0.001149103664718626
100125,0.06417100561628017,0.057372644216314723,-0.0067983613999654455
100135,0.13523765375963198,0.13525509205346778,1.7438293835797536e-05
100141,0.0969119609289933,0.09569426405260403,-0.001217696876389271
100148,0.28457145339663953,0.2838429040232253,-0.0007285493734142112
100153,0.16934445332867526,0.16916030905147625,-0.00018414427719901094
100155,0.15996786860626322,0.16083009333492745,0.0008622247286642348
100171,0.16095258814184804,0.1633578951895741,0.0024053070477260685
100173,0.16224869215639265,0.16945714609637808,0.007208453939985426
100180,0.13098697514416768,0.1332154506001436,0.0022284754559759035
100183,0.1870711969689336,0.18710570574881627,3.450877988267487e-05
100186,0.21035237365042073,0.2103522240768421,-1.49573578633877e-07
100187,0.14173067731219596,0.14989862883447863,0.008167951522282668
100200,0.25933851216036513,0.2624446255743738,0.003106113414008682
100201,0.2153186490269523,0.21581364872189174,0.0004949996949394353
100220,0.3372244898574072,0.3377149428259101,0.0004904529685028636
100238,0.2293569753124517,0.2292009416289234,-0.0001560336835282894
100261,0.24510215414912473,0.24530789095729322,0.0002057368081684885
