split,assembly_id,assembly_index,component_index,sequence_length,nonlinearity_strength,state_mean_gap,state_max_gap,state_parallelism,state_rms,state_quality,state_signed_mean,state_signed_end_difference,state_estimated_angle_deg,component_profile_rms,component_parallelism,lsq_z_adj_mm,lsq_theta_adj_deg,lsq_locator_offset_mm,lsq_utilization,state_profile_p000,state_profile_p010,state_profile_p020,state_profile_p030,state_profile_p040,state_profile_p050,state_profile_p060,state_profile_p070,state_profile_p080,state_profile_p090,state_profile_p100,pre_correction_quality,lsq_true_quality,composite_q_true_quality,composite_q_z_adj_mm,composite_q_theta_adj_deg,composite_q_locator_offset_mm,composite_q_utilization,composite_q_optimizer_success,composite_q_evaluations,composite_q_winning_start,numerical_reference_true_quality,numerical_reference_z_adj_mm,numerical_reference_theta_adj_deg,numerical_reference_locator_offset_mm,numerical_reference_utilization,numerical_reference_optimizer_success,numerical_reference_evaluations,numerical_reference_beats_composite_q,best_reference_source,best_reference_true_quality,best_reference_z_adj_mm,best_reference_theta_adj_deg,best_reference_locator_offset_mm,reference_gain_over_composite_q,reference_relative_gain_percent,target_delta_z_mm,target_delta_theta_deg,target_delta_locator_mm
training,TRAINING_0001,1,1,10,1.0,0.6902779493841261,1.0479776004612555,1.0444204919169395,0.7631106697205697,0.9111138795007534,0.6728246662837949,1.0444204919169395,0.059840864465403425,0.7621974354606647,1.0231829798100063,-0.55079400966596,-0.06199407309924076,-0.4097606542100085,0.4097606542100085,-0.11959220447525652,0.02335205966393164,0.38500908855247656,0.567465822663552,0.6302726185905747,0.929605447490784,1.046913044786807,0.8663249683951177,0.8894440451275484,1.0028894168686238,0.9248282874416831,0.9111138795007534,0.17254522056282998,0.09224936876715956,-0.5094570590490182,-0.054357146814892315,-0.3982037909449953,0.3982037909449953,False,4365,GRID,0.09228896563903759,-0.510504104610765,-0.054359985492385694,-0.38498794329255925,0.38498794329255925,False,1122,False,COMPOSITE_Q,0.09224936876715956,-0.5094570590490182,-0.054357146814892315,-0.3982037909449953,0.0,0.0,0.0,0.0,0.0
training,TRAINING_0001,1,2,10,1.0,0.6238542053028289,1.1634273271566016,0.1854499528192533,0.7010109171864035,0.6619205373022454,0.6217318849267445,0.1854499528192533,0.010625499485633847,0.6858378480282761,0.1501413032147209,-0.5131252077574682,-0.020520070202897412,-0.364684943291158,0.364684943291158,0.16333007262404675,0.07086941784764472,0.810218768682791,0.8935443096202786,0.38063157773691647,0.8639357555335105,1.1500640157327224,0.5360203301127882,0.4957165650101408,0.838573431761284,0.34878002544330006,0.6619205373022454,0.3273224154526952,0.2553345257002844,-0.4912619243389357,-0.00960586799917695,-0.3631105702363739,0.3631105702363739,True,4965,GRID,0.2553517838806746,-0.49063423024694947,-0.009605851362031816,-0.37601891095008705,0.37601891095008705,False,1182,False,COMPOSITE_Q,0.2553345257002844,-0.4912619243389357,-0.00960586799917695,-0.3631105702363739,0.0,0.0,0.0,0.0,0.0
training,TRAINING_0001,1,3,10,1.0,0.9203624096007016,1.554004581210782,0.3794597538511285,0.9779079397347289,0.9539388173722566,-0.9203624096007016,0.3794597538511285,0.021741441347228215,0.8923116335604057,0.3809649858288944,0.822653083043236,-0.03211860025105669,0.32809327329928506,0.3290612332172944,-1.0549632287422763,-1.3309985372823374,-0.6971080079608871,-0.7459565379730482,-1.486932381007897,-1.0866977979145642,-0.6487528085293595,-1.0145157306703674,-0.928097043978688,-0.3916033040775729,-0.6755034748911478,0.9539388173722566,0.35777356115853987,0.2276510601951562,0.7223674762832603,-0.01934704025571183,0.3045607043265302,0.3045607043265302,True,5381,GRID,0.22786819701184013,0.7230177393983415,-0.019347003438424024,0.30461182645390134,0.30461182645390134,False,998,False,COMPOSITE_Q,0.2276510601951562,0.7223674762832603,-0.01934704025571183,0.3045607043265302,0.0,0.0,0.0,0.0,0.0
training,TRAINING_0001,1,4,10,1.0,0.7031277834751523,1.2470719455400594,0.14159834727506188,0.7462608112790914,0.7021655040149912,0.7031277834751523,0.14159834727506188,0.008112987630666757,0.733948729483767,0.16171307682287633,-0.5776268699371367,-0.014908462533701042,-0.4214132568043149,0.4214132568043149,0.456476290620136,0.26338498051126963,0.7514328229339884,0.8338790229394283,0.5519508784270102,1.0809741858541673,1.1257029700086747,0.6027124409201708,0.5042862601099238,0.8151428884370113,0.5980746378951979,0.7021655040149912,0.24079795144251942,0.16781959158194118,-0.5307287385611729,-0.0073124644390141925,-0.37013438522774517,0.37013438522774517,True,5001,GRID,0.16783915598109606,-0.5307092904170665,-0.007309951424854555,-0.37008786211300304,0.37008786211300304,False,1398,False,COMPOSITE_Q,0.16781959158194118,-0.5307287385611729,-0.0073124644390141925,-0.37013438522774517,0.0,0.0,0.0,0.0,0.0
training,TRAINING_0001,1,5,10,1.0,0.4487117580774909,1.0441398355439355,1.706342739199471,0.524388825701978,1.012197182416467,-0.16758458884899569,-1.706342739199471,-0.09776614247351469,0.5373742884772645,1.7041376590803288,0.18192564187935628,0.09369727166622609,-0.04815510654985788,0.07808105972185507,0.6622029036555355,0.3395837962108865,0.4811805828342453,0.2849944957533709,-0.21932988106921686,-0.021703154425205373,-0.17826866193615154,-0.6054839828383345,-0.7911686147712903,-0.7637860591045065,-1.0441398355439355,1.012197182416467,0.16239117529185743,0.12632549219120312,0.16578177880177636,0.08866598565082201,-0.0334280732703487,0.07388832137568502,True,5101,GRID,0.12632580601485988,0.16578579024243026,0.08866598383268554,-0.033435820487544454,0.07388831986057129,False,1426,False,COMPOSITE_Q,0.12632549219120312,0.16578177880177636,0.08866598565082201,-0.0334280732703487,0.0,0.0,0.0,0.0,0.0
training,TRAINING_0001,1,6,10,1.0,0.3307687584780426,0.7834047512438251,0.3376108021311689,0.3836070268727541,0.4738959962431864,-0.11312414426765571,-0.3376108021311689,-0.019343673345204915,0.2738602685387162,0.35189086425485294,0.23278437723310663,0.005705210969737805,-0.40180112687912156,0.40180112687912156,-0.1180192683794524,-0.5101213440658053,0.23865440218104159,0.23055740251779713,-0.4482012795003199,0.33216961796009425,0.4092104937925105,-0.493181427427011,-0.5618404684511696,0.017392911588003854,-0.4556300705106213,0.4738959962431864,0.3836706453992499,0.2889643144644103,0.1877095564185057,0.017772688139345884,-0.32538548937831696,0.32538548937831696,True,6177,GRID,0.28917436609403685,0.18864341041958996,0.017772649917587945,-0.3274622325267059,0.3274622325267059,False,1074,False,COMPOSITE_Q,0.2889643144644103,0.1877095564185057,0.017772688139345884,-0.32538548937831696,0.0,0.0,0.0,0.0,0.0
training,TRAINING_0001,1,7,10,1.0,0.5644701746877602,1.2139329432599155,1.594070101467798,0.6507800982068449,1.0768199756453265,0.2722680363060141,1.594070101467798,0.09133341170093734,0.5448034682165747,1.6047139187017416,-0.22712109637380895,-0.10198333800685626,-0.15159665738860473,0.15159665738860473,-0.7869660803751072,-0.7862315775339458,0.09424722262412481,0.2787456211417886,-0.22754116118175308,0.4457836133801813,0.7821021891733979,0.48216350779718986,0.5836639565582323,1.1193065337690546,0.8071040210926909,1.0768199756453265,0.39869889717181006,0.2579373073383838,-0.22028034774567487,-0.08235294182441953,-0.20006282329552105,0.20006282329552105,True,5117,GRID,0.2580257581444233,-0.2201433653274377,-0.08235415938308169,-0.1970141978611824,0.1970141978611824,False,1062,False,COMPOSITE_Q,0.2579373073383838,-0.22028034774567487,-0.08235294182441953,-0.20006282329552105,0.0,0.0,0.0,0.0,0.0
training,TRAINING_0001,1,8,10,1.0,0.2884028490382095,0.6895323523559641,0.21423350382093873,0.3336283737612878,0.3910134489406625,0.2411966024775638,0.21423350382093873,0.012274675411453443,0.2997771215526853,0.17672878157497574,-0.2773959243773138,-0.01583968916720203,0.12155189716017958,0.12155189716017958,-0.11987014632177095,-0.07733086813610962,0.49477728457723663,0.4795621466761355,-0.08778646970351868,0.21238783670434383,0.35770284659671686,0.3264341194735101,0.30804655050264607,0.46998561473635553,0.09436335749916777,0.3910134489406625,0.2415942906434748,0.20345962504127074,-0.29481467216447815,-0.011357245495119368,0.06243321906002213,0.11792586886579126,False,4845,GRID,0.20349667015147735,-0.2936402278329689,-0.011356418502428899,0.04955391481867233,0.11745609113318756,False,1438,False,COMPOSITE_Q,0.20345962504127074,-0.29481467216447815,-0.011357245495119368,0.06243321906002213,0.0,0.0,0.0,0.0,0.0
training,TRAINING_0001,1,9,10,1.0,0.3387467404423503,1.0819944224994056,0.8773751308376663,0.4432116905366358,0.7337560571874902,0.26040218116891767,-0.8773751308376663,-0.05026987914770416,0.4121666782553052,0.8685300962479446,-0.3361080652279312,0.04101273484234606,0.2542090114020958,0.2542090114020958,0.6401305848492298,0.2822460701687129,0.8976107432620026,0.7709161662856446,-0.1294144539140718,0.164057543396102,0.3606260746636902,-0.004975252912100547,-0.10237959582090098,0.2729632596879066,-0.2372445459884365,0.7337560571874902,0.29460843449291835,0.2617498390319873,-0.32342385150910896,0.045575323540281085,0.1488278378025102,0.1488278378025102,True,3989,GRID,0.2618789846431844,-0.3239066845283947,0.04555619424992736,0.1520037927182325,0.1520037927182325,False,1286,False,COMPOSITE_Q,0.2617498390319873,-0.32342385150910896,0.045575323540281085,0.1488278378025102,0.0,0.0,0.0,0.0,0.0
training,TRAINING_0001,1,10,10,1.0,0.40522125869616377,1.1007346730879604,0.45396484319990926,0.5062351735237077,0.6385997498475808,0.26031283471426664,-0.45396484319990926,-0.02601026777590573,0.3748279431720018,0.4095462797243891,-0.17846032487652086,0.006656975439663851,-0.27484845947263375,0.27484845947263375,0.16556025407055155,-0.25003378012777044,0.7958697642910192,0.8106545008473339,-0.16610593738862983,0.5775488026857599,0.8073490880451484,-0.05100538885000787,-0.15814567403004173,0.5087240069526957,-0.28840458912935774,0.6385997498475808,0.4989509705906257,0.38291477327451645,-0.16736599128527946,0.02355330012884063,-0.347359008746341,0.347359008746341,True,4557,GRID,0.38306045892995566,-0.167809073989853,0.02355640837682893,-0.34036625574781976,0.34036625574781976,False,1150,False,COMPOSITE_Q,0.38291477327451645,-0.16736599128527946,0.02355330012884063,-0.347359008746341,0.0,0.0,0.0,0.0,0.0
