scenario_type,n_decisions,zero_mean_quality,structured_mean_quality,selective_mean_quality,structured_exact_best_percent,structured_mean_regret,bo_trigger_rate_percent,selective_beats_zero_percent,selective_mean_utilization
bend,154,0.5547037649074611,0.1929643013640948,0.1931070519353942,86.36363636363636,0.0061539470753329,37.01298701298701,83.76623376623377,0.0899671604086768
mixed,694,0.6874218995961113,0.2020238287386865,0.202574860502976,83.5734870317003,0.0117687026310717,24.06340057636888,90.34582132564842,0.1298421943279112
offset,150,0.627808972864728,0.1110833491215442,0.1124070217661742,86.66666666666667,0.0083150035732619,20.666666666666668,91.33333333333331,0.1556510275195629
tilt,160,0.6746494450104743,0.1297726915367026,0.1326737308399911,91.875,0.0122038358110368,14.374999999999998,97.5,0.1009641527770016
twist,161,0.4770485676918428,0.1071559498480578,0.1081752502986138,86.33540372670807,0.0058298014671718,35.40372670807454,80.12422360248446,0.0874217880535755
waviness,181,0.5420500635167215,0.1557624034556498,0.156437774035698,91.16022099447514,0.0015543338222045,31.49171270718232,84.5303867403315,0.0886403921843948
