assembly_id,batch_id,batch_condition,component_index,severity,scenario_type,zero_actual_quality,structured_predicted_quality,structured_actual_quality,structured_prediction_abs_error,structured_prediction_margin,structured_true_best_quality,structured_absolute_regret,structured_exact_best_hit,structured_top3_hit,structured_selected_true_rank,structured_z_adj,structured_theta_adj,structured_locator_offset,structured_utilization,structured_candidate_source,selective_trigger_margin,bo_triggered,selective_controller_source,selective_predicted_quality,selective_actual_quality,selective_prediction_abs_error,selective_beats_zero,selective_z_adj,selective_theta_adj,selective_locator_offset,selective_utilization,selective_capability_penalty,bo_best_was_structured_initial,selective_mean_gap,selective_max_gap,selective_parallelism,selective_rms,quality_improvement,quality_improvement_percent,residual_quality_ratio,controller_improved_case,controller_worsened_case,improvement_per_utilization,observed_correctability_class,high_regret_case,higher_capability_case,higher_residual_case
100001,1,normal,1,medium,waviness,0.0277058363119585,0.030241036965633,0.0277010497531896,0.0025399872124434,0.0002131229392571,0.0277010497531896,0.0,True,True,1,-0.0,-0.0,-0.0001284683629305,0.0001284683629305,informed,0.0002131229392571,True,warmstart_bo,0.030241036965633,0.0277010497531896,0.0025399872124434,True,-0.0,-0.0,-0.0001284683629305,0.0001284683629305,2.2005493698723547e-10,True,0.031202932358217,0.049519878507912,3.638661635502362e-17,0.0348420649335092,4.786558768898885e-06,0.017276355476166922,0.9998272364452383,True,False,0.00047865587688988853,DIFFICULT,False,False,False
100001,1,normal,2,medium,mixed,0.123630054846124,0.0926746484183095,0.10159373423819,0.0089190858198804,0.0068762845627957,0.10159373423819,0.0,True,True,1,-3.0078167475087913e-19,0.0028366461942255,-0.0,0.0023638718285212,informed,0.0068762845627957,True,warmstart_bo,0.0926746484183096,0.10159373423819,0.0089190858198804,True,-3.0078167475087913e-19,0.0028366461942255,-0.0,0.0023638718285212,7.450520028901868e-08,True,0.1098721620278187,0.1877735491358891,1.1796119636642288e-16,0.1230002088907761,0.022036320607933993,17.824404134869532,0.8217559586513047,True,False,2.2036320607933995,DIFFICULT,False,False,False
100001,1,normal,3,high,mixed,0.3465435732604848,0.2818350423547101,0.3309599979772978,0.0491249556225877,0.0015130282722964,0.3288511767326544,0.0021088212446433,False,True,2,0.0042697423756492,3.3793393490549873e-18,-0.0,0.0017078969502596,informed,0.0015130282722964,True,warmstart_bo,0.2818350423547101,0.3309599979772978,0.0491249556225877,False,0.0042697423756492,3.3793393490549873e-18,-0.0,0.0017078969502596,3.8892159902750916e-08,True,0.2844741990291258,0.7014654833601526,1.5699247457590104e-16,0.3517809326051425,0.01558357528318699,4.496858832662107,0.9550314116733789,True,False,1.558357528318699,DIFFICULT,False,False,True
100001,1,normal,4,low,mixed,0.4263375268795231,0.3006599776674751,0.3199195471204686,0.0192595694529935,0.1273838115720335,0.3199195471204686,0.0,True,True,1,-0.1741773789132226,4.4975031042570045e-18,-0.0,0.069670951565289,informed,0.1273838115720335,False,structured_direct,0.3006599776674751,0.3199195471204686,0.0192595694529935,True,-0.1741773789132226,4.4975031042570045e-18,-0.0,0.069670951565289,0.0,,0.2744678942354255,0.6806224103237323,9.714451465470121e-17,0.3339245575272124,0.10641797975905448,24.96096943141641,0.7503903056858359,True,False,1.5274368638316882,DIFFICULT,False,False,True
100001,1,normal,5,medium,waviness,0.4686975441677335,0.3065841656612946,0.3398119891241024,0.0332278234628078,0.0615523629324933,0.3398119891241024,0.0,True,True,1,-0.0812251036399851,2.782985346280577e-18,-0.0,0.032490041455994,informed,0.0615523629324933,False,structured_direct,0.3065841656612946,0.3398119891241024,0.0332278234628078,True,-0.0812251036399851,2.782985346280577e-18,-0.0,0.032490041455994,0.0,,0.3131914869488423,0.6982170106628396,1.1102230246251563e-16,0.3638943984059782,0.12888555504363114,27.498662335108513,0.7250133766489149,True,False,3.9669249181537563,DIFFICULT,False,False,True
100002,1,normal,1,high,mixed,0.4679964347589239,0.1948452233620199,4.975972214397733e-05,0.194795463639876,0.0920043102010087,4.975972214397733e-05,0.0,True,True,1,0.2989475034761559,0.0319324943228525,0.0329113236749205,0.1195790013904623,informed,0.0920043102010087,False,structured_direct,0.1948452233620199,4.975972214397733e-05,0.194795463639876,True,0.2989475034761559,0.0319324943228525,0.0329113236749205,0.1195790013904623,0.0,,5.129056719473639e-05,9.42751449628243e-05,0.0,6.090008496709124e-05,0.4679466750367799,99.98936749973969,0.00010632500260308554,True,False,3.9132846870730233,HIGHLY_CORRECTABLE,False,False,False
100002,1,normal,2,medium,offset,0.55758631055669,0.0075731994562168,3.5348009997244766e-05,0.0075378514462195,0.084798127605167,3.5348009997244766e-05,0.0,True,True,1,0.1295382822346923,-0.0,-0.0,0.0518153128938769,informed,0.084798127605167,False,structured_direct,0.0075731994562168,3.5348009997244766e-05,0.0075378514462195,True,0.1295382822346923,-0.0,-0.0,0.0518153128938769,0.0,,3.530927969805804e-05,6.862986136546567e-05,0.0,4.166267678187656e-05,0.5575509625466927,99.99366053123471,6.339468765284711e-05,True,False,10.760351166625481,HIGHLY_CORRECTABLE,False,False,False
100002,1,normal,3,high,tilt,0.4195726965662235,0.0149949703500628,2.9622444949604568e-05,0.0149653479051132,0.0631289054094487,2.9622444949604568e-05,0.0,True,True,1,-1.2822641798688932e-05,-0.0172815154404278,-0.0,0.0144012628670231,informed,0.0631289054094487,False,structured_direct,0.0149949703500628,2.9622444949604568e-05,0.0149653479051132,True,-1.2822641798688932e-05,-0.0172815154404278,-0.0,0.0144012628670231,0.0,,3.118447301633584e-05,5.580721956677248e-05,0.0,3.524937174672075e-05,0.4195430741212739,99.99293985400098,7.060145999020958e-05,True,False,29.13238081932172,HIGHLY_CORRECTABLE,False,False,False
100002,1,normal,4,extreme,mixed,0.4239709580572922,0.1802331816648857,0.1780462019770173,0.0021869796878683,0.0099148698518274,0.1780462019770173,0.0,True,True,1,-6.411320899343405e-06,0.0007820917224058,-0.0,0.0006517431020048,informed,0.0099148698518274,True,warmstart_bo,0.1802331816648857,0.1780462019770173,0.0021869796878684,True,-6.411320899343405e-06,0.0007820917224058,-0.0,0.0006517431020048,5.663675304221205e-09,True,0.1538728262533266,0.3761530189976225,1.240327285323417e-16,0.1903844840173255,0.2459247560802749,58.00509478459195,0.4199490521540805,True,False,24.592475608027488,CORRECTABLE,False,False,False
100002,1,normal,5,low,mixed,0.4635510198011304,0.2057841985039578,0.2090657065341715,0.0032815080302136,0.0507197705079481,0.2090657065341715,0.0,True,True,1,-0.0577301650452489,0.0069702665670961,-0.0,0.0230920660180995,informed,0.050719770507948,False,structured_direct,0.2057841985039579,0.2090657065341715,0.0032815080302135,True,-0.0577301650452489,0.0069702665670961,-0.0,0.0230920660180995,0.0,,0.1801753516826456,0.4431349837016392,6.245004513516506e-17,0.2207260591888602,0.2544853132669589,54.8990946835014,0.451009053164986,True,False,11.020465343702638,CORRECTABLE,False,False,False
