assembly_id,batch_id,batch_condition,zero_final_quality,structured20_final_quality,selective_bo_final_quality,structured20_beats_zero,selective_bo_beats_zero,selective_bo_beats_structured20,structured20_beats_selective_bo,structured20_improvement_vs_zero_percent,selective_improvement_vs_zero_percent,selective_minus_structured_quality,n_bo_triggers,bo_trigger_rate_percent,selective_final_mean_gap,selective_final_max_gap,selective_final_parallelism,selective_final_rms,structured_improvement,structured_improvement_percent,structured_residual_ratio,assembly_improved,high_residual_assembly,difficult_assembly
100001,1,normal,0.4686975441677335,0.3398119891241024,0.3398119891241024,True,True,False,False,27.498662335108516,27.498662335108516,0.0,3,60.0,0.3131914869488423,0.6982170106628396,1.1102230246251563e-16,0.3638943984059782,0.12888555504363114,27.498662335108513,0.7250133766489149,True,True,True
100002,1,normal,0.4635510198011304,0.2090657065341715,0.2090657065341715,True,True,False,False,54.8990946835014,54.8990946835014,0.0,1,20.0,0.1801753516826456,0.4431349837016392,6.245004513516506e-17,0.2207260591888602,0.2544853132669589,54.8990946835014,0.451009053164986,True,False,False
100003,1,normal,0.4916328895506952,0.2203657714941582,0.2203657714941582,True,True,False,False,55.17676376461485,55.17676376461485,0.0,3,60.0,0.1924389034227826,0.4628226613301452,5.551115123125783e-17,0.237873020682798,0.27126711805653697,55.176763764614854,0.4482323623538514,True,False,False
100004,1,normal,1.0842060442014714,0.0113372373242603,0.0113372373242603,True,True,False,False,98.9543281570054,98.9543281570054,0.0,1,20.0,0.0125130747470804,0.0206221173857943,0.0,0.0139667968439788,1.072868806877211,98.9543281570054,0.010456718429945932,True,False,False
100005,1,normal,0.6642064751889215,0.16092821807686,0.16092821807686,True,True,False,False,75.77135663558732,75.77135663558732,0.0,4,80.0,0.1670776948403482,0.3048577411949529,2.775557561562892e-17,0.1934758726626964,0.5032782571120615,75.77135663558732,0.24228643364412683,True,False,False
100006,1,normal,0.8737619534818086,0.281047868782925,0.2579632969733243,True,True,True,False,67.834732599309,70.47670753511528,-0.0230845718096006,1,20.0,0.2345033411795963,0.5035668476519435,0.0291371714682248,0.278010888833949,0.5927140846988836,67.834732599309,0.32165267400690994,True,False,False
100007,1,normal,0.2289960089452818,0.1494604718638093,0.1494604718638093,True,True,False,False,34.732280902099625,34.732280902099625,0.0,1,20.0,0.14443060860165,0.2988668783510392,1.1102230246251563e-16,0.1647122577800259,0.07953553708147248,34.73228090209964,0.6526771909790037,True,False,False
100008,1,normal,0.8062418738495909,0.2543130560859588,0.2733992572161742,True,True,False,True,68.45697744875474,66.08967282848192,0.0190862011302154,3,60.0,0.1697883277880192,0.5318847678296432,0.1407009561469996,0.2068704168677564,0.5519288177636321,68.45697744875474,0.31543022551245253,True,False,False
100009,1,normal,0.6601391083490844,0.179855197966761,0.179855197966761,True,True,False,False,72.75495487359419,72.75495487359419,0.0,4,80.0,0.181052809975027,0.3501957944333204,5.551115123125783e-17,0.2048061664425681,0.48028391038232343,72.75495487359419,0.2724504512640581,True,False,False
100010,1,normal,0.3657680375530181,0.2781225731446263,0.2781225731446263,True,True,False,False,23.96203478979148,23.96203478979148,0.0,1,20.0,0.2592052649634236,0.5669992922250026,0.0,0.3026120598809851,0.08764546440839183,23.962034789791495,0.760379652102085,True,False,False
