strategy,recommendation_status,cases,mean_quality_score,median_quality_score,worst_case_quality_score,mean_max_gap,mean_parallelism_error,total_cases,status_share_percent
nominal_universal_baseline,PASS_RECOMMENDED,585,0.668074591299833,0.6542515226543835,1.430613262387663,0.782604459229874,0.897852647220579,1100,53.18181818181819
nominal_universal_baseline,MANUAL_REVIEW,3,0.9293223829614919,0.9227333806814544,0.9507185295629632,1.3580240860713513,0.19087707122736697,1100,0.27272727272727276
nominal_universal_baseline,REWORK_REQUIRED,284,1.6910206096988285,1.6372273378089606,2.4999528113252607,1.7509320258041976,2.654805148160529,1100,25.818181818181817
nominal_universal_baseline,OUT_OF_CORRECTION_RANGE,228,5.423273774130925,4.894655367047077,12.10692813448696,5.326799350875626,9.325649428607573,1100,20.727272727272727
global_best_fixed_setting,PASS_RECOMMENDED,585,0.668074591299833,0.6542515226543835,1.430613262387663,0.782604459229874,0.897852647220579,1100,53.18181818181819
global_best_fixed_setting,MANUAL_REVIEW,3,0.9293223829614919,0.9227333806814544,0.9507185295629632,1.3580240860713513,0.19087707122736697,1100,0.27272727272727276
global_best_fixed_setting,REWORK_REQUIRED,284,1.6910206096988285,1.6372273378089606,2.4999528113252607,1.7509320258041976,2.654805148160529,1100,25.818181818181817
global_best_fixed_setting,OUT_OF_CORRECTION_RANGE,228,5.423273774130925,4.894655367047077,12.10692813448696,5.326799350875626,9.325649428607573,1100,20.727272727272727
batch_adaptive_setting,PASS_RECOMMENDED,620,0.6708693714597816,0.6520563735621601,1.430613262387663,0.7864974705073737,0.907062108795531,1100,56.36363636363636
batch_adaptive_setting,MANUAL_REVIEW,2,0.8776867483656703,0.8776867483656703,0.9227333806814544,1.2736093709444352,0.1235543992098828,1100,0.18181818181818182
batch_adaptive_setting,REWORK_REQUIRED,279,1.7098747442562954,1.6406153637078802,2.49773288309411,1.7634782879667381,2.706179134468954,1100,25.363636363636367
batch_adaptive_setting,OUT_OF_CORRECTION_RANGE,199,5.432802357379292,4.194674243668187,18.567438976381546,5.2913828325274475,9.32001757618698,1100,18.09090909090909
individual_adaptive_setting,PASS_RECOMMENDED,1050,0.630148553944047,0.6198335947927744,1.3593405137257253,0.714165522500607,0.9637961671095419,1100,95.45454545454545
individual_adaptive_setting,REWORK_REQUIRED,50,1.1929699991240594,1.1826448835243795,1.314669333911299,1.1848165488771338,2.073842993961523,1100,4.545454545454546
