scenario_type,severity_level,disturbance_flag,rows,unique_batches,unique_parts,mean_quality_score,std_quality_score,min_quality_score,max_quality_score,pass_rate
bend_dominant,high,normal,400,5,10,6.465246947558657,3.4457037553809413,0.3659960886939382,13.774861156036804,4.5
bend_dominant,low,normal,400,5,10,6.096570646753432,3.4851812672864964,0.23399062748080318,12.989595672982704,4.75
bend_dominant,medium,normal,400,5,10,6.254590728313348,3.2810700678630926,0.3154253245525973,13.021903444396854,3.0
disturbed_batch,high,disturbed,400,5,10,9.8729739102429,5.837335492647269,0.6139068131081814,22.33181187107516,2.5
fixture_drift,high,normal,400,5,10,6.532416723126397,3.478113632416315,0.25436171129501967,15.50291937234414,2.5
fixture_drift,low,normal,400,5,10,6.108806066197725,3.204651639485035,0.32294466388277854,13.496605027877447,4.5
fixture_drift,medium,normal,400,5,10,6.387967958909975,3.334673333251246,0.2389198287789165,14.450038159528496,4.75
mixed,high,normal,400,5,10,6.758076098444122,3.9616194341749376,0.32818762586635375,17.991544586120046,5.25
mixed,low,normal,400,5,10,6.589449193736929,3.492465962931725,0.5271582418866149,14.887836663639854,4.25
mixed,medium,normal,400,5,10,6.750654248789074,3.9543813717251917,0.4116194426359632,17.014967926768595,3.5000000000000004
offset_dominant,high,normal,400,5,10,6.720580516339703,3.3229238521485236,0.514269979285715,13.705523827888165,3.5000000000000004
offset_dominant,low,normal,400,5,10,6.522150505309941,3.2992943185059325,0.4898320860440142,12.583052965973376,3.0
offset_dominant,medium,normal,400,5,10,6.323841812474042,3.1968606859505386,0.2705219812947976,12.643146781842285,4.25
tilt_dominant,high,normal,400,5,10,7.999674214917583,5.184173829473087,0.45994060628350836,20.59737746830432,3.75
tilt_dominant,low,normal,400,5,10,6.5276091213431755,3.6176768246994304,0.27534852909959007,15.730228751497354,3.0
tilt_dominant,medium,normal,400,5,10,7.001881691637214,4.445339965025919,0.4225947681797032,18.61882731755682,3.5000000000000004
twist_dominant,high,normal,400,5,10,6.509166366918159,3.399991533725576,0.5769969485858994,14.501610678284445,5.25
twist_dominant,low,normal,400,5,10,6.04542132351998,3.355345943211193,0.13931264549274003,12.966308583310287,3.0
twist_dominant,medium,normal,400,5,10,6.322089164663636,3.2544695479933177,0.6921374246846456,12.90043227319088,3.25
waviness_dominant,high,normal,400,5,10,6.4772879509875,3.4249752345301414,0.4458422156310464,13.63579628493786,4.75
waviness_dominant,low,normal,400,5,10,6.191261807702642,3.223079794886391,0.8205240584610446,12.989272590339777,2.5
waviness_dominant,medium,normal,400,5,10,6.409634700070608,3.282364700838258,0.31608040115384933,12.996010780261154,4.0
