method,evaluation,predicted_quality,best_quality_so_far,best_z_adj,best_theta_adj,best_locator_offset,optimization_case_id,part_case_id,scenario_type,severity_level,disturbance_flag
random_search,1,10.890708138955622,10.890708138955622,-2.388549671722881,-0.9420212580664997,0.29566213509538275,1,374,,medium,normal
random_search,2,5.761032952007716,5.761032952007716,2.303490753580836,0.6487181263944244,0.8165052190623792,1,374,,medium,normal
random_search,3,7.403298483757407,5.761032952007716,2.303490753580836,0.6487181263944244,0.8165052190623792,1,374,,medium,normal
random_search,4,1.007852066147751,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,5,2.251064830477866,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,6,6.879858491983008,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,7,2.071640741993079,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,8,12.298761141948805,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,9,7.003761236743199,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,10,7.477457192355969,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,11,11.150632887875432,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,12,5.939006387672028,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,13,9.856832989001457,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,14,8.483620160220692,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,15,6.983779696096675,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,16,8.712802519572431,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,17,7.913993199761126,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,18,1.749835212588786,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,19,10.339242694836491,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,20,2.3648087267527322,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,21,2.0193757434513917,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,22,2.3415342249813,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,23,8.2121658447055,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,24,4.527791969044211,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,25,5.453189515087135,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,26,1.295667437427418,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,27,9.303749945430026,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,28,8.78204528904728,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,29,1.231204414047163,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,30,3.1913508334695804,1.007852066147751,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,1,10.890708138955624,10.890708138955624,-2.388549671722881,-0.9420212580664997,0.29566213509538275,1,374,,medium,normal
bayesian_optimization,2,5.761032952007716,5.761032952007716,2.303490753580836,0.6487181263944244,0.8165052190623792,1,374,,medium,normal
bayesian_optimization,3,7.403298483757407,5.761032952007716,2.303490753580836,0.6487181263944244,0.8165052190623792,1,374,,medium,normal
bayesian_optimization,4,1.0078520661477508,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,5,2.2510648304778664,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,6,4.582007429854856,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,7,3.0049533435820073,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,8,2.116161711920806,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,9,1.9059761128579376,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,10,8.683427732133865,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,11,1.3015940387479064,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,12,5.454863520184583,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,13,7.041406352143095,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,14,11.327211478908257,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,15,2.4050517402572007,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,16,2.269709617534757,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,17,1.033738533252768,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,18,1.2435880558587045,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,19,1.1900214366184014,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,20,1.4767960080135571,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,21,1.3000331149830413,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,22,2.3666633745150607,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,23,1.9634209578453505,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,24,1.1697080787578105,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,25,1.101176584883754,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,26,1.275069591042292,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,27,1.3266012429662513,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,28,1.255686721197287,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,29,1.1352878025512319,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
bayesian_optimization,30,1.0086206370924768,1.0078520661477508,-0.21564695014417623,0.12853682745498318,0.6152075888024509,1,374,,medium,normal
random_search,1,8.341930845843219,8.341930845843219,-2.0679475952189597,0.8920291394588247,-0.1628703766787447,2,319,,low,normal
random_search,2,4.871982588033083,4.871982588033083,-1.8758783443646236,0.4872736950420482,-0.37265561644179734,2,319,,low,normal
random_search,3,2.9519659333820862,2.9519659333820862,-0.6551580197906026,0.33006631858948055,0.4083264218810878,2,319,,low,normal
random_search,4,3.7318853240144434,2.9519659333820862,-0.6551580197906026,0.33006631858948055,0.4083264218810878,2,319,,low,normal
random_search,5,3.64619640949299,2.9519659333820862,-0.6551580197906026,0.33006631858948055,0.4083264218810878,2,319,,low,normal
random_search,6,4.77850687284674,2.9519659333820862,-0.6551580197906026,0.33006631858948055,0.4083264218810878,2,319,,low,normal
random_search,7,9.368444817309381,2.9519659333820862,-0.6551580197906026,0.33006631858948055,0.4083264218810878,2,319,,low,normal
random_search,8,2.490215775330453,2.490215775330453,1.604032558766069,-0.14402356597841814,0.6558960864672194,2,319,,low,normal
random_search,9,8.820581345613055,2.490215775330453,1.604032558766069,-0.14402356597841814,0.6558960864672194,2,319,,low,normal
random_search,10,3.2119424410320674,2.490215775330453,1.604032558766069,-0.14402356597841814,0.6558960864672194,2,319,,low,normal
random_search,11,7.0935150967366924,2.490215775330453,1.604032558766069,-0.14402356597841814,0.6558960864672194,2,319,,low,normal
random_search,12,8.735793097677927,2.490215775330453,1.604032558766069,-0.14402356597841814,0.6558960864672194,2,319,,low,normal
random_search,13,5.501105559656459,2.490215775330453,1.604032558766069,-0.14402356597841814,0.6558960864672194,2,319,,low,normal
random_search,14,6.368519172283415,2.490215775330453,1.604032558766069,-0.14402356597841814,0.6558960864672194,2,319,,low,normal
random_search,15,4.443403899168227,2.490215775330453,1.604032558766069,-0.14402356597841814,0.6558960864672194,2,319,,low,normal
random_search,16,8.7566695390524,2.490215775330453,1.604032558766069,-0.14402356597841814,0.6558960864672194,2,319,,low,normal
random_search,17,10.226381402407261,2.490215775330453,1.604032558766069,-0.14402356597841814,0.6558960864672194,2,319,,low,normal
random_search,18,2.368229517516979,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,19,7.3049126008580885,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,20,2.374255769947311,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,21,6.166706407734348,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,22,3.6311071799288848,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,23,8.773844465347377,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,24,7.078000137475917,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,25,11.39076213171175,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,26,8.935764406587689,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,27,7.627208088993653,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,28,5.233655496335441,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,29,10.634259125220627,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
random_search,30,8.727739151831987,2.368229517516979,1.3701398505490885,0.2539839046237964,-0.8632685313624799,2,319,,low,normal
bayesian_optimization,1,8.341930845843223,8.341930845843223,-2.0679475952189597,0.8920291394588247,-0.1628703766787447,2,319,,low,normal
bayesian_optimization,2,4.871982588033084,4.871982588033084,-1.8758783443646236,0.4872736950420482,-0.37265561644179734,2,319,,low,normal
bayesian_optimization,3,2.951965933382087,2.951965933382087,-0.6551580197906026,0.33006631858948055,0.4083264218810878,2,319,,low,normal
bayesian_optimization,4,3.731885324014444,2.951965933382087,-0.6551580197906026,0.33006631858948055,0.4083264218810878,2,319,,low,normal
bayesian_optimization,5,3.646196409492989,2.951965933382087,-0.6551580197906026,0.33006631858948055,0.4083264218810878,2,319,,low,normal
bayesian_optimization,6,2.8342350891696295,2.8342350891696295,0.1001254912272671,0.31812285767002924,0.4673885397120261,2,319,,low,normal
bayesian_optimization,7,1.3303811060004032,1.3303811060004032,-0.818429201858379,-0.06141014256861821,0.5214079211836999,2,319,,low,normal
bayesian_optimization,8,6.301591582091576,1.3303811060004032,-0.818429201858379,-0.06141014256861821,0.5214079211836999,2,319,,low,normal
bayesian_optimization,9,2.086072021814724,1.3303811060004032,-0.818429201858379,-0.06141014256861821,0.5214079211836999,2,319,,low,normal
bayesian_optimization,10,1.5770594669474147,1.3303811060004032,-0.818429201858379,-0.06141014256861821,0.5214079211836999,2,319,,low,normal
bayesian_optimization,11,2.3245037487609195,1.3303811060004032,-0.818429201858379,-0.06141014256861821,0.5214079211836999,2,319,,low,normal
bayesian_optimization,12,1.1049538430478967,1.1049538430478967,-0.8382657155951667,-0.012762863674033564,0.6720829493796034,2,319,,low,normal
bayesian_optimization,13,11.958508305344802,1.1049538430478967,-0.8382657155951667,-0.012762863674033564,0.6720829493796034,2,319,,low,normal
bayesian_optimization,14,5.969179446803886,1.1049538430478967,-0.8382657155951667,-0.012762863674033564,0.6720829493796034,2,319,,low,normal
bayesian_optimization,15,2.7074286303927106,1.1049538430478967,-0.8382657155951667,-0.012762863674033564,0.6720829493796034,2,319,,low,normal
bayesian_optimization,16,0.7600442084100257,0.7600442084100257,0.02695050631843454,0.04374568697023218,-0.16093176385077967,2,319,,low,normal
bayesian_optimization,17,2.099942916072561,0.7600442084100257,0.02695050631843454,0.04374568697023218,-0.16093176385077967,2,319,,low,normal
bayesian_optimization,18,10.958865331345969,0.7600442084100257,0.02695050631843454,0.04374568697023218,-0.16093176385077967,2,319,,low,normal
bayesian_optimization,19,2.4081362937303044,0.7600442084100257,0.02695050631843454,0.04374568697023218,-0.16093176385077967,2,319,,low,normal
bayesian_optimization,20,5.858729879777008,0.7600442084100257,0.02695050631843454,0.04374568697023218,-0.16093176385077967,2,319,,low,normal
bayesian_optimization,21,0.7756530568218143,0.7600442084100257,0.02695050631843454,0.04374568697023218,-0.16093176385077967,2,319,,low,normal
