strategy,scenario_type,severity_level,disturbance_flag,evaluated_cases,mean_quality_score,median_quality_score,std_quality_score,worst_case_quality_score,pass_rate_percent
batch_adaptive_setting,bend_dominant,high,normal,50,1.097760896085085,1.0459803738786315,0.5291335674129815,2.272859470796141,66.0
batch_adaptive_setting,bend_dominant,low,normal,50,0.49563753045877446,0.47029308888507615,0.22952587600150878,0.9918861317713314,100.0
batch_adaptive_setting,bend_dominant,medium,normal,50,0.8797154373480832,0.8300848894872404,0.3614208425306467,1.630816631064698,84.0
batch_adaptive_setting,disturbed_batch,high,disturbed,50,7.4821519395677605,6.86527883810744,4.857277668754077,18.567438976381542,6.0
batch_adaptive_setting,fixture_drift,high,normal,50,1.4691282312996239,1.2354355749192827,0.9562388458176447,3.9307491813603614,48.0
batch_adaptive_setting,fixture_drift,low,normal,50,0.9062338361442517,0.9501033847952263,0.408755442381301,1.596917767477247,62.0
batch_adaptive_setting,fixture_drift,medium,normal,50,1.3993363662468976,1.4512095791076578,0.7249127828315988,2.6193013313376037,42.0
batch_adaptive_setting,mixed,high,normal,50,3.1103840790713293,2.464415716828241,2.125832929108538,10.029767167459305,20.0
batch_adaptive_setting,mixed,low,normal,50,1.8484499030254127,1.8821387285703257,1.1148978531377973,5.389973584450169,32.0
batch_adaptive_setting,mixed,medium,normal,50,2.8131343182159982,2.7504352695995022,1.8322789662772336,7.841046383151056,24.0
batch_adaptive_setting,offset_dominant,high,normal,50,1.2571990933397448,1.203914762500206,0.6503850082823778,2.762227364390315,50.0
batch_adaptive_setting,offset_dominant,low,normal,50,0.5590221015214277,0.553368145186601,0.2679200976043429,1.037042510914969,100.0
batch_adaptive_setting,offset_dominant,medium,normal,50,0.8714146192738735,0.9050166272129947,0.42485052559585806,2.22554329408945,82.0
batch_adaptive_setting,tilt_dominant,high,normal,50,4.3048676922112445,3.0045100824427333,3.524777442895837,12.730553874099185,26.0
batch_adaptive_setting,tilt_dominant,low,normal,50,2.076057427148393,1.8159702546614314,1.1786363505334259,4.146663039421165,20.0
batch_adaptive_setting,tilt_dominant,medium,normal,50,3.622927814970521,3.4828722741336464,2.2511520273322163,8.349700528899925,14.000000000000002
batch_adaptive_setting,twist_dominant,high,normal,50,1.2641707940028704,1.2652488164516944,0.6862553993926197,2.4867354200783427,48.0
batch_adaptive_setting,twist_dominant,low,normal,50,0.6015722338950303,0.564190932942428,0.2849318844754155,1.1370994785397026,100.0
batch_adaptive_setting,twist_dominant,medium,normal,50,0.9374539765794553,0.928325528729706,0.4425159675194217,1.7939012775578123,68.0
batch_adaptive_setting,waviness_dominant,high,normal,50,1.1298514288345458,1.1571651669751029,0.5260250297621811,2.074336184168555,60.0
batch_adaptive_setting,waviness_dominant,low,normal,50,0.5726897618432265,0.5666128833444612,0.20247337328679105,0.9759094176931695,100.0
