case_id,dev_offset,dev_tilt,dev_bend,dev_waviness,dev_noise,z_adj,theta_adj,locator_offset,mean_gap,max_gap,parallelism_error,rms_deviation,quality_score,tolerance_pass
0,1.0958241942238534,-0.12224312049589536,1.0757937597341476,0.5578944232474912,0.01412660218314743,2.3781117581837794,0.626735284776847,0.5721286105539076,3.275148739929136,7.47285745070518,8.814449772248434,4.0227327425020585,6.27101006311503,0
1,-1.4875454692978165,-0.09922812420886573,-0.3876059273022563,0.7414119910788814,0.09657976801209968,1.6138080663541494,-0.1358059228144053,-0.5455225564304462,1.0223445636767432,2.1901409914493306,4.24437640392688,1.1956525119311407,2.356623838909,0
2,0.2183391480633392,-0.8723654877916494,0.9828935159777461,0.5053315192976519,0.11371316101280607,-0.7273701593506581,1.1296752585477676,0.7862422426443954,1.278042027766258,3.001790858097566,4.373185952294266,1.5880722554338713,2.754712876990814,0
3,1.1135339882950475,-0.6107225842960649,-0.09983698881889747,0.03504301262978302,0.023143423810132173,0.9152447662122731,0.5874291741787612,0.93501946486842,2.5084306488097456,3.0954579092226426,0.3547843835598179,2.535843279736219,2.0411862104512837,0
4,-0.6966985674473922,-0.25908058793026223,-0.09133256617257635,0.15157708726742858,0.019488225800320745,-0.12147536887033139,-0.6554175622778781,0.3396279893650207,4.066182081381681,8.84662223209412,15.959896636236966,4.7223349739969365,9.134043782313524,0
5,-0.25139232451067706,0.6653563921156749,0.6007953060067472,0.24989331310563287,0.12483897020928016,1.5238217874840094,-0.27005189032758126,-0.4233437921395118,1.7629730950461766,4.388252365203273,6.975135531896187,2.127633110187673,4.150671608662458,0
6,0.729982015899902,-0.7204950327813804,-0.900275392574675,0.00588981580080441,0.11803865662532076,0.8242542829601609,0.4923969087032043,0.5614580620439358,2.433221115982042,3.7651415781440916,4.132708881681428,2.7140628407438636,3.3707277568166547,0
7,-0.16433689784664018,0.13748239190578748,-1.0806090056170277,0.09162405882877876,0.10026044426857074,-0.14451896928433738,0.15656665555485327,0.5299977148320512,1.5646111254902784,2.8986100045469403,5.071656100029704,1.723674567263288,3.032830625746405,0
8,0.5388732800023632,0.10715880131599165,0.17762148223624052,0.24316007845008977,0.004622675185190911,-0.31641305383818796,-0.6849967852331299,-0.1829427125507277,2.5359875172717055,5.47056352822468,10.07521336214015,2.927835053615836,5.7173128276525444,0
9,1.4136122930726644,-0.5321210282693185,-1.325091774932802,0.22510711361759725,0.04403906366500254,0.8095825736344753,0.13687716561906793,0.567796418212827,3.5155837245882147,5.797944684864798,6.914861744832604,3.9667016266682498,5.2651872089525105,0
