assembly_id,component_index,scenario,deviation_value,nominal_mean_gap,nominal_max_gap,nominal_parallelism,nominal_quality,corrected_mean_gap,corrected_max_gap,corrected_parallelism,corrected_quality
1,1,offset,0.10665097791405097,0.10665097791405093,0.10665097791405097,0.0,0.07465568453983568,0.0,0.0,0.0,0.0
1,2,tilt,-0.02599960265601239,0.1393969744753705,0.3335403287662037,0.4537787017043055,0.29500809882426293,0.0,0.0,0.0,0.0
1,3,bend,0.2600360956645166,0.2830827470273385,0.4079397345721923,0.45377870170430545,0.374634946020045,0.0783851944548584,0.1300180478322583,2.7755575615628914e-17,0.07133096878087997
1,4,waviness,0.13762258865564855,0.3078306938016545,0.5337394752203832,0.45377870170430556,0.42225397129704384,0.09830495855270838,0.20670390738603445,8.326672684688674e-17,0.10313748477268442
1,5,twist,-0.29265527829807547,0.3415219889781274,0.5682122736730437,0.4537787017043055,0.446420914828174,0.1026968646722551,0.2950945151737025,0.15323394658859546,0.1783795320555514
2,1,offset,-0.4557628274018113,0.45576282740181123,0.4557628274018113,0.0,0.31903397918126786,0.0,0.0,0.0,0.0
2,2,tilt,0.0031960100791821344,0.4557628274018113,0.48365327683506487,0.05578089886650717,0.344164389339154,0.0,0.0,0.0,0.0
2,3,bend,0.17470059261251344,0.34565519963017716,0.48365327683506487,0.05578089886650717,0.3005592780459677,0.05266168871023964,0.08735029630625672,2.7755575615628914e-17,0.04792243355984551
2,4,waviness,0.09932795369982846,0.34565519963017716,0.48987467072584084,0.05578089886650711,0.30303466896896136,0.06959650421351664,0.14552880045510194,4.163336342344337e-17,0.072709077251856
2,5,twist,-0.127956589136037,0.32549854276882184,0.48365327683506487,0.05578089886650711,0.293127607934988,0.06988253376705274,0.1785785297603333,0.0669979135016085,0.10308884161914762
3,1,offset,0.30778929120199,0.30778929120199,0.30778929120199,0.0,0.215452503841393,0.0,0.0,0.0,0.0
3,2,tilt,0.01944479838572371,0.30778929120199,0.4774771748253203,0.33937576724666063,0.369722872617983,0.0,0.0,0.0,0.0
3,3,bend,0.2052824558048973,0.4371715897609106,0.542202639358097,0.33937576724666063,0.4409053475459522,0.06188027541067821,0.10264122790244865,2.7755575615628914e-17,0.056311399418844686
