assembly_id,batch_condition,zero_final_quality,direct_greedy_final_quality,direct_greedy_improvement_percent,direct_greedy_final_mean_gap,direct_greedy_final_max_gap,direct_greedy_final_parallelism,direct_greedy_final_rms
41,normal,0.21557130840006647,0.11410381383715135,47.06910920381269,0.11551853443050815,0.2212577779631118,0.0,0.1307092011906537
63,normal,1.064822423418031,0.17790071638556723,83.29292166720961,0.1717986381362059,0.3549110448678467,0.0,0.19887811484351442
65,normal,0.23763267736305135,0.13661839499024125,42.50858236070038,0.12354100016774085,0.2815359789492541,0.0,0.15095301255142787
76,normal,0.08600946086518439,0.053985506567768834,37.23306014859404,0.05115884220984173,0.10907913822834446,0.0,0.05914112436312986
96,normal,0.6623483941876896,0.17803148829474175,73.1211715983578,0.17239211516179123,0.35461565801171513,0.0,0.19929156342689816
172,offset_drift,1.0765361157430922,0.22811185605477172,78.81057098606351,0.20741025582163736,0.4703136085688986,0.0,0.24794696737610958
222,offset_drift,0.8082687145241162,0.21091176650443436,73.90573670433196,0.21240362595376824,0.4107623361022533,0.0,0.23961977887627875
274,offset_drift,1.3215053332640718,0.1988263660559689,84.95455439707726,0.1876673318649613,0.4035051437211705,0.0,0.21474623380129368
290,offset_drift,0.9709859576043598,0.2563802213034106,73.59588784003034,0.2511719791131287,0.5080653592555004,8.326672684688674e-17,0.28609019792821866
295,offset_drift,1.344227195552917,0.1754851260217526,86.9452778070324,0.17679488218968734,0.3416645069627647,1.3877787807814457e-17,0.19947309276016986
371,angular_drift,1.177167461040801,0.12483598742473695,89.39522272265644,0.12603360754108922,0.242742131099521,0.0,0.1420326583255388
403,angular_drift,1.5777069061933384,0.1830249560216677,88.39930564395722,0.18031964626259106,0.36125200196620233,0.0,0.20553461553029703
433,angular_drift,1.5562563369493014,0.29162714985490873,81.26098233748691,0.2780583464182828,0.5861445270733198,1.1102230246251565e-16,0.3236628780742788
463,angular_drift,1.6833994954649896,0.14995806843693096,91.09195001894012,0.1357792165519501,0.31005227492847887,0.0,0.1620862099280229
468,angular_drift,1.1040780371259786,0.1477083587699451,86.62156534202563,0.13500812596638637,0.30396722825371975,2.7755575615628914e-17,0.1601575250391328
526,fixture_drift,1.3874174607332332,0.5969804291365199,56.97182383584656,0.6231885558473832,1.1320830461010545,0.0,0.7039894855198868
547,fixture_drift,1.1484128706056236,0.23423241624026578,79.60381477466882,0.229470545914005,0.4661569116123436,5.551115123125783e-17,0.2554417898236116
554,fixture_drift,1.2766550580017495,0.2877558313480225,77.46017379209505,0.26197360424656735,0.5967075554885308,0.0,0.30151483427493053
653,fixture_drift,1.0794384977435327,0.26335353008694157,75.60272950821579,0.24617126423008237,0.5387719388264876,1.1102230246251565e-16,0.2787056916997056
655,fixture_drift,0.588284258358563,0.3619822788664235,38.468134456558424,0.29495981198680143,0.5851207898797793,0.21179465600771746,0.3441970150413405
732,high_variation,1.1138424525638102,0.24776717966020947,77.75563509094971,0.213625039603968,0.5256163012433809,1.1102230246251565e-16,0.25994777406004804
735,high_variation,0.589255046240713,0.21942140240715985,62.762915004799915,0.19921238231625468,0.45114205760502,0.0,0.24315070430777444
757,high_variation,0.3240739967080693,0.11412033502883193,64.78571678441908,0.12785970987843928,0.2051817409199921,2.7755575615628914e-17,0.14207899789302486
781,high_variation,0.4277345474735871,0.08623366297125509,79.8394440008192,0.09538385653008327,0.156606078654996,0.0,0.10636682415731318
786,high_variation,0.6475508743188872,0.33233409127464814,48.67830398280185,0.28303413496235413,0.7064802271353812,0.0,0.35479782645327534
836,disturbed,1.5647982543632875,0.34379739303414436,78.02928319510207,0.3410583587887103,0.6757933980483635,0.0,0.3874186598302218
839,disturbed,1.2400377650806644,0.19382724842059645,84.36924633436563,0.17831340591063735,0.40042876280107326,5.551115123125783e-17,0.20204597807083244
885,disturbed,1.7499574695439915,0.3645660816878289,79.16714617168219,0.347382188715929,0.732829764813315,0.0,0.4050249562905574
888,disturbed,0.4951190835053708,0.23638713263616276,52.25650949210514,0.23232126891112923,0.46754529808058265,5.551115123125783e-17,0.26427162538649174
950,disturbed,1.2105268202186867,0.22820396905209564,81.14837562947432,0.20633105144945413,0.4737720407399718,0.0,0.24173041395267889
