assembly_id,batch_condition,component_index,severity,scenario_type,best_predicted_quality,second_best_predicted_quality,predicted_quality_margin,normalized_quality_margin,selected_tree_std,selected_tree_iqr,selected_tree_range,selected_utilization,selected_candidate_source,actual_regret,exact_best_hit,exact_best_miss,top3_hit,high_regret
6,normal,1,high,tilt,0.0010756362906502064,0.18450270722397094,0.18342707093332072,170.5288976652524,0.014391032559630217,0.0,0.19361452962311,0.028878911808953835,informed,0.0,True,False,True,True
6,normal,2,medium,tilt,0.001723214417790804,0.25990923098059937,0.25818601656280854,149.82814320565416,0.01683427542395293,0.0,0.2228223764685387,0.02437175958615,informed,0.0,True,False,True,True
6,normal,3,high,twist,0.035819117839542676,0.035819117839542676,0.0,0.0,0.0013318938245061957,0.0,0.011512439274863999,0.0,zero,0.0,True,False,True,True
6,normal,4,extreme,mixed,0.10179236920860843,0.2377561260472649,0.13596375683865647,1.3356969475778566,0.01650757026687131,0.0037714114007291882,0.2488818422549475,0.03751455530776708,informed,0.0,True,False,True,True
6,normal,5,low,mixed,0.10504903338691449,0.45289817175926256,0.3478491383723481,3.311302609431513,0.045049380512408276,0.0,0.46910205469253446,0.15284625342529734,informed,0.0,True,False,True,True
10,normal,1,high,mixed,0.15293476950881957,0.24448140147287997,0.0915466319640604,0.5985992083950603,0.0003867464104417627,0.0,0.005203221104880307,0.1745389769189608,informed,0.0,True,False,True,True
10,normal,2,medium,mixed,0.21203522299410424,0.29087740444784643,0.0788421814537422,0.3718353033068211,0.038496986911333554,0.0,0.4183765685287934,0.054621868316897325,informed,0.0,True,False,True,True
10,normal,3,high,tilt,0.1663138669839326,0.2966853109421687,0.1303714439582361,0.7838879963679225,0.018183322408211827,0.0,0.1573067095968727,0.03341194954347425,informed,0.0,True,False,True,True
10,normal,4,extreme,mixed,0.17817922469218356,0.3639806915500809,0.18580146685789733,1.0427785123595734,0.09429639208250777,0.0168717636343802,0.7595388266531267,0.0478994592491475,informed,0.0,True,False,True,True
10,normal,5,low,mixed,0.18237449592439525,0.26119824206205744,0.07882374613766219,0.4322081645140732,0.02584260911614633,0.0,0.24181491225016408,0.012852666572083334,informed,0.0,True,False,True,True
35,normal,1,medium,waviness,0.04928207981701331,0.04928207981701331,0.0,0.0,1.2444953449536893e-17,6.938893903907228e-18,2.0816681711721685e-17,0.0,zero,0.0,True,False,True,True
35,normal,2,medium,offset,0.05023255584213834,0.23586509849600168,0.18563254265386334,3.695462823696155,0.011032879081764238,0.0,0.15955026544207457,0.22090081933887418,informed,0.0,True,False,True,True
35,normal,3,high,mixed,0.08954010131399998,0.31436440861608744,0.22482430730208747,2.510878410933127,0.09564464448721392,0.0,0.5275335764083703,0.08678186640008656,informed,0.0,True,False,True,True
35,normal,4,low,bend,0.08726433467379494,0.08988570369065584,0.0026213690168609,0.030039408730495765,0.015456387402696512,0.0,0.141143228564002,0.0,zero,0.0,True,False,True,True
35,normal,5,medium,bend,0.10097151340775085,0.11914462826557563,0.018173114857824788,0.17998259355028912,0.018227530371698306,0.0070980308559115,0.1112324557381649,0.01193365777876536,informed,0.0,True,False,True,True
41,normal,1,medium,twist,0.02533240218981978,0.02533240218981978,0.0,0.0,2.1480705664450953e-18,0.0,6.938893903907228e-18,0.0,zero,0.0,True,False,True,True
41,normal,2,medium,waviness,0.03853759358629653,0.04394650277003453,0.0054089091837380004,0.14035409791807393,0.008239697083047656,0.0,0.1165369487691527,0.005222349405254207,informed,0.0,True,False,True,True
41,normal,3,high,bend,0.17534551666990048,0.18039486937780108,0.005049352707900606,0.02879658860857188,0.012519033652577895,0.004223381888591199,0.11745509584603547,0.0,zero,0.0,True,False,True,True
41,normal,4,low,twist,0.12721785618243875,0.1768392259739129,0.04962136979147416,0.3900503536257824,0.009262320757843414,0.0021922735948975147,0.0823807936067366,0.034286221823557006,informed,0.0,True,False,True,True
41,normal,5,medium,bend,0.14509126289773377,0.16698073675213532,0.021889473854401542,0.1508669331097499,0.021478232153085135,0.017037867967417603,0.18858737893014368,0.017331323525926413,informed,0.0,True,False,True,True
53,normal,1,medium,bend,0.0798131608887754,0.0798131608887754,0.0,0.0,1.1702778228589003e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,zero,0.0,True,False,True,True
53,normal,2,medium,tilt,0.05344522526399213,0.21351970728013966,0.16007448201614755,2.9951128697738914,0.008439639327108978,0.0,0.1049656427265491,0.01798351795124458,informed,0.0,True,False,True,True
53,normal,3,high,tilt,0.05828419874785494,0.11098836606572095,0.05270416731786601,0.9042616772664427,0.04260146704299856,0.010200407093247599,0.2416928284486584,0.008991758975622299,informed,0.0,True,False,True,True
53,normal,4,low,mixed,0.06180277920683795,0.2609126770775629,0.19910989787072492,3.2216981246806955,0.04285354436059728,0.0023191192851243977,0.4964488185774799,0.10503631842086565,informed,0.0,True,False,True,True
53,normal,5,medium,twist,0.06826159280426357,0.08474100557859317,0.0164794127743296,0.2414155910715917,0.03894274342939848,0.0,0.32937405259977626,0.0847632076141395,informed,0.0,True,False,True,True
63,normal,1,medium,mixed,0.12176490708258575,0.2363596244766612,0.11459471739407545,0.941114481501249,0.002375342668582356,0.0,0.0235222595243382,0.06844240772081028,informed,0.0,True,False,True,True
63,normal,2,medium,mixed,0.2287506153916513,0.2571273837529147,0.028376768361263405,0.12405111266117742,0.016398696344366828,0.007145521430784202,0.14681246274970539,0.01950683532875225,informed,0.0,True,False,True,True
63,normal,3,high,mixed,0.2445375549229983,0.3923862907482492,0.1478487358252509,0.6046054393232424,0.06898675780881637,0.0,0.7516047568037847,0.35925732702920266,informed,0.0,True,False,True,True
63,normal,4,low,waviness,0.19833721029174933,0.235818104124146,0.03748089383239667,0.18897560259753154,0.010280799647764958,0.0016789217158518221,0.09634727181900937,0.029789180021108343,informed,0.0,True,False,True,True
63,normal,5,medium,tilt,0.1904229777440904,0.27812850311016407,0.08770552536607368,0.46058267970129746,0.019873571491401468,0.00041121687795558914,0.182192197478817,0.014894590010554182,informed,0.0,True,False,True,True
65,normal,1,medium,twist,0.007071643361087788,0.007071643361087788,0.0,0.0,7.256868947200196e-19,8.673617379884035e-19,8.673617379884035e-19,0.0,zero,0.0,True,False,True,True
65,normal,2,medium,tilt,0.007165055417716238,0.06947856409392163,0.06231350867620539,8.696863463488318,0.015707501931444753,0.0,0.1494787454984603,0.005975365586340834,informed,0.0,True,False,True,True
65,normal,3,high,mixed,0.17461985906575767,0.2704817362979453,0.09586187723218764,0.5489746569780952,0.04841611732112366,0.0,0.3993172006106432,0.04951247776020966,informed,0.0,True,False,True,True
65,normal,4,low,bend,0.1997773263252168,0.22954556993956435,0.029768243614347545,0.14900711788427845,0.013616709530108006,0.016447095048488986,0.0975271799444245,0.026502969809507698,informed,0.0,True,False,True,True
65,normal,5,medium,twist,0.16240386506391397,0.19647863482592628,0.03407476976201232,0.20981501732487837,0.010023902581211741,0.0,0.11034778007465229,0.02713349751720694,informed,0.0,True,False,True,True
76,normal,1,high,twist,0.03307338625741063,0.03307338625741063,0.0,0.0,2.132448027717043e-18,0.0,6.938893903907228e-18,0.0,zero,0.0,True,False,True,True
