assembly_id,batch_condition,zero_final_quality,random_final_quality,old_bo_final_quality,structured_rf_final_quality,warmstart_bo_final_quality,warmstart_beats_zero,warmstart_beats_random,warmstart_beats_old_bo,warmstart_beats_structured_rf
41,normal,0.2155713084000664,1.8590264104074128,1.9662954205119685,0.1484281750297853,0.1484281750297853,True,True,True,False
63,normal,1.064822423418031,0.8487147855401167,0.4443649373410924,0.1863635895446471,0.1863635895446471,True,True,True,False
65,normal,0.2376326773630513,2.2524550698551264,2.0068961718919827,0.1611167676737857,0.16111676767378577,True,True,True,False
76,normal,0.0860094608651843,1.440652812393179,0.6466431640964372,0.0547736558858311,0.054773655885831114,True,True,True,False
96,normal,0.6623483941876896,1.1065031621826693,0.3635100104010257,0.2063344595427758,0.15789303537326257,True,True,True,True
172,offset_drift,1.0765361157430922,5.008662337790644,1.6522409937676463,0.3010130251550235,0.23969683461455038,True,True,True,True
222,offset_drift,0.8082687145241162,0.3101651154124551,0.8818459979217074,0.2554840373863245,0.2326687373679848,True,True,True,True
274,offset_drift,1.3215053332640718,2.717506794145488,1.8246733458244109,0.2345764842929137,0.23457648429291378,True,True,True,False
290,offset_drift,0.9709859576043598,0.749132622499653,1.6819165737915664,0.2537308037386578,0.25373080373865786,True,True,True,False
295,offset_drift,1.344227195552917,1.952250283098672,0.5983793473306244,0.1628616588217099,0.2503013263453389,True,True,True,False
371,angular_drift,1.177167461040801,2.4821225886313787,1.504117905771542,0.1762242936755019,0.17622429367550196,True,True,True,False
403,angular_drift,1.5777069061933384,1.9547590210521268,1.2835321291125164,0.1945114537195753,0.19451145371957534,True,True,True,False
433,angular_drift,1.5562563369493014,0.5735410701042263,1.176419085623697,0.330126801550099,0.33012680155009905,True,True,True,False
463,angular_drift,1.6833994954649896,0.8019946370997748,1.5083295448521454,0.1585929153682933,0.1585929153682933,True,True,True,False
468,angular_drift,1.1040780371259786,1.1337859177948582,1.0701116434061146,0.1529611737262949,0.1529611737262949,True,True,True,False
526,fixture_drift,1.3874174607332332,2.016788879466929,0.9861920704805396,0.4172437189647918,0.3529449295159719,True,True,True,True
547,fixture_drift,1.1484128706056236,2.665815666307976,1.5285254824675885,0.1844256991105319,0.18442569911053192,True,True,True,False
554,fixture_drift,1.2766550580017495,4.261712455885964,1.5630108178550466,0.2528963223837403,0.2425654120662214,True,True,True,True
653,fixture_drift,1.0794384977435327,1.0197262286551163,0.6596206396528361,0.2121174838940362,0.21211748389403626,True,True,True,False
655,fixture_drift,0.588284258358563,2.44431518394115,0.2110042454174263,0.1711320732204014,0.17113207322040142,True,True,True,False
732,high_variation,1.1138424525638102,1.6789291599759848,0.8082515817385153,0.427348576709501,0.3677481117791443,True,True,True,True
735,high_variation,0.589255046240713,3.5100557919013515,1.986135183756005,0.2815857082470591,0.2815857082470591,True,True,True,False
757,high_variation,0.3240739967080693,1.8171039873701489,1.2274236363565754,0.1905032305316226,0.1905032305316226,True,True,True,False
781,high_variation,0.4277345474735871,1.1979889554858256,1.5558421607736264,0.0864987180977781,0.08649871809777819,True,True,True,False
786,high_variation,0.6475508743188872,2.6603473459952784,2.009902025754922,0.3968152210462345,0.3957412984775636,True,True,True,True
836,disturbed,1.5647982543632877,1.4840860101222113,1.3228851456013215,0.2274528604620119,0.27103975031917504,True,True,True,False
839,disturbed,1.2400377650806644,2.132861563374105,0.2611170976369646,0.1457749922685715,0.1457749922685715,True,True,True,False
885,disturbed,1.7499574695439917,3.006388653402887,0.9814840136665202,0.2825639106538825,0.2825639106538825,True,True,True,False
888,disturbed,0.4951190835053708,0.5802532353290488,1.071964348295011,0.2361562466766165,0.23615624667661658,True,True,True,False
950,disturbed,1.2105268202186867,2.4921597692974182,0.5937036320357734,0.1107630487541067,0.11076304875410677,True,True,True,False
