assembly_id,batch_condition,component_index,severity,scenario_type,safe_predicted_quality,safe_actual_quality,safe_prediction_error,safe_prediction_absolute_error,safe_z_adj,safe_theta_adj,safe_locator_offset,safe_correction_utilization,safe_correction_effort,safe_capability_penalty,safe_mean_gap,safe_max_gap,safe_parallelism,safe_rms
6,normal,1,high,tilt,0.3233150174375637,0.33808048324313367,0.014765465805569977,0.014765465805569977,0.06879567071513026,-0.0020347670952163277,-0.038856962222261204,0.038856962222261204,0.027507537118990965,3.0266583934106633e-05,0.14545944953793954,0.35345167208538797,0.5693252029694441,0.17609585865302188
6,normal,2,medium,tilt,1.3696804218217857,1.1315355703473349,-0.23814485147445086,0.23814485147445086,0.29810193756287084,0.10134421682972716,-0.36536443080438163,0.36536443080438163,0.22718709305822538,0.0020645590100898704,0.4621619990771666,1.2806671114045765,1.8276763256579796,0.6038393950541824
6,normal,3,high,twist,2.2325110152007737,2.1987763124527238,-0.033734702748049905,0.033734702748049905,1.9528734395020955,-0.03190038343278245,0.2815320749150372,0.7811493758008382,0.4796392210538462,0.009202151294925614,2.3197961191899936,2.955204980468629,1.2709095445767127,2.3500311918212313
6,normal,4,extreme,mixed,1.3000342342960627,0.96904266773728,-0.3309915665587827,0.3309915665587827,-1.6158087826886267,-0.1458286852270121,0.8104171628227113,0.8104171628227113,0.6025717441881072,0.0147003398676494,0.9209571410523036,1.4963936593945215,0.48858348168513843,0.9726238309769095
6,normal,5,low,mixed,0.7478376482503407,0.8436482871240846,0.09581063887374386,0.09581063887374386,-0.5763550018937627,0.05191074999688916,-0.12678039839423771,0.23054200075750506,0.1539417866230997,0.0009479229467484785,0.695984371264133,1.1303262036654242,0.7349013210422617,0.7528471833253889
10,normal,1,high,mixed,0.4921396103427227,0.7994609576351687,0.307321347292446,0.307321347292446,-0.4385894213187429,0.03188629056815584,0.020293516847148085,0.17543576852749715,0.10311094678790697,0.00042527469389994337,0.7108643249290102,1.153193823684958,0.5565208141162807,0.73287268816094
10,normal,2,medium,mixed,1.0283818309200503,0.8695113759067324,-0.15887045501331787,0.15887045501331787,1.4153871544675853,0.017422388996828797,-0.7068998840523948,0.7068998840523948,0.5229562011659965,0.010939327533518808,0.6395867416323615,1.1636341026595138,0.8605988750462117,0.7036546010530645
10,normal,3,high,tilt,0.7261297895128727,0.5615806938197359,-0.1645490956931368,0.1645490956931368,-1.1624665063188364,-0.03870775726998099,0.37477145749208973,0.46498660252753454,0.3453050175211738,0.004769422205011926,0.41126922675536476,0.8138831794060245,0.4987084004311989,0.4442245184195931
10,normal,4,extreme,mixed,0.8447504425330246,1.0531422309172254,0.2083917883842008,0.2083917883842008,-0.184663391477077,-0.002139921511022047,-1.0,1.0,0.5789240799243559,1.2634061236126506,0.9043118041808543,1.7321805222391273,0.5418445408223973,0.9964117074451178
10,normal,5,low,mixed,0.7357210693856089,0.7039011785204812,-0.03181989086512771,0.03181989086512771,0.2503297617921021,0.013338800021160502,-0.022408507721119575,0.10013190471684083,0.059587743723986376,0.00014202796808461912,0.6121921070068028,1.4526910168539435,0.03985293226768449,0.7248036168195194
35,normal,1,medium,waviness,1.334663304708325,1.3039203695610277,-0.0307429351472972,0.0307429351472972,0.7635727449416345,-0.10013696589479615,-0.3519257547780038,0.3519257547780038,0.27331431922472676,0.002988028683731034,0.6767645045087475,1.6373737366564434,1.7477215373078236,0.8536243601912347
35,normal,2,medium,offset,1.3055492678694633,1.3132297294928033,0.007680461623339907,0.007680461623339907,-0.5644103488040453,0.007415637077040627,0.631398666308745,0.631398666308745,0.3871571219252736,0.005995625482298446,0.8660355689289563,1.5609723721178437,1.6182942534577993,0.9963907114142346
35,normal,3,high,mixed,1.3811707070169534,1.13953289908978,-0.2416378079271735,0.2416378079271735,0.23961163320800338,0.1440086382631518,-0.5741869167125339,0.5741869167125339,0.3431610606266747,0.004710380541216972,0.7295550287725289,1.4470225269957029,1.3459759131580826,0.8276685841188559
35,normal,4,low,bend,1.4093249846552738,1.6860980866659618,0.27677310201068805,0.27677310201068805,-2.5,-0.0022515823987208083,1.0,1.0,0.8164972995611058,1.276666713607623,1.4330444841949108,2.379143173643884,1.3066783869002236,1.5043827324425632
35,normal,5,medium,bend,1.2667478849026472,0.9940580277684128,-0.27268985713423444,0.27268985713423444,0.2911992598823425,-0.09649291857830944,0.5031432322128822,0.5031432322128822,0.30176509890972,0.003642486996799723,0.9476898352445666,1.63366710752669,0.3774423393502604,1.064182431319578
