assembly_id,batch_condition,zero_final_quality,random_final_quality,old_bo_final_quality,safe_bo_final_quality,safe_improvement_vs_zero_percent,safe_improvement_vs_random_percent,safe_improvement_vs_old_bo_percent,safe_final_mean_gap,safe_final_max_gap,safe_final_parallelism,safe_final_rms
6,normal,0.8338090067665561,1.1999074540915615,1.7556384243234249,0.8436482871240846,-1.1800400664517154,29.690553696676332,51.94635322195095,0.695984371264133,1.1303262036654242,0.7349013210422617,0.7528471833253889
10,normal,0.4002493869413218,1.1387756390065389,0.9103975120773004,0.7039011785204812,-75.86564813993732,38.18789633271745,22.68199669017614,0.6121921070068028,1.4526910168539435,0.03985293226768449,0.7248036168195194
35,normal,0.5269224395906424,0.899659063718175,1.3010139817702082,0.9940580277684128,-88.65357651890484,-10.492748626362868,23.593593789371862,0.9476898352445666,1.63366710752669,0.3774423393502604,1.064182431319578
41,normal,0.2155713084000664,1.8590264104074128,1.9662954205119685,0.6014013653292748,-178.98024546623267,67.64965995305708,69.41449595744434,0.47765315900037975,0.8001967182960767,0.5520995350906461,0.5241654161314402
53,normal,0.2879315056204411,0.7506911947317736,0.4556556755047792,0.766543100276357,-166.22411417763857,-2.11164133212557,-68.22858607591665,0.5627230361901143,1.4460627205906937,0.30880505537025404,0.7126585663103829
63,normal,1.064822423418031,0.8487147855401167,0.4443649373410924,1.4375441898374157,-35.00318534079748,-69.37894971660847,-223.50531489705804,1.062991158672752,2.0430689804060256,1.299313214445473,1.159321837801406
65,normal,0.2376326773630513,2.2524550698551264,2.0068961718919827,2.3833496455797447,-902.9553477354893,-5.811195858083738,-18.757994507153004,1.2635030075020357,3.1728176327301774,2.9882481306868414,1.5597901430402863
76,normal,0.0860094608651843,1.440652812393179,0.6466431640964372,0.3600456058010821,-318.6116296734336,75.00816277844329,44.32082084959818,0.1498094915386106,0.43159490890489427,0.5521750932271541,0.1997175769988442
92,normal,0.497570521386026,0.8005927076500544,1.6303075806886964,2.234756345321075,-349.1335899675018,-179.13773432694128,-37.07575010950014,1.0917536390201614,2.503231847097784,3.4114807450508025,1.3281647597045072
93,normal,0.9507610471593506,3.137045245919857,1.6906171931734166,1.7298941100437242,-81.94835760386262,44.855940082672355,-2.3232294708053804,1.8467493372489838,2.7934870456628795,0.4794601528590059,1.9398514931246336
96,normal,0.6623483941876896,1.1065031621826693,0.3635100104010257,0.6505166360912805,1.786334533341733,41.209690281581985,-78.95425641060832,0.42398199662985764,0.8737950137817652,0.7058050237805562,0.4944202583362676
99,normal,0.1721658121788787,2.700278439422864,1.3786181982018484,2.135395246246512,-1140.3131720645306,20.919442414875018,-54.893882079297875,2.456008200902836,3.760432554957409,0.05712129339219851,2.533266314707788
124,normal,0.2684713828830063,1.7720644404601904,1.9955658530031348,1.2262363356203805,-356.74750226721414,30.80182031631214,38.55194837218664,0.8089025159797687,1.2584678947066053,1.720403605146815,0.8990413087042382
131,normal,0.5685620224430427,0.9070567457669924,1.3106417045298044,2.0776973025386254,-265.430194160878,-129.0592415782938,-58.52519383121597,1.8302631404938232,2.8058980655400587,1.647677645151763,1.9254564718293194
