assembly_id,batch_condition,zero_final_quality,random_final_quality,bo_final_quality,bo_improvement_vs_zero_percent,bo_improvement_vs_random_percent,bo_final_mean_gap,bo_final_max_gap,bo_final_parallelism,bo_final_rms
6,normal,0.8338090067665561,1.1999074540915615,1.7556384243234247,-110.5564236025284,-46.3144860328084,1.5073512611804407,3.625563950828755,0.1327542355117317,1.7593759006714638
10,normal,0.4002493869413218,1.1387756390065387,0.9103975120773005,-127.45756565287844,20.05470780253729,0.5879293388033429,1.9375757697633011,0.23094324827592877,0.834630050245286
35,normal,0.5269224395906424,0.899659063718175,1.3010139817702082,-146.90806160788011,-44.611890685932195,0.9925176230042062,1.7610765420902796,1.207752404975185,1.1261001074930697
41,normal,0.21557130840006647,1.8590264104074128,1.9662954205119685,-812.1322476100729,-5.7701713920808295,1.2773786397745288,4.362052311407199,0.2720223941202884,1.9285941692136366
53,normal,0.2879315056204411,0.7506911947317736,0.4556556755047792,-58.251412787538605,39.301848922367114,0.30027797002823864,0.8730933864293101,0.21059730661450266,0.40465076583163817
63,normal,1.064822423418031,0.8487147855401167,0.44436493734109245,58.268634509526805,47.64260680832827,0.3915365778292502,0.8986224058754491,0.04003361024656271,0.45307159155713816
65,normal,0.23763267736305135,2.2524550698551264,2.0068961718919827,-744.5371209725838,10.901833348397828,1.4586168976812917,3.166212764482449,1.4999699669748021,1.6945628315042005
76,normal,0.08600946086518439,1.440652812393179,0.6466431640964372,-651.8279472882857,55.11457316199254,0.5159297879880635,1.4007216704094843,0.025875646187546564,0.6388503272090895
92,normal,0.49757052138602603,0.8005927076500544,1.6303075806886964,-227.65357082395732,-103.63757564992923,1.6005977371690827,3.1476624166297285,0.09973094126645043,1.7591025216911795
93,normal,0.9507610471593506,3.137045245919857,1.6906171931734166,-77.81725473762113,46.10797547876339,1.3409363209139549,3.580748290197154,0.1656465152046266,1.6441785527869606
96,normal,0.6623483941876896,1.1065031621826693,0.3635100104010257,45.11800532907794,67.1478561630161,0.14745289544669177,0.5383930569524087,0.4532431355607959,0.2178328401305683
99,normal,0.17216581217887875,2.700278439422864,1.3786181982018484,-700.7502655460286,48.945331782284526,0.8742874680488695,2.121081740739816,1.2358372658383794,1.0925625581372909
124,normal,0.2684713828830063,1.7720644404601904,1.9955658530031348,-643.3067284764413,-12.612487866688582,1.3188796636585105,3.8800331144611615,0.8721485367063913,1.7424745855531587
131,normal,0.5685620224430427,0.9070567457669925,1.3106417045298044,-130.51868622848474,-44.49390411859482,0.7912287200617211,2.061799593298685,1.1791114833367455,1.0099976552065892
152,normal,0.5240816846091182,1.5738031893709379,2.433736598055311,-364.38115842008347,-54.640466768153885,1.5900564210591606,3.585274944949292,2.309871293444159,1.8817580021952784
154,normal,0.4530757385582391,2.2042175813867675,1.5516394906923319,-242.46801553089153,29.605883566352414,1.561739052348972,2.3757154245846905,0.6730580459026301,1.6848573384144416
172,offset_drift,1.0765361157430922,5.008662337790644,1.6522409937676463,-53.477525705411836,67.01233019240699,1.612908717713349,2.809733525085483,0.5004759513648589,1.7530553551853905
