assembly_id,batch_condition,component_index,severity,scenario_type,zero_quality,direct_greedy_quality,direct_z_adj,direct_theta_adj,direct_locator_offset,direct_utilization,selected_do_nothing,direct_mean_gap,direct_max_gap,direct_parallelism,direct_rms
41,normal,1,medium,twist,0.0253324021898197,0.013990541807679373,0.026111747026271035,1.163090653908026e-18,0.0,0.010444698810508414,False,0.01495145393105996,0.026111747026271035,0.0,0.016715815204800755
41,normal,2,medium,waviness,0.04419839645205938,0.035552974297902176,2.404567194423297e-19,2.1866313435061677e-18,0.0,1.82219278625514e-18,True,0.03459751771861753,0.07070051613231054,0.0,0.039635641426237524
41,normal,3,high,bend,0.16624722703003114,0.09124827868173595,-0.18448698263092056,-1.987846675914698e-18,0.0,0.07379479305236822,False,0.0923488929214288,0.17695794858241293,2.7755575615628914e-17,0.10456226230583421
41,normal,4,low,twist,0.16660452180145105,0.09088478932662467,0.0,0.0,0.0,0.0,True,0.0920545796165833,0.17612722266271946,2.7755575615628914e-17,0.10430248642833827
41,normal,5,medium,bend,0.21557130840006647,0.11410381383715135,-0.05742151548710481,1.5902773407317584e-18,0.0,0.022968606194841923,False,0.11551853443050815,0.2212577779631118,0.0,0.1307092011906537
63,normal,1,medium,mixed,0.23644182311999454,0.07673183129471495,-0.268640195945787,3.180554681463517e-18,0.0,0.10745607837831479,False,0.07062543079487936,0.15698954057370024,5.551115123125783e-17,0.08447339884141046
63,normal,2,medium,mixed,0.377305690139598,0.14742117130233093,-0.14338929982546195,-2.3854160110976377e-18,0.0,0.057355719930184776,False,0.13788806090735936,0.2991274414410123,0.0,0.16316520597819442
63,normal,3,high,mixed,0.9890554225253785,0.17495846106927604,-0.8549328295312058,-0.0,0.0,0.3419731318124823,False,0.17039042681578745,0.3473926205035782,0.0,0.19623546873466335
63,normal,4,low,waviness,0.9915105938907393,0.17790071638556723,0.0,0.0,0.0,0.0,True,0.1717986381362059,0.35491104486784664,0.0,0.19887811484351442
63,normal,5,medium,tilt,1.064822423418031,0.17790071638556723,-3.407615224097015e-17,0.013033261025132298,0.0,0.010861050854276915,False,0.1717986381362059,0.3549110448678467,0.0,0.19887811484351442
65,normal,1,medium,twist,0.007071643361087817,0.003905516790352268,0.0072892006498673214,3.2468149839960043e-19,0.0,0.0029156802599469285,False,0.004173759327596678,0.0072892006498673214,8.673617379884035e-19,0.004666287971130675
65,normal,2,medium,tilt,0.06964163417382252,0.0039055167903522697,1.3740383968133126e-18,0.007170438703609,0.0,0.005975365586340834,False,0.004173759327596678,0.007289200649867323,6.938893903907228e-18,0.004666287971130676
65,normal,3,high,mixed,0.20306867144486934,0.1192001746848293,-0.012378254971948117,-0.022223606185893596,0.0,0.018519671821577998,False,0.11100097437575551,0.24270786145645054,5.551115123125783e-17,0.13087523935167467
65,normal,4,low,bend,0.2365683282661094,0.13877760632185104,-0.06941006306226544,3.180554681463517e-18,0.0,0.027764025224906175,False,0.12393456019557231,0.2880941538638021,0.0,0.15168992104038728
65,normal,5,medium,twist,0.23763267736305135,0.13661839499024125,0.0,0.0,0.0,0.0,True,0.12354100016774085,0.2815359789492541,0.0,0.15095301255142787
76,normal,1,high,twist,0.033073386257410645,0.01826572109856137,0.03409088047728498,1.518503699761379e-18,0.0,0.013636352190913992,False,0.019520265281851117,0.03409088047728498,0.0,0.021823773708205443
76,normal,2,medium,mixed,0.06696749600832567,0.04530106766875928,-0.08973930848992934,-1.1927080055488189e-18,0.0,0.03589572339597173,False,0.0487456608003829,0.08436868378477144,6.938893903907228e-18,0.05366764293212968
76,normal,3,high,twist,0.07076584198248717,0.03971838300432218,-0.012325305375645176,-0.0,0.0,0.00493012215025807,False,0.04407958347823382,0.07204337840912627,0.0,0.04881494438114159
76,normal,4,extreme,twist,0.07085756948924854,0.03960496609538275,-0.0002545905146212292,-0.0,0.0,0.00010183620584849169,False,0.043986738276090266,0.07178878789450503,0.0,0.04872308244204163
76,normal,5,low,waviness,0.08600946086518439,0.053985506567768834,-0.0025761716945307328,1.5902773407317584e-18,0.0,0.0010304686778122932,False,0.05115884220984173,0.10907913822834446,0.0,0.05914112436312986
96,normal,1,high,twist,0.017921217255140964,0.009897503496660662,0.018472558893650463,8.228197286590633e-19,0.0,0.007389023557460185,False,0.010577293545672387,0.018472558893650463,0.0,0.01182547764863807
96,normal,2,medium,waviness,0.07735479675497582,0.07233916827422225,-3.125937352750286e-18,5.168401357378215e-18,0.0,4.307001131148513e-18,True,0.07722391017747277,0.13515352948021814,0.0,0.0862593637691498
96,normal,3,high,offset,0.3776212507474081,0.07233916827422227,-0.4989110884431174,-0.0,0.0,0.19956443537724694,False,0.07722391017747275,0.1351535294802182,0.0,0.0862593637691498
96,normal,4,extreme,bend,0.5864703289909485,0.1367468140460436,-0.2415496695111871,-2.782985346280577e-18,0.0,0.09661986780447483,False,0.12544287233252854,0.2801393649564256,0.0,0.15072142859357385
96,normal,5,low,bend,0.6623483941876896,0.17803148829474175,-0.0687130177736292,-0.0,0.0,0.02748520710945168,False,0.17239211516179123,0.35461565801171513,0.0,0.19929156342689816
172,offset_drift,1,high,waviness,0.1923056291381288,0.07692003960886105,-0.21279653956794506,6.361109362927034e-18,0.0,0.08511861582717803,False,0.08664403747480019,0.13750637792403458,0.0,0.09674914989210627
172,offset_drift,2,medium,waviness,0.361260622033013,0.11375219978551113,-0.21279653956794514,3.180554681463517e-18,0.0,0.08511861582717806,False,0.1281324075127153,0.20334951792711875,0.0,0.14307622153560914
172,offset_drift,3,high,waviness,0.5358202855933046,0.16007534485117692,-0.21279653956794506,3.180554681463517e-18,0.0,0.08511861582717803,False,0.1803115839331834,0.28615925027280426,0.0,0.2013409458938061
172,offset_drift,4,extreme,mixed,0.903899518893872,0.22149984061735717,-0.4600007523890359,-1.5902773407317584e-18,0.0,0.18400030095561437,False,0.20410734298079777,0.4533166319745902,2.7755575615628914e-17,0.24272648130740798
172,offset_drift,5,low,bend,1.0765361157430922,0.22811185605477172,-0.24730107565419018,-1.5902773407317584e-18,0.0,0.09892043026167607,False,0.20741025582163736,0.4703136085688986,0.0,0.24794696737610958
222,offset_drift,1,high,mixed,0.4398506485983661,0.0892167898476423,0.38321470652819856,0.016669590490269004,0.0,0.15328588261127943,False,0.09709270349604786,0.1642031496925217,5.551115123125783e-17,0.10828033891071408
222,offset_drift,2,medium,tilt,0.5106402416146117,0.09402773376697535,-0.23478334760821962,0.025045658160302298,0.0,0.09391333904328784,False,0.09795524309883881,0.17892713596984022,0.0,0.10963020046371644
222,offset_drift,3,high,waviness,0.4868846740626726,0.12249603118680773,-0.21279653956794514,1.5902773407317584e-18,0.0,0.08511861582717806,False,0.12993189887206705,0.22999084191985458,2.7755575615628914e-17,0.14519208949231222
222,offset_drift,4,extreme,mixed,0.8309137465653239,0.21091176650443436,0.2713528083180906,0.0222978461283864,0.0,0.10854112332723624,False,0.21240362595376824,0.4107623361022533,0.0,0.23961977887627875
222,offset_drift,5,low,offset,0.8082687145241162,0.21091176650443436,-0.053781937047830984,-0.0,0.0,0.021512774819132392,False,0.21240362595376824,0.4107623361022533,0.0,0.23961977887627875
274,offset_drift,1,high,tilt,0.2852318714380662,1.0140197266894447e-05,-0.21280550546205368,-0.017131991713329603,0.0,0.08512220218482147,False,9.156682244308479e-06,2.114023444424462e-05,2.7755575615628914e-17,1.0511222603201896e-05
274,offset_drift,2,medium,bend,0.4640878765446513,0.034308088672537866,-0.2843602765795369,-0.0,0.0,0.11374411063181475,False,0.030947401970748602,0.07157269779197342,0.0,0.03552058743721263
274,offset_drift,3,high,twist,0.6070113815196149,0.032595873624782036,-0.20358103616029788,1.5902773407317584e-18,0.0,0.08143241446411915,False,0.033686406893449775,0.06235719438432624,2.7755575615628914e-17,0.03782793241449225
274,offset_drift,4,extreme,bend,1.0513290815294767,0.19748909626941452,-0.553949206267167,-3.180554681463517e-18,0.0,0.22157968250686683,False,0.1845109158022306,0.4035051437211705,5.551115123125783e-17,0.2108427841239417
274,offset_drift,5,low,mixed,1.3215053332640718,0.1988263660559689,-0.3798507259601117,-0.0,0.0,0.1519402903840447,False,0.1876673318649613,0.4035051437211705,0.0,0.21474623380129368
290,offset_drift,1,high,waviness,0.19475790428302334,0.08107989388325898,-0.21279653956794506,6.361109362927034e-18,0.0,0.08511861582717803,False,0.09132976789659163,0.14494275597158796,0.0,0.10198136722805108
290,offset_drift,2,medium,mixed,0.6024761516488969,0.13295923666580908,-0.40064385780024714,-0.015349584275505392,0.0,0.16025754312009885,False,0.14918259777501122,0.23851843526005045,5.551115123125783e-17,0.16648926755290575
290,offset_drift,3,high,mixed,0.7518354271100328,0.2564271163719132,-0.12502141891292123,6.361109362927034e-18,0.0,0.05000856756516849,False,0.25116498566642503,0.5082183466790693,0.0,0.28612116668264936
290,offset_drift,4,extreme,tilt,0.8956529095095537,0.2564271163719132,-0.21279653956794503,0.0302086735584164,0.0,0.08511861582717802,False,0.25116498566642503,0.5082183466790693,0.0,0.28612116668264936
290,offset_drift,5,low,mixed,0.9709859576043598,0.2563802213034106,-0.21373948878409924,-0.017390653383306205,0.0,0.0854957955136397,False,0.2511719791131287,0.5080653592555004,8.326672684688674e-17,0.28609019792821866
295,offset_drift,1,medium,mixed,0.2694183421779243,0.01800347351688567,-0.37033000485729267,-0.0,0.0,0.14813200194291706,False,0.019191003923084305,0.03375579942362433,0.0,0.021194325128730776
295,offset_drift,2,medium,mixed,0.543385750134175,0.08633796173190733,-0.21279653956794517,-0.014350480010577196,0.0,0.08511861582717807,False,0.08827012391256615,0.16634936506247372,5.551115123125783e-17,0.09952115039395365
295,offset_drift,3,high,tilt,0.9363705066492657,0.10055749918260559,-0.1567545759738812,-0.0370386670541902,0.0,0.06270183038955249,False,0.09245164789061376,0.20692465929339823,5.551115123125783e-17,0.10744607027401988
295,offset_drift,4,low,waviness,1.0845215297056927,0.12315823860540426,-0.21279653956794506,4.7708320221952755e-18,0.0,0.08511861582717803,False,0.1178370080789537,0.24773509473391633,2.7755575615628914e-17,0.13486607761543243
295,offset_drift,5,medium,mixed,1.344227195552917,0.1754851260217526,-0.21284407510279907,-0.013927671565854395,0.0,0.08513763004111963,False,0.17679488218968734,0.3416645069627647,1.3877787807814457e-17,0.19947309276016986
371,angular_drift,1,medium,offset,0.36045763377787066,0.0,0.1919460940602284,-0.0279592204885945,0.0,0.07677843762409135,False,0.0,0.0,0.0,0.0
371,angular_drift,2,medium,mixed,0.8961303040944735,0.055148406165546095,0.45779062247200364,-0.027959220488594498,0.0,0.18311624898880147,False,0.05946894196463592,0.10224202928326886,2.7755575615628914e-17,0.06635114791174651
371,angular_drift,3,high,waviness,1.1230838785253694,0.07636665731444198,-3.51753829584208e-17,-0.0279592204885945,0.0,0.023299350407162085,False,0.08337693277077235,0.1401846427048685,0.0,0.09298184671749729
371,angular_drift,4,low,waviness,1.3678087067894475,0.08977258286165385,0.023338717143051232,-0.0279592204885945,0.0,0.023299350407162085,False,0.09163912923881509,0.1732822888511361,0.0,0.10296157434668499
371,angular_drift,5,medium,mixed,1.177167461040801,0.12483598742473695,-0.22766299785514071,0.010912776349362994,0.0,0.09106519914205628,False,0.12603360754108922,0.242742131099521,0.0,0.1420326583255388
403,angular_drift,1,medium,offset,0.563669456884655,0.004915723694543364,-0.48676570261360746,-0.027959220488594498,0.0,0.194706281045443,False,0.004438939271803266,0.010248277092701152,2.7755575615628914e-17,0.005095587851920305
403,angular_drift,2,medium,bend,0.8178503268314166,0.03380929971400568,-0.07431305613897375,-0.0279592204885945,0.0,0.0297252224555895,False,0.030907201147216956,0.06996570319072934,0.0,0.0354742841262179
403,angular_drift,3,high,waviness,1.0496759836918117,0.0783407653839368,-1.648846076175975e-18,-0.027959220488594495,0.0,0.02329935040716208,False,0.07590255645880858,0.15613091684754893,0.0,0.0873072339202956
403,angular_drift,4,low,mixed,1.320470673532462,0.12646271774406126,-0.07549578668175261,-0.0279592204885945,0.0,0.030198314672701045,False,0.11759496245506515,0.25777431662393535,2.7755575615628914e-17,0.13851934020361112
403,angular_drift,5,medium,waviness,1.5777069061933384,0.1830249560216677,1.648846076175975e-18,-0.027959220488594495,0.0,0.02329935040716208,False,0.18031964626259106,0.36125200196620233,0.0,0.20553461553029703
433,angular_drift,1,medium,mixed,0.12653521082299007,0.059335179900661665,0.022018820929172733,0.00763494033572629,0.0,0.008807528371669093,False,0.06184150844383639,0.1128487610325812,0.0,0.06928099057736392
433,angular_drift,2,medium,mixed,0.33331728302737307,0.060497026602030414,-0.2655989210988787,-0.027959220488594498,0.0,0.10623956843955148,False,0.06155161657081509,0.11694933160895071,2.7755575615628914e-17,0.0694674214810067
433,angular_drift,3,high,mixed,0.6727068337302712,0.18254703486547852,-0.129569508537699,-0.027959220488594498,0.0,0.0518278034150796,False,0.17499090068145579,0.36590599374878136,2.7755575615628914e-17,0.2027796653640737
433,angular_drift,4,low,mixed,0.9161686941917271,0.21296309668716296,-0.03677598397200609,-0.0279592204885945,0.0,0.023299350407162085,False,0.20115601249667964,0.4303433332932026,0.0,0.23513292950198286
433,angular_drift,5,medium,mixed,1.5562563369493014,0.29162714985490873,-0.43587666981177575,-0.046469348581197965,0.0,0.1743506679247103,False,0.2780583464182828,0.5861445270733198,1.1102230246251565e-16,0.3236628780742788
