assembly_id,batch_condition,global_final_quality,global_final_mean_gap,global_final_max_gap,global_final_parallelism,batch_final_quality,batch_final_mean_gap,batch_final_max_gap,batch_final_parallelism,individual_final_quality,individual_final_mean_gap,individual_final_max_gap,individual_final_parallelism
1,normal,0.6013050091827397,0.5477506515827042,0.9110122856406795,0.3577196506183514,0.3454447536776852,0.22205575289113746,0.6075326911995036,0.2287570858253567,0.13616183352146252,0.14258214230928412,0.257208525217702,0.0
2,normal,0.3986511603780718,0.2739430267331096,0.7196234842197122,0.2204402472533591,0.38041524995343534,0.2351019842943828,0.5693279899783881,0.366036489190349,0.27095595051533167,0.24249069241063223,0.563670070115911,5.551115123125783e-17
3,normal,0.6010251175963025,0.2602294807802978,0.7146009313347478,0.9225949207270168,0.3921883754548216,0.30236748496311633,0.5598635416241731,0.33611818428330864,0.15598411664594125,0.14128776900667983,0.32203329463680175,0.0
4,normal,0.5325954492621222,0.44044830693567116,0.8205772732535497,0.3511891009163811,0.6968408203496242,0.7661432056272378,1.0598282521197007,0.235287635527327,0.14659752644506469,0.14531388669936723,0.288433917239045,1.1102230246251565e-16
5,normal,1.37371917042149,1.6676814297404605,1.9453303755878582,0.40686575356263943,1.0414387341984255,1.3419865310488936,1.5017431895849354,0.1796109828810688,0.062358577242027674,0.06718819590130731,0.11566804160129157,0.0
6,normal,0.37121809815967344,0.17280740620710747,0.4285729019694794,0.5652810644702644,0.7931445046985376,0.39776584873101695,0.9295631432494535,1.1517578009139726,0.09770495000662678,0.10665613020284975,0.1793740617359132,5.551115123125783e-17
7,normal,1.0402164588568859,0.49795872142420416,1.2285321747496525,1.5351461184430417,0.6829924210716458,0.37340319114964526,0.8065454090946916,0.9486693819993335,0.25404303019269836,0.24378457749168433,0.5101006150882638,1.6653345369377348e-16
8,normal,0.6090400614273571,0.3813260994576658,0.8562642492248739,0.6454368866608624,0.4859056173181022,0.43366486994041425,0.9472372058673453,0.05896015021715417,0.2894753803132919,0.3062375375055409,0.5445257317907133,8.326672684688674e-17
9,normal,1.040428601445324,0.47132742319885407,1.056485959961377,1.7633236822716507,0.700469287801949,0.36603437162951163,0.6525976661330981,1.1768469458279425,0.08434392421076832,0.08977357031542818,0.15755013473573992,0.0
10,normal,0.8738922010450018,0.46479360018700766,1.200790290045747,1.052621962125895,0.4359998031964176,0.19778389352784698,0.6956136760208171,0.4661452256821867,0.18732961171281393,0.16420958715071543,0.3937223840829573,2.7755575615628914e-17
11,normal,0.5541304534695133,0.27948243043006893,0.6539208356723464,0.803871414004218,0.472836151120767,0.46341513550263147,0.7308393266852047,0.21739467756050979,0.17484843132498865,0.1521860915709055,0.36832694116657183,2.7755575615628914e-17
12,normal,0.7966829380208089,0.3465196753987809,0.9785099039171559,1.1847350561036678,0.5214231423240736,0.3410735729487091,0.6734751297565115,0.5982583196599596,0.21454108518012832,0.18821412007034147,0.45017624489901514,0.0
13,normal,1.2470050616267045,0.7377358515947171,1.634484093104271,1.4920347026340421,0.7785703724422941,0.4120409529031503,1.1037718278093676,0.9055579661903339,0.14877357381000603,0.1332991506943853,0.3092659203957474,5.551115123125783e-17
14,normal,0.7848100825770901,0.594305395545113,1.1375504899998254,0.6692045589382358,0.33628197671217264,0.288639992273662,0.6366069474005128,0.08272782249452726,0.14839799580728993,0.12846116239303929,0.31456762361147117,2.7755575615628914e-17
15,normal,0.4366226954266535,0.1939515847752795,0.5654695846916291,0.6117976387967109,0.275049051671306,0.25928622317959543,0.533061909532659,0.025320902353002737,0.19642387587268176,0.16789507786976976,0.4191500945374031,5.551115123125783e-17
16,normal,1.736341377080754,1.3595760818886626,2.417852949059885,1.5162134692221545,1.6822755252850503,1.6852709805802293,2.411118728915214,0.9297367327784469,0.26375496096845064,0.26590588723402453,0.5134704301856788,1.1102230246251565e-16
17,normal,0.6443222723670415,0.264410435865397,0.7724365554318264,1.0039366179714284,0.44249970207343686,0.34606759168041457,0.5858772112284769,0.4174598815277203,0.16240354311240995,0.1638295124655686,0.3152761474871406,2.7755575615628914e-17
18,normal,0.2901683497496744,0.2476752744147619,0.5920053596158198,0.026872604823899734,0.6914176723074839,0.5374577286428934,1.0108264488352217,0.5596041316198087,0.25187075524948976,0.21634243058659353,0.5355151561513218,2.7755575615628914e-17
19,normal,0.5203968517731153,0.30023881625309257,0.6194057775855983,0.6978419901864936,0.09516829199606265,0.06634268757875418,0.11540441754697225,0.11136525374278522,0.04127848740226178,0.051031027604120906,0.06837238783460961,2.7755575615628914e-17
20,normal,0.6140258116052397,0.5362618157875979,0.8971581598883592,0.4242942258750026,1.0494428207370654,0.8623521411617727,1.3162819114325988,1.0107709623187109,0.30751562314178027,0.2855339888659474,0.6260588619992982,0.0
21,normal,0.9311886143689855,0.5101674317405384,1.259731296129553,1.1241091095017974,0.46730698915083513,0.19615574795852822,0.7274946158630201,0.5376323730580889,0.18730057566531486,0.17379951558359144,0.38119734990951765,5.551115123125783e-17
22,normal,0.5870221697930393,0.4815468367366701,0.8331474536857437,0.46532691628124534,0.7186842959741314,0.7601511883024284,1.2438982298894081,0.12114982016246278,0.30579590620960756,0.26901743604751754,0.642312403939517,0.0
23,normal,0.41924991926732663,0.21557979134692762,0.7363182296517548,0.3470912000869993,0.408616451935369,0.29816763824424264,0.7025010451734877,0.2393855363567088,0.3480839491067301,0.31350521314652474,0.7235201340025351,5.551115123125783e-17
24,normal,0.36303532885807693,0.16573782968101372,0.5059960646396051,0.4710340810185226,0.7459144478054489,0.4348798256884145,0.8293114815617032,1.057510817462231,0.25516815721957475,0.22584928605718663,0.5345878709981209,5.551115123125783e-17
25,normal,0.6604239328513194,0.5227272597522402,1.0417122268041996,0.45296581100864175,0.3227116863197404,0.2071686508368156,0.6429864719727334,0.13351092543506637,0.19188538521268358,0.20493168847677679,0.3567792261078,2.7755575615628914e-17
