batch_id,batch_condition,assembly_id,component_index,batch_offset_bias_mm,batch_angular_bias_deg,fixture_drift_mm,variation_multiplier,scenario_type,severity,active_modes,n_active_modes,offset_mm,tilt_deg,bend_mm,waviness_mm,twist_mm,local_bump_mm,component_profile_mean_mm,component_profile_min_mm,component_profile_max_mm,component_profile_rms_mm,component_parallelism_mm,state_before_mean_gap,state_before_max_gap,state_before_parallelism,state_before_rms,state_before_quality,state_after_mean_gap,state_after_max_gap,state_after_parallelism,state_after_rms,state_after_quality,quality_change
1,normal,1,1,0.0,0.0,0.0,1.0,tilt,medium,tilt,1,0.0,0.007696436914197618,0.0,0.0,0.0,-0.02914322881721548,-0.00867913332329345,-0.06716903298835235,0.06715913264437003,0.041383613856302785,0.13432816563272237,0.0,0.0,0.0,0.0,0.0,0.03793765113843816,0.06716903298835235,0.13432816563272237,0.041383613856302785,0.07596881631348415,0.07596881631348415
1,normal,1,2,0.0,0.0,0.0,1.0,mixed,medium,offset+bend+twist,3,-0.46167605392556815,0.0,0.13468579347991247,0.0,-0.07081621389961408,0.0,-0.3656328566388746,-0.46167605392556815,-0.3269902604456557,0.3678585157179465,0.0,0.03793765113843816,0.06716903298835235,0.13432816563272237,0.041383613856302785,0.07596881631348415,0.37431198996216813,0.5288450869139205,0.13432816563272237,0.37786912480172147,0.34903248523281544,0.2730636689193313
1,normal,1,3,0.0,0.0,0.0,1.0,mixed,high,twist+tilt+bend,3,0.0,0.008035328804751591,0.233043009731001,0.0,0.1690027336399644,0.0,0.12025625207180145,-0.07012147252134625,0.2352660063241497,0.1501087717111887,0.14024294504269252,0.37431198996216813,0.5288450869139205,0.13432816563272237,0.37786912480172147,0.34903248523281544,0.2540557378903668,0.5989665594352668,0.2745711106754149,0.288160543466569,0.3670940767469714,0.018061591514155984
1,normal,1,4,0.0,0.0,0.0,1.0,bend,low,bend,1,0.0,0.0,0.09302485182760782,0.0,0.0,0.04455460069436187,0.07189907410315374,7.567896399465028e-06,0.13757945252196968,0.08367434114171889,1.139259314057034e-17,0.2540557378903668,0.5989665594352668,0.2745711106754149,0.288160543466569,0.3670940767469714,0.1863266851880907,0.5989589915388673,0.27457111067541495,0.2505018099256456,0.3430072172132764,-0.024086859533694993
1,normal,1,5,0.0,0.0,0.0,1.0,twist,medium,twist,1,0.0,0.0,0.0,0.0,0.06087453606708562,0.0,-0.009589401713372704,-0.0176258966527416,0.0,0.011386019127273224,7.454980574413652e-18,0.1863266851880907,0.5989589915388673,0.27457111067541495,0.2505018099256456,0.3430072172132764,0.19552298750851463,0.5989589915388673,0.27457111067541495,0.2590620579543802,0.34662213271227704,0.003614915499000615
1,normal,2,1,0.0,0.0,0.0,1.0,twist,high,twist,1,0.0,0.0,0.0,0.0,0.06540918555112325,0.0,-0.010303732833430095,-0.01893888018125626,0.0,0.012234183386033775,8.01031497200184e-18,0.0,0.0,0.0,0.0,0.0,0.010303732833430095,0.01893888018125626,8.01031497200184e-18,0.012234183386033775,0.009996202243009285,0.009996202243009285
1,normal,2,2,0.0,0.0,0.0,1.0,twist,medium,twist,1,0.0,0.0,0.0,0.0,-0.01868723875728689,0.0,0.002943750391129855,0.0,0.0054107901323150916,0.0034952752279197225,2.2885267129013752e-18,0.010303732833430095,0.01893888018125626,8.01031497200184e-18,0.012234183386033775,0.009996202243009285,0.007359982442300238,0.01352809004894117,5.721788259100464e-18,0.008738908158114053,0.007140312563183829,-0.0028558896798254567
1,normal,2,3,0.0,0.0,0.0,1.0,mixed,high,offset+tilt+waviness,3,-0.18652664715527334,0.008412626053738145,0.0,0.09440461115808098,0.0,0.0,-0.1865266471552733,-0.3176382644213336,-0.05541502988921308,0.19895931111047158,0.14682802443191706,0.007359982442300238,0.01352809004894117,5.721788259100464e-18,0.008738908158114053,0.007140312563183829,0.1938866295975736,0.3295581149013116,0.14682802443191706,0.20592921524037636,0.2216747522032783,0.2145344396400945
1,normal,2,4,0.0,0.0,0.0,1.0,mixed,extreme,twist+bend+tilt+waviness,4,0.0,0.015184669775108075,0.3564486732213995,0.24182680066929463,-0.2511679676838225,0.10223913171513661,0.29467064732436676,-0.13249387880511754,0.6572715552876554,0.36433651126551686,0.2650224896084903,0.1938866295975736,0.3295581149013116,0.14682802443191706,0.20592921524037636,0.2216747522032783,0.23296846953458436,0.5674979716029621,0.4118505140404074,0.29002448926427715,0.39269753547981384,0.17102278327653553
1,normal,2,5,0.0,0.0,0.0,1.0,offset,low,offset,1,0.04290431473571504,0.0,0.0,0.0,0.0,0.0,0.042904314735715036,0.04290431473571504,0.04290431473571504,0.04290431473571503,0.0,0.23296846953458436,0.5674979716029621,0.4118505140404074,0.29002448926427715,0.39269753547981384,0.24264620527187958,0.6104022863386771,0.4118505140404074,0.30757620686539877,0.4102273223818291,0.017529786902015232
1,normal,3,1,0.0,0.0,0.0,1.0,bend,medium,bend,1,0.0,0.0,0.1368325872183065,0.0,0.0,0.0,0.0862407582891266,0.0,0.1368325872183065,0.09627507240589396,1.675715899559501e-17,0.0,0.0,0.0,0.0,0.0,0.0862407582891266,0.1368325872183065,1.675715899559501e-17,0.09627507240589396,0.0765495108928193,0.0765495108928193
