assembly_id,batch_condition,component_index,severity,scenario_type,zero_quality,random_predicted_quality,random_actual_quality,bo_predicted_quality,bo_actual_quality,bo_prediction_error,bo_prediction_absolute_error,bo_z_adj,bo_theta_adj,bo_locator_offset,bo_correction_utilization,bo_mean_gap,bo_max_gap,bo_parallelism,bo_rms
6,normal,1,high,tilt,0.3356233199896484,1.900703141713137,1.9340969228335279,0.6291791573565478,0.504468580659985,-0.12471057669656282,0.12471057669656282,0.44176017058123174,-0.005964882717319986,-1.0,1.0,0.3539122694590983,0.6919561864139145,0.5007317450184884,0.4048852039253466
6,normal,2,medium,tilt,0.052380979234138335,2.1247762009132294,1.5269106350623418,0.8020066013732453,1.0302088316311855,0.22820223025794018,0.22820223025794018,-0.12402551804988526,-0.050095401830027475,-1.0,1.0,0.6009812369991545,1.6841733370422998,0.8840391632908016,0.7945071043150881
6,normal,3,high,twist,0.07512241067932615,1.9558930312591425,2.1986544517084923,1.0817404374274526,1.0651872922906005,-0.016553145136852132,0.016553145136852132,0.6961738234813062,0.03740267537903996,-1.0,1.0,0.9736751990234708,1.9860915239873473,0.23123923614222108,1.0788550454468862
6,normal,4,extreme,mixed,0.48747959925262985,1.1982141699732671,0.7439450267014198,1.335958084216893,1.6033932325214773,0.26743514830458426,0.26743514830458426,0.16427265064704955,0.014705199133674629,-1.0,1.0,1.228115260384945,2.831354402635478,0.8111180822668456,1.4221690893529664
6,normal,5,low,mixed,0.8338090067665561,0.9252872384705422,1.1999074540915615,1.433139504319083,1.7556384243234247,0.32249892000434155,0.32249892000434155,-0.17607290482376348,-0.05705711782635037,-1.0,1.0,1.5073512611804407,3.625563950828755,0.1327542355117317,1.7593759006714638
10,normal,1,high,mixed,0.2442546683540196,1.200283171474946,1.2168025579934694,1.7410732709610834,1.512484310310447,-0.22858896065063639,0.22858896065063639,2.5,0.011997347171232908,-1.0,1.0,1.9238718920262763,2.259573953562748,0.20939321270316058,1.9463259282279148
10,normal,2,medium,mixed,0.19483818957820942,0.9933748716237956,0.8386939880490668,0.8919111128770785,0.5964268475906994,-0.29548426528637906,0.29548426528637906,-1.506553598131357,-0.0022390688756208643,0.17679910916717656,0.6026214392525427,0.6155562498778366,0.9835359520644524,0.17031408862475583,0.6560496042058599
10,normal,3,high,tilt,0.3273784736434066,1.9206074416710919,1.658721200293481,0.7113743786970286,0.44534680925706405,-0.26602756943996453,0.26602756943996453,-1.1624665063188364,-0.03870775726998099,0.37477145749208973,0.46498660252753454,0.4352997185098897,0.7037378366510849,0.19157638599025684,0.46162626911694643
10,normal,4,extreme,mixed,0.5249023962694012,0.9828907782521533,0.9459872822250917,1.4079948929625146,1.557117890614384,0.14912299765186954,0.14912299765186954,1.847600166567756,-0.017958752263056654,-1.0,1.0,1.103921262109454,2.155006429975564,1.508220017929758,1.2697357760995134
10,normal,5,low,mixed,0.4002493869413218,1.183541710084372,1.1387756390065387,0.9071868225859161,0.9103975120773005,0.0032106894913843664,0.0032106894913843664,-1.1998221203044368,0.0842234541144733,-1.0,1.0,0.5879293388033429,1.9375757697633011,0.23094324827592877,0.834630050245286
