assembly_id,batch_condition,zero_final_quality,random_final_quality,old_bo_final_quality,structured_rf_final_quality,warmstart_bo_final_quality,warmstart_beats_zero,warmstart_beats_random,warmstart_beats_old_bo,warmstart_beats_structured_rf
6,normal,0.8338090067665561,1.1999074540915615,1.7556384243234249,0.0977049500066267,0.09770495000662678,True,True,True,False
10,normal,0.4002493869413218,1.1387756390065389,0.9103975120773004,0.1873296117128139,0.18732961171281393,True,True,True,False
35,normal,0.5269224395906424,0.899659063718175,1.3010139817702082,0.0946917933538692,0.09469179335386926,True,True,True,False
41,normal,0.2155713084000664,1.8590264104074128,1.9662954205119685,0.1484281750297853,0.1484281750297853,True,True,True,False
53,normal,0.2879315056204411,0.7506911947317736,0.4556556755047792,0.0576202719722357,0.057620271972235786,True,True,True,False
63,normal,1.064822423418031,0.8487147855401167,0.4443649373410924,0.1863635895446471,0.1863635895446471,True,True,True,False
65,normal,0.2376326773630513,2.2524550698551264,2.0068961718919827,0.1611167676737857,0.16111676767378577,True,True,True,False
76,normal,0.0860094608651843,1.440652812393179,0.6466431640964372,0.0547736558858311,0.054773655885831114,True,True,True,False
92,normal,0.497570521386026,0.8005927076500544,1.6303075806886964,0.1543621474046087,0.15436214740460877,True,True,True,False
93,normal,0.9507610471593506,3.137045245919857,1.6906171931734166,0.319112202414626,0.31911220241462607,True,True,True,False
96,normal,0.6623483941876896,1.1065031621826693,0.3635100104010257,0.2063344595427758,0.15789234506254368,True,True,True,True
99,normal,0.1721658121788787,2.700278439422864,1.3786181982018484,0.2238495842019735,0.22384958420197354,False,True,True,False
124,normal,0.2684713828830063,1.7720644404601904,1.9955658530031348,0.1758458925437341,0.17584589254373412,True,True,True,False
131,normal,0.5685620224430427,0.9070567457669924,1.3106417045298044,0.2494843083084346,0.24948430830843465,True,True,True,False
152,normal,0.5240816846091182,1.573803189370938,2.433736598055311,0.2157706605348268,0.2157706605348268,True,True,True,False
154,normal,0.4530757385582391,2.2042175813867675,1.551639490692332,0.102685540317329,0.102685540317329,True,True,True,False
172,offset_drift,1.0765361157430922,5.008662337790644,1.6522409937676463,0.3010130251550235,0.23969659770090163,True,True,True,True
195,offset_drift,1.334771165458316,1.1604535797619815,1.2567792392358468,0.200560756477623,0.200560756477623,True,True,True,False
196,offset_drift,1.69820693695669,0.3749394673513981,0.5663279533356294,0.30196034954973,0.31900499732794296,True,True,True,False
222,offset_drift,0.8082687145241162,0.3101651154124551,0.8818459979217074,0.2554840373863245,0.23266871852449778,True,True,True,True
237,offset_drift,0.9877914427892936,4.529635572430664,1.6215788086396363,0.1570679463943664,0.1570679463943664,True,True,True,False
255,offset_drift,1.5064969790523657,3.3202493768941888,0.852150284390192,0.2901805556934448,0.3160993340761355,True,True,True,False
266,offset_drift,1.2078479332137215,1.3415560667591062,1.9995341453129396,0.2046149921235948,0.226636776191796,True,True,True,False
274,offset_drift,1.3215053332640718,2.717506794145488,1.8246733458244109,0.2345764842929137,0.23457648429291378,True,True,True,False
281,offset_drift,1.4482616749993775,1.3307206718303108,1.4892203648853528,0.2910405036283382,0.2910405036283382,True,True,True,False
288,offset_drift,0.9378331507302308,0.9226943732431302,1.8911277821222368,0.1106037923849019,0.11060379238490194,True,True,True,False
290,offset_drift,0.9709859576043598,0.749132622499653,1.6819165737915664,0.2537308037386578,0.25373080373865786,True,True,True,False
295,offset_drift,1.344227195552917,1.952250283098672,0.5983793473306244,0.1628616588217099,0.25030162903098935,True,True,True,False
313,offset_drift,1.3828036206660148,0.7745773400171702,1.6012940773008577,0.124441594600456,0.12444159460045609,True,True,True,False
323,offset_drift,0.6746473674095301,2.193180158036049,0.5045856141745773,0.2320622255385195,0.23206222553851955,True,True,True,False
327,offset_drift,0.7710998642429199,2.5762253926477072,0.5468000774383907,0.2156180831924171,0.21561808319241715,True,True,True,False
329,offset_drift,1.153111939497019,2.132548298185839,1.0538424600187954,0.1312421820595486,0.14233795778035133,True,True,True,False
335,angular_drift,1.5674361781452577,1.5645408254143922,1.0671937666465592,0.0850494279878033,0.08504942798780338,True,True,True,False
337,angular_drift,1.3845979478671082,0.709899831846585,1.0568601965899938,0.1906152997740733,0.18422966973124416,True,True,True,True
343,angular_drift,1.0428387355588424,2.041893510061966,2.242821924301293,0.221864125594361,0.22186412559436108,True,True,True,False
358,angular_drift,1.595506542569506,2.031882472745917,0.9656877153602258,0.1998663784027192,0.19986637840271923,True,True,True,False
371,angular_drift,1.177167461040801,2.4821225886313787,1.504117905771542,0.1762242936755019,0.17622429367550196,True,True,True,False
373,angular_drift,0.8512727382291406,1.946283326536644,1.8492888751673733,0.1637413682339869,0.16374136823398694,True,True,True,False
381,angular_drift,1.3694164646670277,2.7378247301180973,1.2028299237952826,0.0731926461565948,0.07319264615659483,True,True,True,False
403,angular_drift,1.5777069061933384,1.9547590210521268,1.2835321291125164,0.1945114537195753,0.19451145371957534,True,True,True,False
422,angular_drift,1.8965852668088503,3.394937300828711,1.069420896674893,0.0436345185295757,0.043634518529575735,True,True,True,False
433,angular_drift,1.5562563369493014,0.5735410701042263,1.176419085623697,0.330126801550099,0.33012680155009905,True,True,True,False
463,angular_drift,1.6833994954649896,0.8019946370997748,1.5083295448521454,0.1585929153682933,0.1585929153682933,True,True,True,False
467,angular_drift,1.2559125566576352,0.7767038612276216,1.6400491075214845,0.0884323285190994,0.08843232851909942,True,True,True,False
468,angular_drift,1.1040780371259786,1.1337859177948582,1.0701116434061146,0.1529611737262949,0.1529611737262949,True,True,True,False
476,angular_drift,1.2328993788040827,1.3776937304061432,0.743145566102106,0.3362597037942213,0.3362597037942213,True,True,True,False
483,angular_drift,1.991058413357631,1.664790285909405,1.0581195056416135,0.0831302050267947,0.08313020502679473,True,True,True,False
488,angular_drift,1.341694785153852,1.495605403217594,0.5897780802851912,0.117798349912577,0.11779834991257705,True,True,True,False
501,angular_drift,1.0930517943132616,5.748738251908375,1.0490826697858704,0.2042775269656783,0.20427752696567833,True,True,True,False
504,fixture_drift,0.7828474051137029,0.6761055002306178,0.7532869106919103,0.213832874535899,0.21383287453589905,True,True,True,False
510,fixture_drift,1.0825623653607004,1.8384855210558009,0.9877369590553552,0.2852312905343828,0.2852312905343828,True,True,True,False
526,fixture_drift,1.3874174607332332,2.016788879466929,0.9861920704805396,0.4172437189647918,0.3329354880857548,True,True,True,True
538,fixture_drift,0.8792614880686362,1.4347173666544466,0.5054407102262762,0.3803915017478337,0.3827138755578904,True,True,True,False
539,fixture_drift,1.4073166062957396,1.8478802716698068,1.621252748184557,0.1378257910634218,0.1378257910634218,True,True,True,False
545,fixture_drift,0.961731471277832,0.4091955458642471,1.3842335096659966,0.2226977950022294,0.22269779500222942,True,True,True,False
547,fixture_drift,1.1484128706056236,2.665815666307976,1.5285254824675885,0.1844256991105319,0.18442569911053192,True,True,True,False
549,fixture_drift,0.8800325190669672,3.409087421486002,1.3934330111261133,0.2301283300510845,0.23012833005108452,True,True,True,False
554,fixture_drift,1.2766550580017495,4.261712455885964,1.5630108178550466,0.2528963223837403,0.2425654187420429,True,True,True,True
556,fixture_drift,1.1233166361833504,1.5144956771095053,1.0800148734195978,0.3260507613088548,0.3260507613088548,True,True,True,False
571,fixture_drift,1.3111035243575158,1.6275997333212044,0.6322091297142841,0.2924511993582758,0.29245119935827585,True,True,True,False
598,fixture_drift,1.4434556720951248,1.8248975347947676,1.308280104400026,0.3954015751238074,0.3862588702533968,True,True,True,True
606,fixture_drift,1.5743256336547593,1.0884150566328166,1.390318262895936,0.3747614790817504,0.37476147908175045,True,True,True,False
613,fixture_drift,0.7799646255546323,1.6045942782303906,0.8037597494078611,0.1925184300031779,0.19251843000317792,True,True,True,False
640,fixture_drift,1.0342050193219994,1.4098872856767546,0.6668683162800212,0.2205943040682454,0.2205943040682454,True,True,True,False
653,fixture_drift,1.0794384977435327,1.0197262286551163,0.6596206396528361,0.2121174838940362,0.21211748389403626,True,True,True,False
655,fixture_drift,0.588284258358563,2.44431518394115,0.2110042454174263,0.1711320732204014,0.17113207322040142,True,True,True,False
