assembly_id,batch_condition,component_index,scenario_type,severity,global_quality,global_mean_gap,global_parallelism,batch_quality,batch_mean_gap,batch_parallelism,individual_quality,individual_mean_gap,individual_parallelism,individual_z_adj,individual_theta_adj,individual_locator_offset,correction_utilization
1,normal,1,tilt,medium,0.07707886948992226,0.07988005053971713,0.00787001337396915,0.0734769135030175,0.03734634075654239,0.12516536066271078,0.0,0.0,0.0,-0.0,-0.0076964369141976,0.0291432288172154,0.0291432288172154
1,normal,2,mixed,medium,0.4312457065944331,0.5167138243950156,0.1185881388847837,0.34935482054483863,0.3864358649183889,0.11600255569269952,0.07963829294064029,0.09604319728669337,0.0,0.4616760539255681,-0.0,-0.0,0.18467042157022723
1,normal,3,mixed,high,0.42200949559823236,0.46765848953963784,0.10480334610084563,0.36728621092500263,0.27224155032469777,0.24708269576537917,0.16885418590251652,0.17452456525422638,6.938893903907228e-18,-0.04802159864334669,-0.0080353288047515,-0.0,0.019208639457338673
1,normal,4,bend,low,0.49564938497766814,0.4669603326529078,0.23126149835959853,0.3416633330421669,0.20640441369965445,0.23791989079536796,0.1715203506811011,0.1746969444087095,0.0,-0.08413892535757403,-1.987846675914698e-19,-0.0445546006943618,0.0445546006943618
1,normal,5,twist,medium,0.6013050091827397,0.5477506515827042,0.3577196506183514,0.3454447536776852,0.22205575289113746,0.2287570858253567,0.13616183352146252,0.14258214230928412,0.0,-0.07138460581989847,-0.0,-0.0,0.028553842327959388
2,normal,1,twist,high,0.10774326175976355,0.08185405730922128,0.1264581522587529,0.017916170006509177,0.016365670311540438,0.009162804970011271,0.009996202243009279,0.010303732833430088,8.010314972001834e-18,-0.0,-0.0,-0.0,0.0
2,normal,2,twist,medium,0.20860017112092583,0.15079582605593736,0.2529163045175058,0.02309163018921439,0.019483857398520942,0.01832560994002253,0.004403097478379084,0.00456631477836949,2.6020852139652106e-18,0.005151866416715044,2.294786202330796e-19,-0.0,0.0020607465666860176
2,normal,3,mixed,high,0.41550299616142405,0.40748938124684475,0.23254643234434233,0.22398233032172407,0.21207244203190465,0.11933960952188252,0.05451783880262398,0.059697322612794965,5.551115123125783e-17,0.1876307051680659,-0.0084126260537381,-0.0,0.07505228206722636
2,normal,4,mixed,extreme,0.3335341426577575,0.25816322061082736,0.09398209499460619,0.36966289170116234,0.22987045408630144,0.37519929416036024,0.3354047941602567,0.2991917275569889,8.326672684688674e-17,0.0005520290063963036,-0.015184669775107998,-0.1022391317151366,0.1022391317151366
2,normal,5,offset,low,0.3986511603780718,0.2739430267331096,0.2204402472533591,0.38041524995343534,0.2351019842943828,0.366036489190349,0.27095595051533167,0.24249069241063223,5.551115123125783e-17,-0.17473972642302998,2.3854160110976377e-18,-0.0,0.069895890569212
