split,assembly_id,assembly_index,component_index,sequence_length,nonlinearity_strength,state_mean_gap,state_max_gap,state_parallelism,state_rms,state_quality,state_signed_mean,state_signed_end_difference,state_estimated_angle_deg,component_profile_rms,component_parallelism,lsq_z_adj_mm,lsq_theta_adj_deg,lsq_locator_offset_mm,lsq_utilization,state_profile_p000,state_profile_p010,state_profile_p020,state_profile_p030,state_profile_p040,state_profile_p050,state_profile_p060,state_profile_p070,state_profile_p080,state_profile_p090,state_profile_p100,pre_correction_quality,lsq_true_quality,reference_true_quality,reference_gain_over_lsq,reference_relative_gain_percent,reference_beats_lsq,reference_z_adj_mm,reference_theta_adj_deg,reference_locator_offset_mm,target_delta_z_mm,target_delta_theta_deg,target_delta_locator_mm,reference_utilization,lsq_solver_success,reference_optimizer_success,reference_evaluations
validation,VALIDATION_0001,1,1,10,1.0,0.394302061098888,1.3217467467851702,1.44258815292215,0.5135265236031166,0.9989437406021741,-0.3000418467818154,1.44258815292215,0.08265415540194251,0.513083415291949,1.41554889026296,0.35138301859064663,-0.07544024380215103,-0.17239595960037202,0.17239595960037202,-1.3217467467851702,-0.798164472590122,-0.7982664401648649,-0.5635754134667748,-0.19667266767528097,-0.2503479870988526,-0.23446166485072123,0.16894908002859846,0.2761722534451522,4.1503420644857514e-05,0.12084140613697987,0.9989437406021741,0.15979441565878874,0.1424971011496906,0.017297314509098133,10.824730287216877,True,0.32587767168527865,-0.07415065393354232,-0.2195985087704719,-0.025505346905367987,0.0012895898686087065,-0.04720254917009989,0.2195985087704719,True,False,683
validation,VALIDATION_0001,1,2,10,1.0,0.5102219448266379,1.170750518277585,1.5236660588651698,0.6227319012359327,1.023664746714411,0.032763047033362316,-1.5236660588651698,-0.08729956700333745,0.5313676793101648,1.5377479105377982,-0.008414920849554782,0.10604504620439135,-0.08175735827686015,0.0883708718369928,0.5774422130814901,1.0153087389006836,0.2929428325517093,0.1969518921640544,0.6553427691932737,0.03558839997068264,-0.47665968261874414,0.01770297175242933,-0.12542181186258433,-1.0977825892998618,-0.9462238457836797,1.023664746714411,0.4638427081434609,0.27647759199566013,0.18736511614780077,40.39410620417709,True,0.007983779472592928,0.07879813752021153,-0.15775437721225644,0.01639870032214771,-0.027246908684179824,-0.07599701893539629,0.15775437721225644,True,False,1031
validation,VALIDATION_0001,1,3,10,1.0,0.4091914202226963,0.9494771084289563,0.5261449421221307,0.4772534160117342,0.6131693828333085,0.14265794566437548,0.5261449421221307,0.03014588181400685,0.24318629531044814,0.016496316012130086,-0.21695569140837886,-0.0024339903575188995,0.24948069400080775,0.24948069400080775,-0.05667342145787299,0.6675485809149798,-0.3011756518918392,-0.3055063501977598,0.630891914492152,-0.008384663806648053,-0.5281139970017811,0.6019292402252566,0.7223242299522327,-0.23528299152769286,0.4694715206642577,0.6131693828333085,0.5411982935627693,0.3865713098838681,0.15462698367890115,28.571225282506774,True,-0.21182407854864377,-0.02748526872563159,0.21970913557380564,0.005131612859735096,-0.02505127836811269,-0.029771558427002104,0.21970913557380564,True,False,735
validation,VALIDATION_0001,1,4,10,1.0,0.5900526874323516,1.5005266270496251,1.4591416632353629,0.7189575273818716,1.136812046053389,-0.43556213636957425,1.4591416632353629,0.0836025996825105,0.5225007620913474,1.0229944900423955,0.3587837231381032,-0.05595648997416316,0.2578104036058747,0.2578104036058747,-1.1492008613769074,-0.25843197423674,-1.198148081163749,-1.0828166248850073,0.007076595437417683,-0.6475553371560175,-1.0768681445387969,0.28140180865114495,0.47020679787174563,-0.5233331139205015,0.3099408018584554,1.136812046053389,0.5446622063704653,0.41271115197654074,0.13195105439392452,24.226218167995082,True,0.31928537970183085,-0.07458315634606867,0.2235256003604487,-0.03949834343627234,-0.018626666371905513,-0.034284803245426015,0.2235256003604487,True,False,895
validation,VALIDATION_0001,1,5,10,1.0,0.4500715987698229,1.1963376228734661,1.190970164559197,0.5675339311712196,0.9079672089778676,0.2433093877850956,1.190970164559197,0.06823753169232441,0.34428714609793426,0.8260459163521816,-0.13907452439936563,-0.04299665140322416,-0.35000504788061004,0.35000504788061004,-0.6104325146144194,0.24352371094946587,-0.5095460529103909,-0.25714898781836665,0.9127037115386913,0.4018784388250075,-0.11851658541428886,0.9340465449451518,0.9159535379247754,-0.09070486381121722,0.5805376499447777,0.9079672089778676,0.5075991717844013,0.39389350524324596,0.11370566654115533,22.400680076257274,True,-0.1160991793392561,-0.0615525444645589,-0.2586409068922158,0.022975345060109523,-0.01855589306133474,0.09136414098839424,0.2586409068922158,True,False,643
validation,VALIDATION_0001,1,6,10,1.0,0.5826422048011752,1.3012029971585446,0.49515458140804297,0.7036579963782305,0.784065734648152,0.537006247566913,-0.49515458140804297,-0.028370265402659082,0.6129160667290268,0.8418322527643675,-0.5146470862399243,0.04987441877427451,-0.07507871240606771,0.2058588344959697,0.6375807029283674,1.252699492954901,0.4055085621961346,0.3839153567843983,1.1558662402971518,0.5953550721648624,-0.04276054233845386,0.7609362705142072,0.6931881747616719,-0.28453520834471446,0.14242612152032447,0.784065734648152,0.49404544172952464,0.3284461350405295,0.16559930668899514,33.51904353358165,True,-0.4508189749242584,0.025517477324280387,-0.005054827561709795,0.0638281113156659,-0.024356941449994122,0.07002388484435793,0.18032758996970336,True,False,603
validation,VALIDATION_0001,1,7,10,1.0,0.552905269033057,1.4994215764765872,1.3951231421037487,0.6910894277344233,1.1033439390574602,0.4750569290335934,1.3951231421037487,0.07993461608286015,0.6043635243325611,0.9199093611455336,-0.45812991410049103,-0.05773593792081718,-0.0568383790192355,0.1832519656401964,-0.4943395334370533,0.41888003372616095,-0.188093575643027,0.05107890146146336,0.923774525494927,0.40097492643204724,0.05342861630457769,1.2031563181705107,1.2423592887830053,0.3290355903414831,0.9007836086666955,1.1033439390574602,0.4424701083681023,0.36326746375517616,0.07920264461292614,17.900111920562875,True,-0.40233258437100944,-0.07144491293548506,-0.13306278428556947,0.05579732972948159,-0.013708975014667883,-0.07622440526633398,0.1609330337484038,True,False,1367
validation,VALIDATION_0001,1,8,10,1.0,0.5279145060817669,1.283157482261825,0.7344677705465756,0.6578449355545748,0.8294464212225077,-0.5160990771110954,-0.7344677705465756,-0.04208189587377609,0.5501405432057244,0.9847452939078262,0.4595649396861454,0.05571137153759491,0.18983315978536136,0.18983315978536136,-0.4147440259799815,0.11165419251003451,-0.3190786955337463,-0.3214720623503807,-0.1387537048013836,-0.8310331972397464,-1.01450875116213,-0.28160145412138476,-0.43023456568796187,-1.2579643388076653,-1.1492117965265571,0.8294464212225077,0.4050588464090804,0.26736233300061896,0.13769651340846145,33.99419976360616,True,0.4437515639969982,0.037786573215904146,0.015787945171146633,-0.015813375689147202,-0.017924798321690763,-0.17404521461421474,0.17750062559879928,True,False,475
validation,VALIDATION_0001,1,9,10,1.0,0.4788266419482115,0.8354389138634407,0.0177329120882046,0.5193740952470975,0.4515369498946668,0.4788266419482115,-0.0177329120882046,-0.0010160210210241449,0.4432101618320759,0.3723484780294757,-0.513597545643321,0.011042981348039395,0.11675548292918819,0.2054390182573284,0.31101564440473856,0.7498588143578397,0.4739674715655503,0.5016583461656141,0.6661822707342329,0.29706865491842127,0.1551765381792345,0.6834340528320185,0.6488646549156717,0.15350082111037133,0.29328273231653396,0.4515369498946668,0.2345205489007386,0.17518701048353313,0.059333538417205456,25.299931581824215,True,-0.4623542582956909,0.0009280288564691468,0.09238025638332861,0.05124328734763017,-0.010114952491570248,-0.02437522654585958,0.18494170331827636,True,False,411
validation,VALIDATION_0001,1,10,10,1.0,0.5176967416314128,1.0464922236489955,1.1351954134062334,0.6018799285588305,0.8700033064618755,0.4840488061813186,-1.1351954134062334,-0.06504187817165288,0.6467329144875339,1.3290463458335704,-0.48325314865781577,0.06830800789233941,-0.00267169870583135,0.19330125946312632,0.9066228820945152,0.9909241758147758,0.885865939443986,0.8223850117307488,0.6258465530350168,0.4003178021996936,0.3052149673681212,0.33518197954383394,0.1515526808488427,-0.1511401440813462,-0.2285725313117182,0.8700033064618755,0.17404185307145204,0.08302613675566728,0.09101571631578476,52.29530409471032,True,-0.43307479416276456,0.059073670924442344,0.001276400091453895,0.0501783544950512,-0.00923433696789707,0.003948098797285245,0.17322991766510581,True,False,783
