split,assembly_id,assembly_index,component_index,sequence_length,nonlinearity_strength,state_mean_gap,state_max_gap,state_parallelism,state_rms,state_quality,state_signed_mean,state_signed_end_difference,state_estimated_angle_deg,component_profile_rms,component_parallelism,lsq_z_adj_mm,lsq_theta_adj_deg,lsq_locator_offset_mm,lsq_utilization,state_profile_p000,state_profile_p010,state_profile_p020,state_profile_p030,state_profile_p040,state_profile_p050,state_profile_p060,state_profile_p070,state_profile_p080,state_profile_p090,state_profile_p100,pre_correction_quality,lsq_true_quality,reference_true_quality,reference_gain_over_lsq,reference_relative_gain_percent,reference_beats_lsq,reference_z_adj_mm,reference_theta_adj_deg,reference_locator_offset_mm,target_delta_z_mm,target_delta_theta_deg,target_delta_locator_mm,reference_utilization,lsq_solver_success,reference_optimizer_success,reference_evaluations
train,TRAIN_0001,1,1,10,1.0,0.3153822300044589,0.6375544030294764,0.09895720002510844,0.3631316709788694,0.35188131701560005,0.3114857288358743,-0.09895720002510844,-0.005669829895363276,0.3617944038327746,0.12233775400687918,-0.43709655784693374,0.0018505887443016407,0.4217823364879842,0.4217823364879842,0.6375544030294764,0.3830230087310147,0.47816511447352145,0.3870889189317796,0.0012025396807599925,0.011679873335373235,0.2770283240148893,0.17752692897980266,0.2720739536383253,0.5436159592317119,0.538597203004368,0.35188131701560005,0.1457208717863359,0.10827670681674982,0.037444164969586066,25.6958145463807,True,-0.3925733625917595,0.005265734132711744,0.42529588053938666,0.04452319525517423,0.003415145388410103,0.003513544051402473,0.42529588053938666,True,False,679
train,TRAIN_0001,1,2,10,1.0,0.7323815017709419,1.5232818794813725,1.2097609044401043,0.839062978268359,1.1235335835345615,-0.6590185253345342,1.2097609044401043,0.06931416023010713,0.7836460978885832,1.279080079078212,0.6700689881798648,-0.08337657471532041,-0.03710579792262049,0.2680275952719459,-0.9851587577488982,-1.5034765648236255,-0.883271479889534,-0.753784167126151,-1.1648757197763562,-0.5971181775984792,-0.14019897304859177,-0.7782108557076817,-0.6131504861959097,0.2421830058536681,0.22460214669120626,1.1235335835345615,0.4172101298862603,0.2729579779636767,0.14425215192258356,34.575419336512645,True,0.6191813487506468,-0.06174915968791935,0.05264656245294498,-0.050887639429218035,0.021627415027401058,0.08975236037556547,0.24767253950025872,True,False,799
train,TRAIN_0001,1,3,10,1.0,0.23244251631018784,0.9037631254303028,0.553740924074489,0.3397286378508559,0.5409568335295795,0.18539224383791336,0.553740924074489,0.03172701465033494,0.31736516767745104,0.9912035782912232,-0.17888711287927483,-0.0385025698810818,-0.021843254729680118,0.07155484515170993,0.3500222013558138,-0.1551948938253456,0.006305357118205807,-0.004800400949522103,-0.0700870060836658,0.3012067793181147,0.384124657767882,0.006586230957339439,0.15223408543707867,0.6513845214083711,0.9037631254303028,0.5409568335295795,0.28080301714005024,0.20103894738739891,0.07976406975265132,28.405702533056854,True,-0.18638365240481564,-0.028990023715805942,0.0829367354552619,-0.007496539525540802,0.009512546165275856,0.10477999018494201,0.0829367354552619,True,False,639
train,TRAIN_0001,1,4,10,1.0,0.3590809062917542,0.9292627876580346,0.10621831682454264,0.43003577017304984,0.4613721802496044,0.3590809062917542,0.10621831682454264,0.006085861238142151,0.3947823382902819,0.2825865933584422,-0.4264811571342103,-0.013387931472111503,0.22631993996078453,0.22631993996078453,0.823044470833492,0.26711564873404886,0.3717956607611797,0.26033403690357526,0.06798598265538963,0.29680055391679383,0.4015485792357735,0.10392286669142314,0.2553518706720205,0.7529567869745567,0.9292627876580346,0.4613721802496044,0.2642872400347546,0.21294660877197355,0.05134063126278107,19.426072653386374,True,-0.4217253180724954,-0.005557228533774856,0.16999776246894258,0.004755839061714895,0.007830702938336646,-0.05632217749184196,0.16999776246894258,True,False,711
train,TRAIN_0001,1,5,10,1.0,0.6701769062924946,1.0741857320442778,0.3213750717714883,0.7064855516516929,0.6903698681976476,0.6701769062924946,-0.3213750717714883,-0.018413434619295153,0.716770890204536,0.1477439423915931,-0.6297409667451528,0.005704378382447228,-0.13577782421022813,0.25189638669806114,1.047316193811304,0.4829465243657912,0.8312399494966267,0.8134494026462621,0.505858194211265,0.7444607328677506,0.937570323835873,0.402939954386528,0.3292625171824223,0.8456207343830012,0.7259411220398158,0.6903698681976476,0.3037566006292665,0.3462362354997908,-0.04247963487052431,-13.984761082565083,False,-0.4826365576688668,0.027619365682838293,-0.5425430403444511,0.14710440907628597,0.021914987300391063,-0.406765216134223,0.5425430403444511,True,False,1651
train,TRAIN_0001,1,6,10,1.0,0.42033824681125215,1.0275794615481075,1.124217588447946,0.5092915428224,0.8225697433244316,-0.3938722573490117,-1.124217588447946,-0.06441289593604621,0.4315537519361665,0.9012455336466086,0.3864757966338496,0.05403063810008452,0.02483620645404685,0.15459031865353984,0.4239897339377135,-0.12741453739135586,-0.006325356131988724,-0.11946329739461922,-0.4804082868430053,-0.47075693315165335,-0.3361934150253914,-0.7712666812745035,-0.8900079962852495,-0.5648150789532191,-0.7002278545102324,0.8225697433244316,0.18879081907772283,0.21593787100786582,-0.027147051930142996,-14.379434372265154,False,0.47428658700300275,0.05707289447445482,-0.22008043541631128,0.08781079036915312,0.0030422563743702988,-0.24491664187035814,0.22008043541631128,True,False,1147
train,TRAIN_0001,1,7,10,1.0,0.44636542802585,0.7652914546099351,0.6083295980294394,0.48426315448663565,0.5944222596482309,-0.37209105833914985,0.6083295980294394,0.03485471422047508,0.5013399727984038,0.7197160255754734,0.21894087382683466,-0.040388731995348835,0.5142553644915661,0.5142553644915661,-0.14073601915404466,-0.4591171257708965,-0.5420540514546733,-0.6148632032178902,-0.6616433915162412,-0.7652914546099351,-0.5125531997618757,-0.3412807261167714,-0.13736005237631635,0.17506900409640386,0.4675935788753947,0.5944222596482309,0.24274765371772558,0.1548482081893373,0.08789944552838827,36.21021426250341,True,0.13745326427434915,-0.03206217030816687,0.5763768116716688,-0.08148760955248552,0.008326561687181967,0.06212144718010271,0.5763768116716688,True,False,999
train,TRAIN_0001,1,8,10,1.0,0.5302941590765488,0.9015107669793607,0.0028905261823579664,0.5689535975065735,0.4873039954221376,0.5302941590765488,-0.0028905261823579664,-0.00016561495082071238,0.5234569043711944,0.15751330990536866,-0.46153748945452355,0.0018514815913347501,-0.23087459091410667,0.23087459091410667,0.8438975944227028,0.670220989324878,0.2540239394639698,0.2663532022351909,0.7982530488985464,0.672650307405185,0.44652345322851217,0.5153119585926923,0.5337754182014567,0.4218390969146112,0.8410070682403449,0.4873039954221376,0.21923784109808442,0.1841568406855461,0.03508100041253831,16.001343671708337,True,-0.40313023844683815,0.00015142280631859752,-0.21006607279098996,0.0584072510076854,-0.0017000587850161527,0.02080851812311671,0.21006607279098996,True,False,671
train,TRAIN_0001,1,9,10,1.0,0.5984477604517693,1.437531745038808,0.7572593353263292,0.7213874738303389,0.9101103996281057,0.597969297475542,-0.7572593353263292,-0.04338775561763243,0.7167645724363195,0.7689199079934935,-0.569892482596292,0.05196152084514212,-0.09427773603713606,0.2279569930385168,1.2564930714740659,1.297742917000837,0.46579116316490515,0.37253117482486614,1.0731201481552233,0.6415200474010586,0.17678715126770211,0.6161961612240703,0.5703522505863278,0.014383126596739817,0.4992337361477367,0.9101103996281057,0.4192198827093937,0.28846684410474455,0.13075303860464915,31.189608126313065,True,-0.4595675840305243,0.038855866548608876,-0.016863940866081877,0.11032489856576772,-0.013105654296533244,0.07741379517105418,0.1838270336122097,True,False,1087
train,TRAIN_0001,1,10,10,1.0,0.4434259262217724,1.3854398839726603,1.3326528792093906,0.5751350447257263,1.0059691112937195,-0.2995868916462773,1.3326528792093906,0.07635534033323949,0.38499194890215305,1.0807897760812537,0.31134813509777154,-0.06570557594822411,-0.03949249266190642,0.12453925403910862,-0.6263571189573695,-0.34034518637079947,-1.1166580137678601,-1.0282297391247568,0.004808838691933083,-0.2332139966680324,-0.5935528789641376,0.13201127169558552,0.3758168691467587,-0.06674465300095428,0.7062957602520212,1.0059691112937195,0.3611175619157041,0.338135985662845,0.022981576252859126,6.364015123203488,True,0.32086693878326095,-0.06835276124356038,0.021697031935822862,0.009518803685489408,-0.0026471852953362657,0.061189524597729285,0.12834677551330437,True,False,995
