iteration,current_score,best_score,method
1,4.72583163269591,4.72583163269591,random_search
2,4.6651577700368225,4.6651577700368225,random_search
3,12.630152384075691,4.6651577700368225,random_search
4,3.00837827477813,3.00837827477813,random_search
5,13.765162868418606,3.00837827477813,random_search
6,7.496420209250698,3.00837827477813,random_search
7,9.56126432430159,3.00837827477813,random_search
8,17.017459190790095,3.00837827477813,random_search
9,2.6669060789027945,2.6669060789027945,random_search
10,3.520085271880382,2.6669060789027945,random_search
11,16.826477362379926,2.6669060789027945,random_search
12,4.936973049050185,2.6669060789027945,random_search
13,5.122420896775593,2.6669060789027945,random_search
14,4.475705411465186,2.6669060789027945,random_search
15,2.5857346297730084,2.5857346297730084,random_search
16,3.796391535110925,2.5857346297730084,random_search
17,3.5502805289178,2.5857346297730084,random_search
18,12.804574796980182,2.5857346297730084,random_search
19,12.382057010012925,2.5857346297730084,random_search
20,3.5583169120191984,2.5857346297730084,random_search
21,5.271968615769976,2.5857346297730084,random_search
22,9.543399847632466,2.5857346297730084,random_search
23,2.345487580357401,2.345487580357401,random_search
24,2.5541143225433935,2.345487580357401,random_search
25,2.6587275873342264,2.345487580357401,random_search
26,2.3566316484564744,2.345487580357401,random_search
27,12.481799924561125,2.345487580357401,random_search
28,13.322369439087531,2.345487580357401,random_search
29,4.669786157186267,2.345487580357401,random_search
30,2.912378912419572,2.345487580357401,random_search
31,10.999884135692463,2.345487580357401,random_search
32,2.365921543105104,2.345487580357401,random_search
33,4.602393752890356,2.345487580357401,random_search
34,16.203216809687355,2.345487580357401,random_search
35,16.994529817815224,2.345487580357401,random_search
36,4.821425079288792,2.345487580357401,random_search
37,15.772448202582336,2.345487580357401,random_search
38,2.3686449843270343,2.345487580357401,random_search
39,14.605093618328105,2.345487580357401,random_search
40,4.496433388876285,2.345487580357401,random_search
41,9.974485946494672,2.345487580357401,random_search
42,5.603413576418651,2.345487580357401,random_search
43,3.568585703038602,2.345487580357401,random_search
44,2.8938364728312074,2.345487580357401,random_search
45,2.5806715489940792,2.345487580357401,random_search
46,16.920584108927933,2.345487580357401,random_search
47,4.656923857641643,2.345487580357401,random_search
48,16.457829596373685,2.345487580357401,random_search
49,2.117337975758459,2.117337975758459,random_search
50,4.443845253718311,2.117337975758459,random_search
51,15.578191670433252,2.117337975758459,random_search
52,4.17285153794974,2.117337975758459,random_search
53,9.964067912711577,2.117337975758459,random_search
54,4.307428942621172,2.117337975758459,random_search
55,5.609958535274112,2.117337975758459,random_search
56,13.903275678257444,2.117337975758459,random_search
57,16.545285188506007,2.117337975758459,random_search
58,2.001805891591788,2.001805891591788,random_search
59,5.626338715329759,2.001805891591788,random_search
60,15.668472515228979,2.001805891591788,random_search
61,15.666532747274909,2.001805891591788,random_search
62,12.368488228717153,2.001805891591788,random_search
63,4.572948832177296,2.001805891591788,random_search
64,16.419211535050795,2.001805891591788,random_search
65,13.923469872152443,2.001805891591788,random_search
66,8.301683194937278,2.001805891591788,random_search
67,2.4571788459557227,2.001805891591788,random_search
68,6.3653371993679055,2.001805891591788,random_search
69,3.043588507200409,2.001805891591788,random_search
70,3.7312084873419527,2.001805891591788,random_search
71,8.178571072790128,2.001805891591788,random_search
72,11.497142789105277,2.001805891591788,random_search
73,3.779100210564617,2.001805891591788,random_search
74,2.2868261430828944,2.001805891591788,random_search
75,16.634242953438935,2.001805891591788,random_search
76,5.629412460427406,2.001805891591788,random_search
77,4.2594888426574915,2.001805891591788,random_search
78,16.898569321428784,2.001805891591788,random_search
79,12.895296838112198,2.001805891591788,random_search
80,5.629591536449283,2.001805891591788,random_search
1,2.864359715589319,2.864359715589319,bayesian_optimization
2,4.6745633819599,2.864359715589319,bayesian_optimization
3,2.4643418228836893,2.4643418228836893,bayesian_optimization
4,5.502173422944877,2.4643418228836893,bayesian_optimization
5,5.69230805286752,2.4643418228836893,bayesian_optimization
6,8.859902729839261,2.4643418228836893,bayesian_optimization
7,6.654185291949586,2.4643418228836893,bayesian_optimization
8,17.176027075005205,2.4643418228836893,bayesian_optimization
9,9.244255871852856,2.4643418228836893,bayesian_optimization
10,5.246262300916511,2.4643418228836893,bayesian_optimization
11,2.8551322372672887,2.4643418228836893,bayesian_optimization
12,2.6901083950734694,2.4643418228836893,bayesian_optimization
