assembly_id,component_index,zero_quality,deterministic_uncorrected_quality,deterministic_quality,structured_quality,structured_advantage,structured_wins,state_l2_norm,bounded_residual_l2,bounded_residual_ratio,bounded_explained_energy,unbounded_residual_l2,unbounded_residual_ratio,unbounded_explained_energy,capability_residual_penalty,deterministic_z_adj,deterministic_theta_adj,deterministic_locator_offset,deterministic_utilization,least_squares_success,basis_residual_quartile
100001,1,0.027705836311958568,0.027705836311958568,0.03855485602153698,0.0277010497531896,0.01085380626834738,True,0.3501589202139733,0.3385545938694573,0.9668598294242371,0.06518207024573519,0.3385545938694573,0.9668598294242371,0.06518207024573519,0.0,-1.287300763231113e-19,0.0017481239141562792,-0.00012846836293050096,0.0014567699284635661,True,Q4_worst_basis_fit
100001,2,0.12363005484612404,0.10948026232018758,0.13650132394491998,0.10159373423819,0.03490758970672998,True,1.2514583343276762,1.1916468839322456,0.9522065986898691,0.09330259341147062,1.1916468839322456,0.9522065986898691,0.09330259341147062,0.0,0.012066795331417973,0.007238783256268703,-0.011844180232825515,0.011844180232825515,True,Q4_worst_basis_fit
100001,3,0.3465435732604848,0.3580066458387009,0.30808989151909966,0.3309599979772978,-0.022870106458198147,False,3.5060442080269616,2.568998846807974,0.7327342995066474,0.4631004463265027,2.568998846807974,0.7327342995066474,0.4631004463265027,0.0,-0.14190006859971352,0.0067599545224857486,-0.253944857325669,0.253944857325669,True,Q3
100001,4,0.4263375268795231,0.35434749051732845,0.3151158018139796,0.3199195471204686,-0.004803745306489027,False,2.8985846831754043,2.610032935157339,0.9004508132217285,0.18918833296832793,2.610032935157339,0.9004508132217285,0.18918833296832793,0.0,-0.10396273185572474,1.5902773407317584e-15,-0.065166843713859,0.065166843713859,True,Q4_worst_basis_fit
100001,5,0.46869754416773357,0.3692884866592701,0.3914315652655237,0.3398119891241024,0.05161957614142132,True,3.2691839214346556,3.264293585719161,0.9985041111687137,0.0029895399791769472,3.264293585719161,0.9985041111687137,0.0029895399791769472,0.0,-3.850670242702873e-17,0.003495376960007969,1.8018084853993477e-17,0.002912814133339974,True,Q4_worst_basis_fit
100002,1,0.46799643475892394,0.46799643475892394,2.8241406006276728e-05,4.975972214397733e-05,-2.1518316137700602e-05,False,3.507808630145223,0.00021582514762506511,6.152705873698988e-05,0.999999996214421,0.00021582514762506511,6.152705873698988e-05,0.999999996214421,0.0,0.2988750268812797,0.031932494322852535,0.03298246318038151,0.11955001075251188,True,Q1_best_basis_fit
100002,2,0.55758631055669,0.09071648879418884,2.824140600608331e-05,3.5348009997244766e-05,-7.106603991161457e-06,False,1.3021013744293957,0.00021582514762509555,0.00016575141679707852,0.9999999725264679,0.00021582514762509555,0.00016575141679707852,0.9999999725264679,0.0,0.1295639275182897,-3.1575777857863713e-17,-4.1081062927806196e-17,0.051825571007315885,True,Q1_best_basis_fit
100002,3,0.4195726965662235,0.16738951854423317,2.82414060060617e-05,2.9622444949604568e-05,-1.381038943542868e-06,False,0.8837498786434035,0.00021582514762509956,0.00024421519350746737,0.9999999403589392,0.00021582514762509956,0.00024421519350746737,0.9999999403589392,0.0,-2.6307534170097917e-19,-0.017281515440427796,-5.480641981914225e-17,0.014401262867023163,True,Q1_best_basis_fit
100002,4,0.4239709580572922,0.18292918551500154,0.1680311671005754,0.1780462019770173,-0.010015034876441897,False,1.9212796144537414,1.4006266834614167,0.7290072058874383,0.46854849376419017,1.4006266834614167,0.7290072058874383,0.46854849376419017,0.0,-0.07531431742269679,0.007812382705732941,-0.13478276495016078,0.13478276495016078,True,Q3
100002,5,0.4635510198011304,0.1700303225429842,0.203984941594216,0.2090657065341715,-0.00508076493995549,False,1.8571717977081743,1.689088022962288,0.9094947624375361,0.1728192770986896,1.689088022962288,0.9094947624375361,0.1728192770986896,0.0,-0.04264835947655496,0.008264977082047542,-0.06062645578323917,0.06062645578323917,True,Q4_worst_basis_fit
