assembly_id,zero_final_quality,deterministic_final_quality,structured_final_quality,structured_final_advantage,mean_bounded_residual_ratio,max_bounded_residual_ratio,mean_unbounded_residual_ratio
100001,0.46869754416773357,0.3914315652655237,0.3398119891241024,0.05161957614142132,0.9101511304022392,0.9985041111687137,0.9101511304022392
100002,0.4635510198011304,0.203984941594216,0.2090657065341715,-0.00508076493995549,0.3277946923988032,0.9094947624375361,0.3277946923988032
100003,0.4916328895506952,0.2115516085456289,0.2203657714941582,-0.008814162948529297,0.622354880588848,0.9687382011542927,0.622354880588848
100004,1.0842060442014714,0.011790403768495727,0.0113372373242603,0.0004531664442354276,0.10060126045802378,0.39162599573159745,0.10060126045802378
100005,0.6642064751889215,0.03586426963273527,0.16092821807686,-0.12506394844412472,0.4098850577444123,0.9971050807415587,0.4098850577444123
100006,0.8737619534818086,0.2288983082258148,0.281047868782925,-0.052149560557110175,0.4641066664967347,0.8453636715594278,0.4641066664967347
100007,0.22899600894528185,0.1790899815466004,0.1494604718638093,0.0296295096827911,0.4131213740320989,0.811868600241744,0.4131213740320989
100008,0.8062418738495909,0.19793625838050252,0.2543130560859588,-0.056376797705456255,0.4238856632265346,0.9559829068001832,0.4238856632265346
100009,0.6601391083490844,0.22866798897284132,0.179855197966761,0.048812791006080325,0.6738841749179967,0.9820896999816486,0.6738841749179967
100010,0.3657680375530181,0.19688884710657764,0.2781225731446263,-0.08123372603804865,0.6799269659081447,0.9624051140401813,0.6799269659081447
100011,0.335734328085826,0.11107662280048677,0.0858503490022155,0.025226273798271276,0.5941262966415122,0.9870923810565909,0.5941262966415122
100012,0.39232203756967876,0.2899658110917173,0.2783814258308629,0.011584385260854424,0.5522324295192023,0.9934561555239174,0.5522324295192023
100013,0.16604024071253398,0.033596410228260466,0.0866541918555078,-0.05305778162724733,0.5965110931719554,0.8633709730172798,0.5965110931719554
100014,0.4271643180003009,0.10231197378907499,0.1796789024586036,-0.07736692866952861,0.6227877033282571,0.9968555428354103,0.6227877033282571
100015,0.06438542880561367,0.0833430773641939,0.0615447942791199,0.021798283085073998,0.7548443447107823,0.9899340881231223,0.7548443447107823
100016,0.4071650229883021,0.4673416837445636,0.3964020808153755,0.0709396029291881,0.5319598401108593,0.9158464844932245,0.5319598401108593
100017,0.3116204018492063,0.14824231282689473,0.170398241583146,-0.022155928756251275,0.48416285438798995,0.9423767241759933,0.48416285438798995
100018,0.9454927829709754,0.2938660920090236,0.3035282557387521,-0.009662163729728501,0.7023293757691366,0.9942151095708225,0.7023293757691366
100019,0.5640808402962245,0.12016297025907471,0.1622896372649866,-0.04212666700591189,0.6386003309343982,0.9969284202425057,0.6386003309343982
100020,0.9707971254392219,0.17770911583544965,0.151342341141245,0.026366774694204648,0.13558952715453493,0.3846374531909034,0.13558952715453493
100021,0.9843378409587321,0.13686908391592045,0.1298305292830048,0.007038554632915667,0.5624433728953344,0.9999002761553754,0.5624433728953344
100022,0.28960345579979807,0.19231942413404635,0.2067098923679152,-0.014390468233868858,0.8353773330233686,0.9977787005407539,0.8353773330233686
100023,0.44971741031637164,0.06721951242110615,0.0717670005961089,-0.004547488175002751,0.516571916573967,0.9432756303131267,0.516571916573967
100024,0.4518401601118228,0.20596465112232773,0.2581004692392147,-0.05213581811688697,0.4952105271467337,0.9963490548186068,0.4952105271467337
100025,0.6572303151351303,0.25421403820380134,0.2273781976722506,0.026835840531550748,0.6714213231993085,0.9973586488273517,0.6714213231993085
100026,0.5446505226150772,0.12415876508209801,0.1686015025008398,-0.04444273741874179,0.41358223975718794,0.9957495160319468,0.41358223975718794
100027,0.3663623540527943,0.12121836989946135,0.1339019897560332,-0.012683619856571862,0.5554157562708182,0.907783830004929,0.5554157562708182
100028,0.4780277968696324,0.22158509334289406,0.2321732840849327,-0.01058819074203865,0.245265004411801,0.9431066976707437,0.245265004411801
100029,0.5155696035755715,0.16677074468333933,0.1801504114291368,-0.013379666745797464,0.6980674621943951,0.9999996987659104,0.6980674621943951
100030,1.3655728409158183,0.13941562833646803,0.1576998553183108,-0.01828422698184276,0.3321782462013079,0.8924376559631803,0.3321782462013079
100031,0.2082115813512549,0.19375830469951308,0.2149287379152025,-0.021170433215689427,0.49954360308372914,0.8566794981581577,0.49954360308372914
100032,0.5173858454002654,0.08185321273027851,0.1085964750010016,-0.026743262270723087,0.5009783130123854,0.9023080778698747,0.5009783130123854
