sequence_length,assembly_index,component_index,lsq_quality,hybrid_quality,hybrid_minus_lsq
5,1,1,0.09348351729512311,0.08666548856673267,-0.006818028728390435
5,1,2,0.2048918495140332,0.18438613443820245,-0.02050571507583074
5,1,3,0.2400715535209691,0.21367697205403258,-0.026394581466936518
5,1,4,0.33072784585661114,0.2741976764797349,-0.056530169376876216
5,1,5,0.4852648865468656,0.41301773250655516,-0.07224715404031046
5,2,1,0.17374047654295482,0.14900710875860607,-0.02473336778434876
5,2,2,0.36566340267102554,0.3421417366379512,-0.023521666033074318
5,2,3,0.361351910247568,0.3313385373137643,-0.03001337293380374
5,2,4,0.3374779950465258,0.33375241915504195,-0.0037255758914838677
5,2,5,0.2851003298384685,0.264230132119511,-0.020870197718957484
5,3,1,0.15455478510408516,0.10320926744585107,-0.051345517658234086
5,3,2,0.20589824028963333,0.1814531727272628,-0.024445067562370526
5,3,3,0.39184003401227885,0.2947001139453797,-0.09713992006689914
5,3,4,0.5074853435117148,0.397864075576106,-0.10962126793560883
5,3,5,0.4896655821029571,0.4257302534249132,-0.06393532867804386
5,4,1,0.10010839776548312,0.08184822981587818,-0.018260167949604944
5,4,2,0.09632814677533763,0.10450659381320898,0.00817844703787135
5,4,3,0.10433817524601158,0.10671331262875111,0.002375137382739534
5,4,4,0.14977325418517365,0.13387047931344076,-0.01590277487173289
5,4,5,0.05463167782264721,0.04851599930570763,-0.006115678516939581
5,5,1,0.1578505601140353,0.11237473245452619,-0.045475827659509124
5,5,2,0.15095462971898263,0.12806878012355113,-0.022885849595431496
5,5,3,0.10167023332713973,0.07166690674149614,-0.030003326585643586
5,5,4,0.11966797876581275,0.09726412337270057,-0.022403855393112182
5,5,5,0.1078257488530521,0.09827810096483611,-0.009547647888215993
5,6,1,0.11007158894164137,0.08986878563499046,-0.02020280330665092
5,6,2,0.31221584244609535,0.25745862839700007,-0.05475721404909528
5,6,3,0.37276568536477134,0.34957876194227566,-0.023186923422495676
5,6,4,0.5077665484325499,0.42597848192971777,-0.0817880665028321
5,6,5,0.33134684798337444,0.29339960474839966,-0.03794724323497478
5,7,1,0.0967055560116527,0.09069944164869671,-0.0060061143629559915
5,7,2,0.08913293790572069,0.08136642550339027,-0.007766512402330422
5,7,3,0.21833016456250012,0.12089751313294357,-0.09743265142955655
5,7,4,0.3585071226514114,0.28956707513948293,-0.06894004751192845
5,7,5,0.5794796350867996,0.41954747453946395,-0.1599321605473356
5,8,1,0.11484888159166014,0.049195501489515694,-0.06565338010214444
5,8,2,0.210015645314917,0.1733020877384683,-0.0367135575764487
5,8,3,0.09521878266084159,0.0910712596110917,-0.004147523049749885
5,8,4,0.13594425041346067,0.07673733334113235,-0.05920691707232832
5,8,5,0.3090285296620045,0.22656577940076172,-0.08246275026124278
5,9,1,0.18051288580839475,0.15726354171769913,-0.023249344090695623
5,9,2,0.2301509568207047,0.1842072310461053,-0.045943725774599375
5,9,3,0.3319581044847304,0.2484894771133921,-0.08346862737133831
5,9,4,0.2405689922476148,0.23983645967807019,-0.0007325325695446139
5,9,5,0.19820622127764392,0.18704936640734207,-0.011156854870301852
5,10,1,0.20887990368155876,0.19621552328958078,-0.01266438039197798
5,10,2,0.0848819474894241,0.0848782098728131,-3.737616611002026e-06
5,10,3,0.15546695711214994,0.13682958832910222,-0.018637368783047725
5,10,4,0.3557225787795811,0.26465796884368176,-0.09106460993589932
5,10,5,0.2513226672372483,0.23779582769918167,-0.013526839538066604
5,11,1,0.17603494540692388,0.09019699971382938,-0.0858379456930945
5,11,2,0.2730973508457769,0.19180470947906014,-0.08129264136671677
5,11,3,0.3295461376143566,0.3350607798253016,0.005514642210944998
5,11,4,0.6463806169738195,0.531979728592065,-0.11440088838175455
5,11,5,0.7431938303783328,0.6084512958842546,-0.13474253449407814
5,12,1,0.18616398717725835,0.17894765405831706,-0.007216333118941293
5,12,2,0.48730206989965863,0.3737746752431669,-0.11352739465649175
5,12,3,0.4532692253597133,0.41561342961355946,-0.03765579574615385
5,12,4,0.5340182964773682,0.4175976223255874,-0.11642067415178081
5,12,5,0.24823897880018472,0.23447651215106188,-0.01376246664912284
5,13,1,0.18417550783941913,0.1627454152828609,-0.021430092556558228
5,13,2,0.2334280913794796,0.1789392767020209,-0.0544888146774587
5,13,3,0.2889534440504977,0.2969056422418773,0.0079521981913796
5,13,4,0.20237138749924938,0.18644789229243924,-0.015923495206810134
5,13,5,0.4520229140597001,0.34313928043179015,-0.10888363362790993
5,14,1,0.16595987842759477,0.12887547940864974,-0.03708439901894503
5,14,2,0.06925998583209063,0.061778282768678895,-0.0074817030634117335
5,14,3,0.21003537897999258,0.17073275038761762,-0.03930262859237496
5,14,4,0.3497495776826624,0.33854600260449536,-0.01120357507816705
5,14,5,0.3903323480072445,0.3413026805287892,-0.049029667478455274
5,15,1,0.24831716843887852,0.19288204687520877,-0.055435121563669754
5,15,2,0.09108262022500034,0.06446800727450393,-0.026614612950496414
5,15,3,0.15954671903461562,0.08431719695579933,-0.0752295220788163
5,15,4,0.11065135842049628,0.07860484090709392,-0.03204651751340236
5,15,5,0.1887186730624751,0.13092919248620558,-0.057789480576269536
5,16,1,0.2464675590721405,0.19007532067317565,-0.056392238398964845
5,16,2,0.21919530900312997,0.18113718657859168,-0.03805812242453829
5,16,3,0.1671188774133663,0.15966275735869928,-0.007456120054667031
5,16,4,0.07111792832597863,0.07713418353755166,0.006016255211573035
5,16,5,0.17207966457743937,0.1593714288219649,-0.012708235755474473
5,17,1,0.11083389091327751,0.04626032738516009,-0.06457356352811743
5,17,2,0.15324507073116134,0.14766167748242448,-0.0055833932487368565
5,17,3,0.26786814335622716,0.18381283871547718,-0.08405530464074998
5,17,4,0.18784070202122038,0.17545459616738693,-0.012386105853833457
5,17,5,0.4375933002273187,0.3822864835236458,-0.05530681670367288
5,18,1,0.08426353000549541,0.07275220806102516,-0.011511321944470257
5,18,2,0.26673662846899693,0.22710429019032075,-0.03963233827867618
5,18,3,0.160214939209173,0.10044836982600179,-0.05976656938317122
5,18,4,0.30094695971230234,0.2561933084629733,-0.04475365124932906
5,18,5,0.5373118018284666,0.44998862017723784,-0.08732318165122877
5,19,1,0.21827799979274048,0.18954723819575792,-0.028730761596982568
5,19,2,0.4258301751014403,0.3418838450515901,-0.08394633004985019
5,19,3,0.569854273126126,0.4634280572681968,-0.10642621585792922
5,19,4,0.6299422488714856,0.5452429185108374,-0.08469933036064825
5,19,5,0.838759664880843,0.6761851613411274,-0.1625745035397156
5,20,1,0.08541721002634196,0.053112828532870394,-0.03230438149347157
5,20,2,0.15122348750123982,0.10208963095041053,-0.04913385655082929
5,20,3,0.1997207271129402,0.144681768447022,-0.05503895866591821
5,20,4,0.17768913255886146,0.16365794049871152,-0.014031192060149938
