sequence_length,assembly_index,zero_final_quality,lsq_final_quality,hybrid_final_quality,hybrid_minus_lsq,hybrid_beats_lsq
5,1,0.872397276597944,0.4852648865468656,0.41301773250655516,-0.07224715404031046,True
5,2,2.094164675389184,0.2851003298384685,0.264230132119511,-0.020870197718957484,True
5,3,1.4730968986785389,0.4896655821029571,0.4257302534249132,-0.06393532867804386,True
5,4,2.0803258435112966,0.05463167782264721,0.04851599930570763,-0.006115678516939581,True
5,5,0.777157933798494,0.1078257488530521,0.09827810096483611,-0.009547647888215993,True
5,6,0.9881902593673653,0.33134684798337444,0.29339960474839966,-0.03794724323497478,True
5,7,1.9310557223859728,0.5794796350867996,0.41954747453946395,-0.1599321605473356,True
5,8,3.186485107944068,0.3090285296620045,0.22656577940076172,-0.08246275026124278,True
5,9,0.9546580282411159,0.19820622127764392,0.18704936640734207,-0.011156854870301852,True
5,10,1.716910725320718,0.2513226672372483,0.23779582769918167,-0.013526839538066604,True
5,11,3.248123333405356,0.7431938303783328,0.6084512958842546,-0.13474253449407814,True
5,12,1.3826663438905056,0.24823897880018472,0.23447651215106188,-0.01376246664912284,True
5,13,0.7228596481622107,0.4520229140597001,0.34313928043179015,-0.10888363362790993,True
5,14,1.25010467785326,0.3903323480072445,0.3413026805287892,-0.049029667478455274,True
5,15,1.4849474445985358,0.1887186730624751,0.13092919248620558,-0.057789480576269536,True
5,16,1.2551962887024166,0.17207966457743937,0.1593714288219649,-0.012708235755474473,True
5,17,2.426900102573236,0.4375933002273187,0.3822864835236458,-0.05530681670367288,True
5,18,0.9252422092564601,0.5373118018284666,0.44998862017723784,-0.08732318165122877,True
5,19,0.8492781726223009,0.838759664880843,0.6761851613411274,-0.1625745035397156,True
5,20,1.4153561286769476,0.23457497179808715,0.1760974628851631,-0.05847750891292405,True
5,21,2.509191680183045,0.33979478518055267,0.2802249163747615,-0.05956986880579118,True
5,22,0.9098028954380623,0.1575411229066297,0.0818156687775381,-0.0757254541290916,True
5,23,0.6269411382387098,0.2610516044368644,0.1639284606324126,-0.09712314380445183,True
5,24,1.4698450520253272,0.24457816692534204,0.16593300132220395,-0.07864516560313808,True
5,25,0.6327069649176613,0.324698752153635,0.2813734391309033,-0.04332531302273168,True
5,26,1.042444798009588,0.12564530163081583,0.09447692753028958,-0.031168374100526253,True
5,27,2.404277797971235,0.2856474911617944,0.23469113798217314,-0.050956353179621244,True
5,28,0.8714421264342697,0.16592864596297704,0.16039931805390717,-0.0055293279090698755,True
5,29,0.5644030598940828,0.21794486143292438,0.1622117754420678,-0.05573308599085658,True
5,30,0.4828143535551348,0.2162190114261252,0.18922706122090013,-0.026991950205225074,True
5,31,1.1804987649128473,0.6754306531838217,0.559041687160624,-0.1163889660231977,True
5,32,0.4834548655518429,0.26571731216255134,0.2646196980577405,-0.0010976141048108512,True
5,33,2.079577846834867,0.25600667276032296,0.19317432021353337,-0.0628323525467896,True
5,34,0.5398917394016747,0.34460364788453457,0.31902049813310146,-0.02558314975143311,True
5,35,1.4131593111720773,0.16771286058994508,0.1358966236427889,-0.031816236947156185,True
5,36,2.320849131713043,0.08163911596281558,0.07440035859520917,-0.007238757367606402,True
5,37,0.9057754222568148,0.2178155299183413,0.1548148648210641,-0.0630006650972772,True
5,38,1.4950147892634265,0.7913453887362516,0.6355401758882333,-0.1558052128480183,True
5,39,0.9036638398877006,0.40021363742420446,0.3447845600332848,-0.05542907739091968,True
5,40,0.5877263417443057,0.394791901988728,0.31027192393159975,-0.08451997805712824,True
