assembly_index,component_index,nonlinearity_strength,zero_quality,lsq_quality,z_adj_mm,theta_adj_deg,locator_offset_mm,solver_success,sequence_length
1,1,0.0,0.8654161262785269,0.2069509213783696,-0.29785848979363605,-0.06522201062562237,0.10789299033786028,True,5
1,2,0.0,1.0164629900477877,0.05215997007210366,-0.3007563225001181,-0.006388988470963095,-0.2022445262592262,True,5
1,3,0.0,0.8979012580214673,0.1327527062199386,-0.4110372430027013,0.09395469057620337,0.2656241104725405,True,5
1,4,0.0,1.4226808918419078,0.26513775076734913,-0.6086931753843806,0.007379036039888453,-0.31247724662845955,True,5
1,5,0.0,1.6155620654819145,0.13161653928804232,0.0427439034140467,-0.09288924045874936,0.09590258146788182,True,5
2,1,0.0,0.8695458100711937,0.1421411945155114,0.27797777461547984,0.08134505795795353,-0.2699777555819932,True,5
2,2,0.0,0.1296124936196549,0.04776720121072375,-0.2821500914225295,-0.09146510030848058,0.17903496904086272,True,5
2,3,0.0,0.7522917141636755,0.053796592833921075,0.1642414897384892,0.08064254223996281,-0.4086780804036716,True,5
2,4,0.0,0.48078550601271935,0.06686604116264104,-0.11391909383782003,-0.043238492481336904,-0.19410456552862862,True,5
2,5,0.0,0.9989476143983692,0.16396834103254815,0.19036877488376922,0.05339878839488376,-0.33899120828300866,True,5
3,1,0.0,0.7416441128963147,0.20521609263366342,0.665201825734968,0.019886069317990526,0.38657929759222653,True,5
3,2,0.0,1.4886050988063624,0.17178174159406423,0.1522611887694378,0.09494045074749004,-0.028393885860433593,True,5
3,3,0.0,2.2606093455455096,0.1651559455607878,0.5093903219299484,0.056580735624255404,-0.28782982043479516,True,5
3,4,0.0,1.8736957769136704,0.12982221531567273,-0.5958368251430158,-0.003926531325253109,0.032268121107576014,True,5
3,5,0.0,1.368388551486753,0.20952880605466823,0.07016189580230636,-0.06736694598076433,0.2705521934575656,True,5
4,1,0.0,0.1187895914111029,0.11097552548875092,0.04849283081332337,-0.0016475016784591155,0.012131453026518139,True,5
4,2,0.0,0.915443773632058,0.0624915771104163,-0.32211122906090944,-0.07986769533126002,-0.23708919095327305,True,5
4,3,0.0,0.8383727389984963,0.07575964719007401,0.21341369170996555,-0.0007842910806105627,-0.20479234717020203,True,5
4,4,0.0,1.5003524097809182,0.19439534565363925,-0.6972675194735847,-0.01859310394968017,-0.5282922998332844,True,5
4,5,0.0,0.926680773690706,0.13048107050002594,-0.1022865468140903,0.08598112378887715,0.5244139797279525,True,5
5,1,0.0,0.5970012761726955,0.15780546416090402,0.3428805357333997,0.04441430297747818,-0.4576315430330493,True,5
5,2,0.0,0.6376034314632264,0.13547142390017738,-0.41792995141554257,-0.0038299726382838508,-0.313287456151158,True,5
5,3,0.0,0.8223450623615972,0.25921488582526725,0.17374301834299274,0.02106652887300153,-0.2984903781244639,True,5
5,4,0.0,1.0418808454538593,0.1752739383673967,0.4308591868691806,0.01928337008064827,0.2505461427385448,True,5
5,5,0.0,0.8623929212203131,0.11723995499296264,0.05097396493582953,-0.02718158580747414,0.42973935123163104,True,5
6,1,0.0,0.7193983162473792,0.225425842963328,-0.5699584828734581,-0.012472956261124666,-0.3254855043159555,True,5
6,2,0.0,1.2009483224187605,0.356484632937126,-0.1882750510946406,-0.045200661804468516,0.10947479433410796,True,5
6,3,0.0,0.8800056088039345,0.4074270157961143,0.010467295729812195,0.08692020317013752,-0.18970898354327193,True,5
6,4,0.0,0.9316439362661908,0.19162570455726094,0.3028404739259415,0.04451425375476994,0.2672397171656528,True,5
6,5,0.0,0.9812027761442903,0.42913659031753976,0.024935858762456603,0.0025138573849224394,0.00311212016705932,True,5
7,1,0.0,0.2312216676066509,0.09131072045385767,0.1091910527637922,-0.014286911675893127,-0.28908045990640674,True,5
7,2,0.0,1.079916855534228,0.07947112116485261,-0.24735705204816558,-0.09082683806120055,-0.015000025243234643,True,5
7,3,0.0,0.9188128283666286,0.0872348187669756,0.4719155111347853,0.02143108777175294,0.3615066995812967,True,5
7,4,0.0,0.4589525766273429,0.07187368527044927,-0.18584377100834648,0.04000942061009901,-0.12468071687382937,True,5
7,5,0.0,0.5997890062145773,0.06904715735205828,0.019152219143001487,0.0971050446948594,0.2528388966330385,True,5
8,1,0.0,0.8306755743220215,0.17375601109241895,-0.17385076367284227,0.07775475961590804,-0.4794585970750615,True,5
8,2,0.0,0.9158635566007364,0.06702216260763817,0.22938504255726913,0.017302607336620823,0.2630325653586857,True,5
8,3,0.0,1.2043156678815665,0.3116078113612981,0.03869074714720255,0.030573996279315077,0.10277894653416345,True,5
8,4,0.0,2.1329355632940494,0.25228535706156147,-0.4510528542538333,0.08176817080626775,0.11046457205662016,True,5
