sequence_length,nonlinearity_strength,baseline_linear_lsq_quality,current_lsq_quality,relative_lsq_degradation_percent
5,0.0,0.2829141850116693,0.2829141850116693,0.0
5,0.25,0.2829141850116693,0.2846144368926296,0.600977954106529
5,0.5,0.2829141850116693,0.2876453648762249,1.672302102618298
5,0.75,0.2829141850116693,0.29206525205779893,3.2345734257729637
5,1.0,0.2829141850116693,0.297833261708203,5.27335760697836
10,0.0,0.39523742227219383,0.39523742227219383,0.0
10,0.25,0.39523742227219383,0.3965795837218336,0.3395835955825693
10,0.5,0.39523742227219383,0.39919068439694116,1.0002246502925491
10,0.75,0.39523742227219383,0.4027509227453267,1.9010093806245003
10,1.0,0.39523742227219383,0.40743030814412445,3.0849522805392593
