sequence_length,nonlinearity_strength,assemblies,mean_zero_quality,mean_lsq_quality,median_lsq_quality,p95_lsq_quality,mean_lsq_improvement_percent,lsq_beats_zero_percent
5,0.0,150,1.5941297614079952,0.2829141850116693,0.23973876739564798,0.5545165703820424,77.8488008881828,99.33333333333333
5,0.25,150,1.5941297614079952,0.2846144368926296,0.24508650115695188,0.550862481924131,77.7486431310703,99.33333333333333
5,0.5,150,1.5941297614079952,0.2876453648762249,0.249480114512986,0.5619672644735015,77.49192356412678,99.33333333333333
5,0.75,150,1.5941297614079952,0.29206525205779893,0.2529669955996606,0.5699660985576901,77.05068934216004,99.33333333333333
5,1.0,150,1.5941297614079952,0.297833261708203,0.2594386379321234,0.5706428672954534,76.47846534718639,99.33333333333333
10,0.0,150,2.1076334730346518,0.39523742227219383,0.36730189483298126,0.7414430274398256,76.09806377554615,99.33333333333333
10,0.25,150,2.1076334730346518,0.3965795837218336,0.36312979716784854,0.7574478463838927,76.0187377431632,99.33333333333333
10,0.5,150,2.1076334730346518,0.39919068439694116,0.3732396743450149,0.7764527604820638,75.8789717461109,99.33333333333333
10,0.75,150,2.1076334730346518,0.4027509227453267,0.3697721087998767,0.7926683370366157,75.69355233737872,99.33333333333333
10,1.0,150,2.1076334730346518,0.40743030814412445,0.3762574152753042,0.7982190744571297,75.43310083971038,99.33333333333333
