assembly_index,nonlinearity_strength,zero_final_quality,lsq_final_quality,lsq_improvement_percent,lsq_beats_zero,sequence_length
1,0.0,1.6155620654819145,0.13161653928804232,91.85320439863251,True,5
2,0.0,0.9989476143983692,0.16396834103254815,83.58589192574422,True,5
3,0.0,1.368388551486753,0.20952880605466823,84.68791588273554,True,5
4,0.0,0.926680773690706,0.13048107050002594,85.91952329167714,True,5
5,0.0,0.8623929212203131,0.11723995499296264,86.40527396409232,True,5
6,0.0,0.9812027761442903,0.42913659031753976,56.26422990731192,True,5
7,0.0,0.5997890062145773,0.06904715735205828,88.48809220631891,True,5
8,0.0,2.217286551940508,0.2613476006766365,88.21317883121998,True,5
9,0.0,2.664022172790105,0.3974471581234437,85.08093655590012,True,5
10,0.0,2.738189061420247,0.3516214303686904,87.15861386918581,True,5
11,0.0,0.8815952645656071,0.2158929388181689,75.51110498256283,True,5
12,0.0,1.820578553798085,0.3973659409539116,78.17364484905482,True,5
13,0.0,2.873348663221216,0.11627816229822455,95.9532177982233,True,5
14,0.0,1.8466715530241218,0.1607172309984673,91.29692387716291,True,5
15,0.0,0.6127706216807108,0.351028511760929,42.714533082848206,True,5
16,0.0,2.5447963620398433,0.5504846369323779,78.36822446212852,True,5
17,0.0,1.176584490424398,0.4298156299471777,63.469208251067315,True,5
18,0.0,2.380122395647919,0.4306031473388194,81.90836117814015,True,5
19,0.0,2.1032599338816875,0.4549569951313376,78.36896011746451,True,5
20,0.0,1.2712598361868024,0.23072458553897396,81.85071383746048,True,5
21,0.0,1.7820554203929846,0.17837980960225497,89.99022097960801,True,5
22,0.0,1.2605341083754042,0.45595102908284524,63.82874322453028,True,5
23,0.0,0.7989919909831531,0.365756386672188,54.222771842540276,True,5
24,0.0,1.053927929405775,0.14980307526400383,85.78621259724413,True,5
25,0.0,2.3488093800901306,0.29521951337934965,87.43109952294122,True,5
26,0.0,1.8297675947525618,0.33341632470286997,81.77821458533603,True,5
27,0.0,1.0848418893910023,0.15916362166499365,85.32840377740729,True,5
28,0.0,2.6923528111605233,0.5085050796935237,81.11298498526516,True,5
29,0.0,1.1347668081798,0.5431362827158553,52.13674925978296,True,5
30,0.0,1.538800037734795,0.2105892206189085,86.3147117588515,True,5
31,0.0,0.9446979888117288,0.3908994505414473,58.62175476491348,True,5
32,0.0,1.9356279022057263,0.09590794343119999,95.04512497872608,True,5
33,0.0,2.2402829562161837,0.3079237736692241,86.25513920842819,True,5
34,0.0,0.7442225272495094,0.4382281563552678,41.1159780429024,True,5
35,0.0,1.0053518342352317,0.14297513510716658,85.77859708030199,True,5
36,0.0,1.0783828068556414,0.16974206288965646,84.25957259235318,True,5
37,0.0,0.8494808743701147,0.5262777727432609,38.047131063016224,True,5
38,0.0,0.8944062328161279,0.15381882242775918,82.80212986179164,True,5
39,0.0,0.7056637729307728,0.12157237643219349,82.77191190823395,True,5
40,0.0,2.898456866240764,0.48879799295487664,83.13592316490681,True,5
41,0.0,2.4928804346602886,0.10951325557504751,95.6069591604793,True,5
42,0.0,1.271260517878723,0.1673083623626994,86.83917576218941,True,5
43,0.0,2.754480490816126,0.05314902224557627,98.07045203540982,True,5
44,0.0,2.9947992423768874,0.8470017152348414,71.71757948747843,True,5
45,0.0,1.9187333213626385,0.2525125656929864,86.8396215940182,True,5
46,0.0,2.30175934946019,0.31214268328400097,86.43895230154251,True,5
47,0.0,3.067166025319862,0.33353876420014844,89.12550669097331,True,5
48,0.0,1.5647994279234512,0.25264034943061575,83.85477749273726,True,5
49,0.0,1.3100332298872566,0.14092087579767232,89.24295410355353,True,5
50,0.0,1.2484407502482293,0.1680729674948834,86.53736931756953,True,5
51,0.0,1.3209771518861586,0.19451312568803722,85.2750575276566,True,5
52,0.0,1.5387889252023161,0.2759121266601585,82.06952739643079,True,5
53,0.0,1.3199945501194525,0.26953630896685343,79.58049834808318,True,5
54,0.0,1.3179541734287847,0.2881839112729923,78.13399607641485,True,5
55,0.0,1.8141265881846922,0.07949695075004504,95.61789396242776,True,5
56,0.0,0.9599982277117283,0.16263625250644337,83.05869242132806,True,5
57,0.0,2.2711293724386366,0.27481877561934565,87.89946627636374,True,5
58,0.0,2.340630667422512,0.5578154250226772,76.16815703619999,True,5
59,0.0,0.29661207968323755,0.1613341402165244,45.607697303218806,True,5
60,0.0,1.1778648857038152,0.2917695490482054,75.2289458163223,True,5
61,0.0,1.4850951088647755,0.5783922169072064,61.05352354507878,True,5
62,0.0,0.9175537778242256,0.1573110654984916,82.8553846869314,True,5
63,0.0,3.638461591981208,0.16319536117532218,95.51471529794384,True,5
64,0.0,1.0458400201126352,0.17450900991699736,83.3139862157691,True,5
65,0.0,1.884253046203329,0.3093476167730131,83.58248020899676,True,5
66,0.0,0.6653818879961019,0.1709419010880391,74.30920435738695,True,5
67,0.0,1.1547710716131672,0.1990189550196618,82.76550565631673,True,5
68,0.0,0.4463806198436404,0.11349971199196494,74.57333339612235,True,5
69,0.0,0.2673908759259186,0.11323109822368665,57.65334257139811,True,5
70,0.0,3.6223743004848883,0.24122597075329222,93.34066690123653,True,5
71,0.0,2.0948043556267715,0.31987631977736364,84.73001457543486,True,5
72,0.0,0.25923195678493094,0.1842064446268464,28.941459644317177,True,5
73,0.0,0.9756931961255049,0.2000047471729994,79.50126659002832,True,5
74,0.0,0.6253581349929025,0.16017855184708207,74.38610887361367,True,5
75,0.0,2.1196300665041017,0.1372070022750108,93.52684204459764,True,5
76,0.0,2.902687869025392,0.29191604365481977,89.94325064124673,True,5
77,0.0,3.008894186973267,0.18637893514631132,93.80573315096217,True,5
78,0.0,3.219451643154607,0.13716871848571943,95.73937633828494,True,5
79,0.0,3.2367899909360554,0.15166105543676914,95.314461059832,True,5
80,0.0,1.3454596876528822,0.6788497624197077,49.545142924055746,True,5
81,0.0,1.627575502906477,0.34186590776187636,78.99538871460142,True,5
82,0.0,2.325246207126198,0.39495819417027045,83.01434949297673,True,5
83,0.0,1.3855407541732971,0.8179565708720714,40.96481331145564,True,5
84,0.0,1.5461693580074072,0.31742593002417263,79.47017069118169,True,5
85,0.0,1.9835039232023415,0.1158595251852879,94.15884567557426,True,5
