budget,maxiter,popsize,decisions,mean_evaluations_per_decision,formal_success_percent,runtime_seconds,mean_final_quality,median_final_quality,p95_final_quality
LOW_8x5,8,5,300,743.28,0.0,28.521082878112793,0.31563384967762864,0.30434119517423447,0.5204567610451875
MEDIUM_18x7,18,7,300,796.3466666666667,0.0,28.97089195251465,0.2922563068347237,0.2805221011063841,0.5004621802024861
HIGH_30x10,30,10,300,1174.28,0.3333333333333333,40.983715295791626,0.29100408574102354,0.2799810634362062,0.49931261348256023
