method,z_adj,theta_adj,locator_offset,predicted_quality_score,improvement_percent_vs_fixed,test_case_id,dev_offset,dev_tilt,dev_bend,dev_waviness,dev_noise
fixed_setting,0.0,0.0,0.0,8.79057758655429,0.0,0,0.7294074529925738,-0.8923579623955546,-0.8389203816821659,0.14749744855893576,0.02638588516275455
random_search,-2.0180451892325033,0.9662457517052199,-0.08844742033277786,1.4485874189157517,83.5211349350758,0,0.7294074529925738,-0.8923579623955546,-0.8389203816821659,0.14749744855893576,0.02638588516275455
bayesian_optimization,-2.4666513270133907,0.9754616918911212,-0.8505675929612224,1.4081651810537388,83.9809709067626,0,0.7294074529925738,-0.8923579623955546,-0.8389203816821659,0.14749744855893576,0.02638588516275455
fixed_setting,0.0,0.0,0.0,8.948684655583147,0.0,1,1.2483780266230946,0.8466899960541128,-0.6702768066086813,0.6558036492744017,0.1334839039666779
random_search,0.9124775198748774,-0.8645940393376564,-0.6001835950497834,2.190027948544918,75.52681726047254,1,1.2483780266230946,0.8466899960541128,-0.6702768066086813,0.6558036492744017,0.1334839039666779
bayesian_optimization,1.8238228374411563,-0.8623017353461451,-1.0,2.094356021592273,76.59593446188106,1,1.2483780266230946,0.8466899960541128,-0.6702768066086813,0.6558036492744017,0.1334839039666779
fixed_setting,0.0,0.0,0.0,5.226809447692969,0.0,2,0.05188182091812754,-0.510070797862407,0.9727247882922341,0.1710103707000764,0.11122005783520644
random_search,-0.9203547408460349,0.6528298370663712,0.32332252633552216,2.069046338709824,60.414735616140206,2,0.05188182091812754,-0.510070797862407,0.9727247882922341,0.1710103707000764,0.11122005783520644
bayesian_optimization,-0.12066277723262475,0.5936039757748279,-1.0,2.040449879238159,60.96184680811769,2,0.05188182091812754,-0.510070797862407,0.9727247882922341,0.1710103707000764,0.11122005783520644
fixed_setting,0.0,0.0,0.0,9.006372793993592,0.0,3,0.5197608183587232,0.8548145170503341,-0.8042754341807435,0.6393001028960663,0.07772475552790713
random_search,0.9124775198748774,-0.8645940393376564,-0.6001835950497834,2.0230287983023394,77.53780745505549,3,0.5197608183587232,0.8548145170503341,-0.8042754341807435,0.6393001028960663,0.07772475552790713
bayesian_optimization,2.5,-0.8575525874276813,-1.0,1.9479733898112588,78.37116634667427,3,0.5197608183587232,0.8548145170503341,-0.8042754341807435,0.6393001028960663,0.07772475552790713
fixed_setting,0.0,0.0,0.0,7.369690553507557,0.0,4,-1.07377750073173,-0.6681920135185109,-0.00663309450661842,0.466179712492256,0.027650698114271958
random_search,0.2851607617063916,0.6813557018553924,0.3286270806547751,1.456903070822592,80.23115000223193,4,-1.07377750073173,-0.6681920135185109,-0.00663309450661842,0.466179712492256,0.027650698114271958
bayesian_optimization,-0.27931054579578163,0.6743833969728397,1.0,1.4324386103186029,80.56311048722606,4,-1.07377750073173,-0.6681920135185109,-0.00663309450661842,0.466179712492256,0.027650698114271958
fixed_setting,0.0,0.0,0.0,2.3705494612263123,0.0,5,-1.940420332959071,-0.05773354221907834,0.6847299845497847,0.7348803934188347,0.0938301008603196
random_search,-1.3638063910761156,0.1310034888380036,-0.8723654877916494,2.1526505577891726,9.191915503185413,5,-1.940420332959071,-0.05773354221907834,0.6847299845497847,0.7348803934188347,0.0938301008603196
bayesian_optimization,0.17953908549742525,0.11703970297538158,-1.0,1.946238475765342,17.899267338698323,5,-1.940420332959071,-0.05773354221907834,0.6847299845497847,0.7348803934188347,0.0938301008603196
fixed_setting,0.0,0.0,0.0,7.6671709198754785,0.0,6,1.6684902901904093,0.7293805021875497,-0.8455713802500362,0.6929019445905944,0.10961279045568807
random_search,0.9124775198748774,-0.8645940393376564,-0.6001835950497834,2.538768558751707,66.88780535502998,6,1.6684902901904093,0.7293805021875497,-0.8455713802500362,0.6929019445905944,0.10961279045568807
bayesian_optimization,2.5,-0.8682062034593223,-1.0,2.51730850322113,67.16770071349846,6,1.6684902901904093,0.7293805021875497,-0.8455713802500362,0.6929019445905944,0.10961279045568807
fixed_setting,0.0,0.0,0.0,6.204415258935893,0.0,7,-0.8885388388042887,0.5940871063669291,1.0956651385312095,0.23955031650996583,0.07905631260454454
random_search,-0.13255299471523108,-0.5592584085794554,-0.33686200531489563,1.810171198447231,70.82446736878005,7,-0.8885388388042887,0.5940871063669291,1.0956651385312095,0.23955031650996583,0.07905631260454454
bayesian_optimization,0.515290439063596,-0.6517647012687671,-1.0,1.8222498101983515,70.6297896876928,7,-0.8885388388042887,0.5940871063669291,1.0956651385312095,0.23955031650996583,0.07905631260454454
fixed_setting,0.0,0.0,0.0,2.7116751337774936,0.0,8,-1.7140527735064124,0.16647682030211608,-0.7862808011111473,0.6119709168829188,0.026044745426310384
random_search,1.5238217874840094,-0.27005189032758126,-0.4233437921395118,2.2294513491509558,17.78324322924247,8,-1.7140527735064124,0.16647682030211608,-0.7862808011111473,0.6119709168829188,0.026044745426310384
bayesian_optimization,0.11018908305617314,-0.19374771916709066,-0.02687436321282477,2.0667057001375717,23.784907919314378,8,-1.7140527735064124,0.16647682030211608,-0.7862808011111473,0.6119709168829188,0.026044745426310384
fixed_setting,0.0,0.0,0.0,9.30367107545292,0.0,9,-0.7490309749969324,-0.9710510464198661,-1.402344235180232,0.3973614734362724,0.07024688016398642
random_search,-2.0180451892325033,0.9662457517052199,-0.08844742033277786,1.6194533468162648,82.59339422382335,9,-0.7490309749969324,-0.9710510464198661,-1.402344235180232,0.3973614734362724,0.07024688016398642
bayesian_optimization,-2.5,0.8610776178575359,-0.5562049978045768,1.5536947276953155,83.30019714696675,9,-0.7490309749969324,-0.9710510464198661,-1.402344235180232,0.3973614734362724,0.07024688016398642
fixed_setting,0.0,0.0,0.0,5.192383584205379,0.0,10,-1.489238708430089,-0.48487499018095237,-1.4904566721200652,0.3048541982526553,0.08638096260554498
random_search,0.420489844563678,0.359631843731568,-0.8311113577202218,2.0181455054923,61.132580581464325,10,-1.489238708430089,-0.48487499018095237,-1.4904566721200652,0.3048541982526553,0.08638096260554498
bayesian_optimization,-2.3946755342641133,0.41196734826061787,-0.8986633489130091,2.005582782839668,61.37452577770996,10,-1.489238708430089,-0.48487499018095237,-1.4904566721200652,0.3048541982526553,0.08638096260554498
fixed_setting,0.0,0.0,0.0,6.964388694133309,0.0,11,-0.2908049148681995,0.6702046946171389,0.34947375423056926,0.21286712960901985,0.12165331669771245
random_search,-0.13255299471523108,-0.5592584085794554,-0.33686200531489563,1.7964320453609917,74.20545974301696,11,-0.2908049148681995,0.6702046946171389,0.34947375423056926,0.21286712960901985,0.12165331669771245
bayesian_optimization,0.28397269792439284,-0.6533601767297336,-1.0,1.7187281339649365,75.3211917161837,11,-0.2908049148681995,0.6702046946171389,0.34947375423056926,0.21286712960901985,0.12165331669771245
fixed_setting,0.0,0.0,0.0,5.302791509987709,0.0,12,-0.002052998787930971,0.5176206420077356,0.1982672589801564,0.3499522892458073,0.05942316666261351
random_search,-0.13255299471523108,-0.5592584085794554,-0.33686200531489563,1.7763218843076558,66.50213607376442,12,-0.002052998787930971,0.5176206420077356,0.1982672589801564,0.3499522892458073,0.05942316666261351
bayesian_optimization,-0.02921481912958601,-0.5334076131356323,-0.9094187010563848,1.7667908823998681,66.6818716317217,12,-0.002052998787930971,0.5176206420077356,0.1982672589801564,0.3499522892458073,0.05942316666261351
fixed_setting,0.0,0.0,0.0,2.258807652371553,0.0,13,-1.9110588483204847,-0.061298423664074786,0.37067520647431706,0.7568907368085935,0.06529891202482302
random_search,-1.3638063910761156,0.1310034888380036,-0.8723654877916494,2.0900969990695883,7.469013712824678,13,-1.9110588483204847,-0.061298423664074786,0.37067520647431706,0.7568907368085935,0.06529891202482302
bayesian_optimization,0.3507118607055828,0.1030125146753409,-0.37554197943416123,1.8277217169726143,19.084667742573632,13,-1.9110588483204847,-0.061298423664074786,0.37067520647431706,0.7568907368085935,0.06529891202482302
fixed_setting,0.0,0.0,0.0,2.2166550237255724,0.0,14,-0.05743438768001141,0.03823028795899108,-0.27422706002365227,0.4630365750809978,0.010552600991358796
random_search,0.8420148089523583,-0.06936910525648199,0.13047221296237765,2.0480133204302415,7.607936349603545,14,-0.05743438768001141,0.03823028795899108,-0.27422706002365227,0.4630365750809978,0.010552600991358796
