assembly_id,component_index,zero_quality,deterministic_quality,structured_quality,deterministic_z_adj,deterministic_theta_adj,deterministic_locator_offset,deterministic_utilization,least_squares_success,structured_advantage,winner,utilization_quartile,component_initial_quality_quartile
100001,1,0.0277058363119585,0.0385548560215369,0.0277010497531896,-1.287300763231113e-19,0.0017481239141562,-0.0001284683629305,0.0014567699284635,True,0.010853806268347303,STRUCTURED20,U1_lowest,Q1_lowest
100001,2,0.123630054846124,0.1365013239449199,0.10159373423819,0.0120667953314179,0.0072387832562687,-0.0118441802328255,0.0118441802328255,True,0.0349075897067299,STRUCTURED20,U1_lowest,Q1_lowest
100001,3,0.3465435732604848,0.3080898915190996,0.3309599979772978,-0.1419000685997135,0.0067599545224857,-0.253944857325669,0.253944857325669,True,-0.022870106458198203,DETERMINISTIC_LSQ,U4_highest,Q2
100001,4,0.4263375268795231,0.3151158018139796,0.3199195471204686,-0.1039627318557247,1.5902773407317584e-15,-0.065166843713859,0.065166843713859,True,-0.004803745306489027,DETERMINISTIC_LSQ,U2,Q2
100001,5,0.4686975441677335,0.3914315652655237,0.3398119891241024,-3.8506702427028725e-17,0.0034953769600079,1.801808485399348e-17,0.0029128141333399,True,0.05161957614142132,STRUCTURED20,U1_lowest,Q2
100002,1,0.4679964347589239,2.8241406006276728e-05,4.975972214397733e-05,0.2988750268812797,0.0319324943228525,0.0329824631803815,0.1195500107525118,True,-2.1518316137700602e-05,DETERMINISTIC_LSQ,U2,Q2
100002,2,0.55758631055669,2.824140600608331e-05,3.5348009997244766e-05,0.1295639275182897,-3.157577785786372e-17,-4.10810629278062e-17,0.0518255710073158,True,-7.106603991161457e-06,DETERMINISTIC_LSQ,U1_lowest,Q3
100002,3,0.4195726965662235,2.82414060060617e-05,2.9622444949604568e-05,-2.630753417009792e-19,-0.0172815154404277,-5.480641981914225e-17,0.0144012628670231,True,-1.381038943542868e-06,DETERMINISTIC_LSQ,U1_lowest,Q2
100002,4,0.4239709580572922,0.1680311671005754,0.1780462019770173,-0.0753143174226967,0.0078123827057329,-0.1347827649501607,0.1347827649501607,True,-0.010015034876441897,DETERMINISTIC_LSQ,U3,Q2
100002,5,0.4635510198011304,0.203984941594216,0.2090657065341715,-0.0426483594765549,0.0082649770820475,-0.0606264557832391,0.0606264557832391,True,-0.00508076493995549,DETERMINISTIC_LSQ,U1_lowest,Q2
100003,1,0.0820091604085806,0.0135476363425221,0.0520622846411376,-0.0273087153418907,-0.0073470285965369,-0.0210165185463407,0.0210165185463407,True,-0.038514648298615506,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100003,2,0.1125661499556422,0.0728553412203018,0.0719048251004718,-4.9623945579656005e-18,0.0030350572794968,4.336808689942019e-19,0.0025292143995807,True,0.0009505161198299916,STRUCTURED20,U1_lowest,Q1_lowest
100003,3,0.5487078123950531,0.1346516013038341,0.1110443244279986,0.6831614890485991,0.0028028630631208,-0.00208059085278,0.2732645956194396,True,0.02360727687583551,STRUCTURED20,U4_highest,Q3
100003,4,0.5926656279702631,0.1935044116029642,0.1432323269765281,-5.005034638254215e-17,0.0026741420828973,0.0875349890748209,0.0875349890748209,True,0.05027208462643609,STRUCTURED20,U2,Q3
100003,5,0.4916328895506952,0.2115516085456289,0.2203657714941582,-0.0975497659612774,0.0,-0.1745754011512791,0.1745754011512791,True,-0.008814162948529297,DETERMINISTIC_LSQ,U3,Q2
100004,1,0.1864838015617625,1.277577862901601e-16,0.0,-0.2664054308025179,-3.3168861145520832e-18,4.235912984405681e-18,0.1065621723210071,True,1.277577862901601e-16,TIE,U2,Q1_lowest
100004,2,0.6033871393269551,0.0117904037684958,0.020774008750129,-0.199363865754299,0.0333302741109768,-0.0296997781589021,0.0797455463017196,True,-0.008983604981633201,DETERMINISTIC_LSQ,U2,Q3
100004,3,0.8997780337590401,0.0117904037684958,0.0147573144974077,-2.6562238342099588e-17,0.0361660694909553,0.0080863100501291,0.0301383912424627,True,-0.002966910728911901,DETERMINISTIC_LSQ,U1_lowest,Q4_highest
100004,4,1.0987561905822265,0.0117904037684989,0.0123669687865762,-0.286075740730565,3.975693351829396e-16,-0.0609410369999596,0.114430296292226,True,-0.0005765650180773012,DETERMINISTIC_LSQ,U2,Q4_highest
100004,5,1.0842060442014714,0.0117904037684957,0.0113372373242603,0.0210648709028114,-4.279612218756786e-16,5.569177958718262e-17,0.0084259483611245,True,0.0004531664442354016,STRUCTURED20,U1_lowest,Q4_highest
100005,1,0.0107362791340602,0.0060934347089392,0.0107362791340602,0.0156377270561414,0.0,-0.0153492333795063,0.0153492333795063,True,-0.004642844425121,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100005,2,0.5156919322292562,0.0060934347089393,0.0076267729362681,-0.7430216215389346,-2.137092341275661e-18,-1.0347711273685732e-16,0.2972086486155738,True,-0.0015333382273288003,DETERMINISTIC_LSQ,U4_highest,Q2
100005,3,0.5066329484346691,0.0186041600559131,0.0277700872191074,0.0321065733195218,3.975693351829396e-16,-0.0315142530067391,0.0315142530067391,True,-0.009165927163194303,DETERMINISTIC_LSQ,U1_lowest,Q2
100005,4,0.5070086223104987,0.0180844730231308,0.0204951708516538,-0.001333685246729,-4.0999337690740647e-16,0.0013090806632802,0.0013090806632802,True,-0.002410697828523,DETERMINISTIC_LSQ,U1_lowest,Q2
100005,5,0.6642064751889215,0.0358642696327352,0.16092821807686,-0.1166877958755119,0.0,-0.2088248861869365,0.2088248861869365,True,-0.1250639484441248,DETERMINISTIC_LSQ,U3,Q3
100006,1,0.43561497983783,0.0514505364702088,0.1126869361753456,-0.1219722978277606,-0.0420918398279058,-0.0723652569812333,0.0723652569812333,True,-0.0612363997051368,DETERMINISTIC_LSQ,U2,Q2
100006,2,0.4619940841433114,0.0514505364702072,0.0661689075573195,0.1781533084149676,-2.0488948796205341e-16,1.4964137276044063e-16,0.071261323365987,True,-0.014718371087112297,DETERMINISTIC_LSQ,U2,Q2
100006,3,0.6388680062349692,0.2041031630883895,0.319690957973997,-0.343244462668656,0.0065339335063347,-0.2493137304809476,0.2493137304809476,True,-0.1155877948856075,DETERMINISTIC_LSQ,U4_highest,Q3
100006,4,0.7366653797888905,0.2017843750168565,0.2329064298770528,-0.099999805665879,-1.5902773407317584e-15,-0.2075702892866105,0.2075702892866105,True,-0.031122054860196285,DETERMINISTIC_LSQ,U3,Q3
