assembly_id,zero_final_quality,direct_final_quality,deterministic_final_quality,structured_final_quality,structured_regret_vs_direct,deterministic_regret_vs_direct,structured_closer_to_direct
100001,0.4686975441677335,0.2858490541850847,0.3914315652655237,0.3398119891241024,0.05396293493901766,0.10558251108043898,True
100002,0.4635510198011304,0.1500647651026978,0.203984941594216,0.2090657065341715,0.05900094143147369,0.0539201764915182,False
100003,0.4916328895506952,0.1561067353990935,0.2115516085456289,0.2203657714941582,0.0642590360950647,0.0554448731465354,False
100004,1.0842060442014714,0.0153803686056568,0.0117904037684957,0.0113372373242603,-0.0040431312813965,-0.0035899648371610984,False
100005,0.6642064751889215,0.0507812105015851,0.0358642696327352,0.16092821807686,0.1101470075752749,-0.014916940868849898,False
100006,0.8737619534818086,0.1825465243367307,0.2288983082258148,0.281047868782925,0.0985013444461943,0.04635178388908412,False
100007,0.2289960089452818,0.1308928455020958,0.1790899815466004,0.1494604718638093,0.018567626361713524,0.048197136044504624,True
100008,0.8062418738495909,0.1553615174561939,0.1979362583805025,0.2543130560859588,0.09895153862976488,0.0425747409243086,False
100009,0.6601391083490844,0.1700469810216203,0.2286679889728413,0.179855197966761,0.009808216945140696,0.058621007951220994,True
100010,0.3657680375530181,0.1563190370546131,0.1968888471065776,0.2781225731446263,0.12180353609001318,0.0405698100519645,False
100011,0.335734328085826,0.089141386788194,0.1110766228004867,0.0858503490022155,-0.003291037785978501,0.021935236012292705,True
100012,0.3923220375696787,0.2131039733534815,0.2899658110917173,0.2783814258308629,0.0652774524773814,0.07686183773823582,True
100013,0.1660402407125339,0.0330804206587576,0.0335964102282604,0.0866541918555078,0.05357377119675019,0.0005159895695027936,False
100014,0.4271643180003009,0.083015674482604,0.1023119737890749,0.1796789024586036,0.0966632279759996,0.019296299306470907,False
100015,0.0643854288056136,0.0599571204606822,0.0833430773641939,0.0615447942791199,0.0015876738184376973,0.023385956903511695,True
100016,0.4071650229883021,0.3406230591289288,0.4673416837445636,0.3964020808153755,0.05577902168644666,0.12671862461563477,True
100017,0.3116204018492063,0.1134847994693553,0.1482423128268947,0.170398241583146,0.05691344211379071,0.034757513357539405,False
100018,0.9454927829709754,0.2195069260423967,0.2938660920090236,0.3035282557387521,0.0840213296963554,0.0743591659666269,False
100019,0.5640808402962245,0.0991878819419632,0.1201629702590747,0.1622896372649866,0.06310175532302341,0.020975088317111507,False
100020,0.970797125439222,0.1324097083451819,0.1777091158354496,0.151342341141245,0.01893263279606311,0.0452994074902677,True
100021,0.984337840958732,0.1113839601495427,0.1368690839159204,0.1298305292830048,0.018446569133462085,0.025485123766377696,True
100022,0.289603455799798,0.1505389648518718,0.1923194241340463,0.2067098923679152,0.05617092751604341,0.0417804592821745,False
100023,0.4497174103163716,0.0526049662698579,0.0672195124211061,0.0717670005961089,0.019162034326250993,0.0146145461512482,False
100024,0.4518401601118228,0.1593567479526824,0.2059646511223277,0.2581004692392147,0.0987437212865323,0.046607903169645304,False
100025,0.6572303151351303,0.1915816159098583,0.2542140382038013,0.2273781976722506,0.03579658176239228,0.06263242229394297,True
100026,0.5446505226150772,0.1016947017082148,0.124158765082098,0.1686015025008398,0.066906800792625,0.022464063373883195,False
100027,0.3663623540527943,0.1014778714001335,0.1212183698994613,0.1339019897560332,0.0324241183558997,0.019740498499327797,False
100028,0.4780277968696324,0.1626723295918213,0.221585093342894,0.2321732840849327,0.06950095449311142,0.05891276375107271,False
100029,0.5155696035755715,0.122497672018226,0.1667707446833393,0.1801504114291368,0.057652739410910786,0.044273072665113294,False
100030,1.3655728409158183,0.1067535587147453,0.139415628336468,0.1576998553183108,0.05094629660356549,0.0326620696217227,False
100031,0.2082115813512549,0.1497090499371732,0.193758304699513,0.2149287379152025,0.0652196879780293,0.044049254762339785,False
100032,0.5173858454002654,0.072989324770317,0.0818532127302785,0.1085964750010016,0.0356071502306846,0.0088638879599615,False
100033,0.2571293280119716,0.1151930776255269,0.1426422255836418,0.1709408684158275,0.05574779079030061,0.027449147958114914,False
100034,0.3889899048438474,0.0317182033347011,0.0369276351282797,0.0711293151313888,0.0394111117966877,0.005209431793578599,False
100035,0.3617749802187941,0.1171231753826562,0.1492906342780907,0.1747741985372666,0.05765102315461042,0.0321674588954345,False
100036,0.6183498455036242,0.2940911812419685,0.4008484254885371,0.3719346180545548,0.07784343681258632,0.10675724424656863,True
100037,0.4458846073766435,0.2167151911248616,0.2910911018756639,0.2758327814716427,0.0591175903467811,0.0743759107508023,True
