feature,importance
state_profile_p050,0.06502053074915366
lsq_locator_offset_mm,0.0499432298381753
state_profile_p030,0.04897763123116677
state_profile_p070,0.04826428305475991
state_profile_p100,0.04690003280356318
state_profile_p000,0.046014522297099514
lsq_z_adj_mm,0.04600166293764688
state_profile_p020,0.044522001566179796
state_signed_mean,0.04348176785686397
state_profile_p040,0.04024383450203078
state_profile_p060,0.03976086888524351
state_profile_p080,0.03910123210284227
state_profile_p090,0.03717659241349314
component_profile_rms,0.03651470338118452
state_profile_p010,0.03580119199446368
lsq_utilization,0.03558029827694367
component_parallelism,0.035401573806393354
state_max_gap,0.03334547515738587
state_mean_gap,0.032416566875288905
state_rms,0.03169819422161098
lsq_theta_adj_deg,0.030414935496847408
state_estimated_angle_deg,0.028663692261450553
state_signed_end_difference,0.02843324714269378
state_quality,0.028325895358868123
state_parallelism,0.027776108760905215
component_index,0.020219927027745232
