assembly_index,component_index,method,pre_quality,post_quality,z_adj_mm,theta_adj_deg,locator_offset_mm,applied_delta_z_mm,applied_delta_theta_deg,applied_delta_locator_mm,utilization,reference_success,reference_evaluations
1,1,ZERO,0.25233803826598694,0.25233803826598694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,1,LSQ,0.25233803826598694,0.04857445165259054,0.3046070312623701,0.00028404353199933076,0.009442440914718273,0.0,0.0,0.0,0.12184281250494804,,0
1,1,LSQ_PLUS_ML_THETA,0.25233803826598694,0.052735115722434694,0.3046070312623701,-0.0003781266297746014,0.009442440914718273,0.0,-0.0006621701617739322,0.0,0.12184281250494804,,0
1,1,LSQ_PLUS_ML_Z_THETA,0.25233803826598694,0.057492736116136575,0.2725802527779543,-0.0003781266297746014,0.009442440914718273,-0.03202677848441582,-0.0006621701617739322,0.0,0.10903210111118171,,0
1,1,LSQ_PLUS_ML_ALL,0.25233803826598694,0.059758984257039405,0.2725802527779542,-0.0003781266297746015,-0.021022218714677104,-0.032026778484415874,-0.0006621701617739323,-0.030464659629395378,0.1090321011111817,,0
1,1,DIRECT_NONLINEAR_REFERENCE,0.25233803826598694,0.029749988265146056,0.2984198221355093,0.002461806278753212,-0.01585217413754653,-0.006187209126860771,0.002177762746753881,-0.025294615052264803,0.11936792885420373,False,643
1,2,ZERO,0.6491351253990911,0.6491351253990911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,2,LSQ,0.8022713066778677,0.141113554621652,-0.42765962045527617,-0.05776321373706364,0.1640349357756832,0.0,0.0,0.0,0.17106384818211046,,0
1,2,LSQ_PLUS_ML_THETA,0.7963073753490381,0.13605661072179004,-0.42765962045527617,-0.05612268682038733,0.16403493577568318,0.0,0.0009409396993851626,0.0,0.17106384818211046,,0
1,2,LSQ_PLUS_ML_Z_THETA,0.776406159259999,0.11655157941308991,-0.35119868071160426,-0.055483581503423446,0.164034935775683,0.04265234716936983,0.0015800797094186608,0.0,0.164034935775683,,0
1,2,LSQ_PLUS_ML_ALL,0.7732651523293312,0.12077289297635721,-0.35537628524802417,-0.0557816147188775,0.15041903222768738,0.038474742632949865,0.0012820464939646073,-0.045775468576560646,0.15041903222768738,,0
1,2,DIRECT_NONLINEAR_REFERENCE,0.8155814338055463,0.19452281319441866,-0.5110550478633249,-0.053824743009013076,0.3180353131580449,-0.08992686273938655,0.0062392479203074655,0.1272984930501006,0.3180353131580449,False,731
1,3,ZERO,0.3134948062132562,0.3134948062132562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,3,LSQ,0.8352461507613267,0.18695410564069131,0.26960826713860264,0.07590744012286313,0.10137064325223115,0.0,0.0,0.0,0.10784330685544105,,0
1,3,LSQ_PLUS_ML_THETA,0.825693675914578,0.15197664479921133,0.2694829457571901,0.07097017776367043,0.1014187120522022,0.0,-0.003814279062451409,0.0,0.10779317830287605,,0
1,3,LSQ_PLUS_ML_Z_THETA,0.7916814706167543,0.14723530575232704,0.22766349825412246,0.06968331828139168,0.10169020584944428,0.009203567061748685,-0.004317996437890659,0.0,0.10169020584944428,,0
1,3,LSQ_PLUS_ML_ALL,0.8020746551854555,0.15284095760724664,0.24295079992125562,0.07030284773294115,0.08942365962349484,0.01989468492689736,-0.004025385978682253,-0.05940662975042178,0.09718031996850225,,0
1,3,DIRECT_NONLINEAR_REFERENCE,0.8188633463204564,0.12835238716571046,0.3085426748949194,0.06396515867831515,0.024942188097536892,-0.05984176037291672,-0.005327273654215342,0.0668085902898288,0.12341706995796775,False,931
1,4,ZERO,0.5289308010687505,0.5289308010687505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,4,LSQ,0.28539612856441166,0.15160393392337748,0.23409022950638425,0.01410782323895599,-0.3980607163406468,0.0,0.0,0.0,0.3980607163406468,,0
1,4,LSQ_PLUS_ML_THETA,0.31540231489551246,0.1497957219346559,0.234224059471279,0.01789308598908445,-0.39801898512380235,0.0,-0.0005127926717255725,0.0,0.39801898512380235,,0
1,4,LSQ_PLUS_ML_Z_THETA,0.3203266306890026,0.1587498508494177,0.20477247947301036,0.018820063750195664,-0.3976880362792067,-0.024816683836556414,-0.00045854154933644073,0.0,0.3976880362792067,,0
1,4,LSQ_PLUS_ML_ALL,0.31088020129362437,0.15497671422433698,0.1949067448968376,0.01820441072542248,-0.31048307817251997,-0.02255565046498645,-0.0006925768550658483,0.026774972854777923,0.31048307817251997,,0
1,4,DIRECT_NONLINEAR_REFERENCE,0.35726442562940425,0.1337081393012428,0.29110069839131786,0.017633748917556775,-0.43358710321104477,0.001665343500469929,-0.002685961679134378,0.024430289771109337,0.43358710321104477,False,1155
1,5,ZERO,0.6208021592818853,0.6208021592818853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,5,LSQ,0.6136980856957428,0.13332478421824803,0.4499715064945397,-0.04596867875171451,-0.2640540584198095,0.0,0.0,0.0,0.2640540584198095,,0
1,5,LSQ_PLUS_ML_THETA,0.6114363634854485,0.11130897958677434,0.4496494002700301,-0.04326469410306068,-0.2635228859478597,0.0,0.0024453578834601683,0.0,0.2635228859478597,,0
1,5,LSQ_PLUS_ML_Z_THETA,0.6300275725621166,0.10225666142067859,0.4381871399905423,-0.0438914767961581,-0.2634991797578967,-0.03806683638496139,0.00193093222768171,0.0,0.2634991797578967,,0
1,5,LSQ_PLUS_ML_ALL,0.623227914398106,0.10026885850292738,0.44247427087229585,-0.043204117978762197,-0.28498319420017165,-0.03239509293102266,0.0023203560945896998,0.011089882014219898,0.28498319420017165,,0
1,5,DIRECT_NONLINEAR_REFERENCE,0.5879465209254028,0.07297602371399509,0.3817898875462877,-0.0362670728460337,-0.2327175089609831,-0.06089642766219905,0.007365675465166553,0.05036626523338761,0.2327175089609831,False,663
1,6,ZERO,0.6980546149139801,0.6980546149139801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,6,LSQ,0.27783293719335633,0.21427703307577695,-0.1839149201140273,-0.017706595413818343,0.07201659832687492,0.0,0.0,0.0,0.07356596804561091,,0
1,6,LSQ_PLUS_ML_THETA,0.3001979681323513,0.19446222171256336,-0.18381912693308305,-0.01729975733627028,0.07193021989776086,0.0,0.003100995198743,0.0,0.07352765077323323,,0
1,6,LSQ_PLUS_ML_Z_THETA,0.27515719108527936,0.21127016543251226,-0.09731344510859297,-0.01661162809306821,0.07237454684998701,0.04817068674504629,0.0031457139400667515,0.0,0.07237454684998701,,0
1,6,LSQ_PLUS_ML_ALL,0.2823520040230785,0.20726088577986707,-0.10056529014363749,-0.016915676289106264,-0.003265828439439733,0.0508736675070183,0.0033031583330952845,-0.0664151680835465,0.040226116057455,,0
1,6,DIRECT_NONLINEAR_REFERENCE,0.31685437751679224,0.2685045967770021,-0.07286113604686867,-0.0033301021916324557,-0.18138787529650036,0.04350663045018795,0.022678322122812334,-0.19988711755748234,0.18138787529650036,False,1011
1,7,ZERO,0.9404509744161902,0.9404509744161902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,7,LSQ,0.6818725963348052,0.42137424768134685,0.43067395364721156,0.006649407048551206,0.04995390460070598,0.0,0.0,0.0,0.17226958145888463,,0
1,7,LSQ_PLUS_ML_THETA,0.6609866249242234,0.3986679276925607,0.43097886788577006,0.007044664977640154,0.049837980024771966,0.0,0.003494931618608331,0.0,0.17239154715430802,,0
1,7,LSQ_PLUS_ML_Z_THETA,0.6263360915998777,0.4149851733132289,0.3271464614426219,0.006925575885313444,0.05007354688638053,-0.049155729334525666,0.003526292923430189,0.0,0.13085858457704874,,0
1,7,LSQ_PLUS_ML_ALL,0.6331323887815584,0.4145517456799505,0.322255118332711,0.0069264768906113,0.13783586583309856,-0.051646079191839334,0.0036504498142934418,0.016248903275237703,0.13783586583309856,,0
1,7,DIRECT_NONLINEAR_REFERENCE,0.578444220034458,0.315787261774044,0.2879526752208945,0.00433289878735648,0.4167726603729008,-0.0914796085975993,0.021351828787344995,0.14943514373390016,0.4167726603729008,False,575
1,8,ZERO,1.4823227162802508,1.4823227162802508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,8,LSQ,0.9677392419532298,0.5552174745958456,0.31174487942677226,0.04154453762261298,-0.04900847838334388,0.0,0.0,0.0,0.1246979517707089,,0
1,8,LSQ_PLUS_ML_THETA,0.9420996533184874,0.5360295147136194,0.31198549988275837,0.04109479260374684,-0.0489645933616802,0.0,0.003083203308921499,0.0,0.12479419995310334,,0
1,8,LSQ_PLUS_ML_Z_THETA,0.9720644126895539,0.5104847752116919,0.3248058535471138,0.04256691533922854,-0.0488626055843132,-0.04812825228371881,0.004554359130823991,0.0,0.1299223414188455,,0
1,8,LSQ_PLUS_ML_ALL,0.9707226610806774,0.5114723845843341,0.3266516804700282,0.042313605954220526,-0.06240198060731415,-0.049209963180477434,0.0044266414737904256,0.011782947970115268,0.13066067218801128,,0
1,8,DIRECT_NONLINEAR_REFERENCE,0.8564127137974729,0.4115372492868851,0.3532245278174446,0.04500258841446487,-0.16982805982048613,-0.0647694533903766,0.024565057159674088,0.06814814206320147,0.16982805982048613,False,975
1,9,ZERO,1.5991729541601276,1.5991729541601276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,9,LSQ,0.5692616568949496,0.3634423880529943,0.07088525847938454,0.0290877451060247,-0.22944725206059574,0.0,0.0,0.0,0.22944725206059574,,0
1,9,LSQ_PLUS_ML_THETA,0.5468829679502644,0.3386170618473231,0.07105364363145403,0.02991009536872692,-0.22948289715308945,0.0,0.0038286486593187147,0.0,0.22948289715308945,,0
1,9,LSQ_PLUS_ML_Z_THETA,0.5304736439788854,0.33975880112055445,0.10151068829833422,0.027626581348985872,-0.22938270100124591,-0.015489727538556264,0.0032817053718801024,0.0,0.22938270100124591,,0
1,9,LSQ_PLUS_ML_ALL,0.5318590797690002,0.3362293803812594,0.09336656688134629,0.02793525894693477,-0.22404602827465192,-0.024500284789195387,0.003434131534812458,0.015567898602450808,0.22404602827465192,,0
1,9,DIRECT_NONLINEAR_REFERENCE,0.39272956210283894,0.26660309907773894,0.11953707309094044,0.021571896396871924,-0.1668592634027737,-0.011545693502628379,0.017433916247304435,0.11714942476375037,0.1668592634027737,False,855
1,10,ZERO,1.6154689821254855,1.6154689821254855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,10,LSQ,1.0216363959317885,0.24586219927739209,0.3723106727371973,-0.0924388364037313,0.14798144932711166,0.0,0.0,0.0,0.14892426909487894,,0
1,10,LSQ_PLUS_ML_THETA,1.0560074916392612,0.2103199150246492,0.3723701876307099,-0.0913622501069922,0.14774822557359799,0.0,0.004940992630900198,0.0,0.14894807505228397,,0
1,10,LSQ_PLUS_ML_Z_THETA,1.056103521820759,0.20302598248348616,0.3650429132987172,-0.09078774373707155,0.14722374216314435,-0.020619221737336157,0.0047263810107635446,0.0,0.14722374216314435,,0
