method,mean_final_quality,median_final_quality,p95_final_quality,beats_lsq_percent,mean_quality_difference_vs_lsq,mean_utilization
ZERO,1.6637115599932604,1.4962402606258935,2.949989345013412,0.0,1.2452000034162212,0.0
LSQ,0.41851155657703903,0.24964278525369638,0.8737883206023352,0.0,0.0,0.23041600316269073
LSQ_PLUS_ML_THETA,0.3854755069145414,0.22017694785971198,0.8280646709367429,100.0,-0.03303604966249753,0.23018382788820518
LSQ_PLUS_ML_Z_THETA,0.3854309164263431,0.21309552616745095,0.8294364349887605,100.0,-0.03308064015069585,0.22619171496716947
LSQ_PLUS_ML_ALL,0.38499477321962317,0.21450220053302863,0.8282838122255571,100.0,-0.03351678335741584,0.20459066815168533
DIRECT_NONLINEAR_REFERENCE,0.32414637582593525,0.25039128775097685,0.6379047773892097,90.0,-0.09436518075110371,0.2753768300947695
