assembly_index,component_index,method,pre_quality,post_quality,base_composite_q_z_adj_mm,base_composite_q_theta_adj_deg,base_composite_q_locator_offset_mm,predicted_delta_z_mm,predicted_delta_theta_deg,predicted_delta_locator_mm,applied_delta_z_mm,applied_delta_theta_deg,applied_delta_locator_mm,final_z_adj_mm,final_theta_adj_deg,final_locator_offset_mm,final_utilization
1,1,COMPOSITE_Q,0.25146948141146375,0.10681297634110966,0.154006770632151,0.009565151731527007,-0.2913767670174401,0.0,0.0,0.0,0.0,0.0,0.0,0.154006770632151,0.009565151731527007,-0.2913767670174401,0.2913767670174401
1,2,COMPOSITE_Q,0.9146144628987336,0.1571004314870165,-0.01858331114570835,-0.08039936782013839,-0.07232968260444293,0.0,0.0,0.0,0.0,0.0,0.0,-0.01858331114570835,-0.08039936782013839,-0.07232968260444293,0.07232968260444293
1,3,COMPOSITE_Q,1.1467000138306804,0.11348059116175298,0.3482426452571093,-0.08760243418509085,-0.3139198941450355,0.0,0.0,0.0,0.0,0.0,0.0,0.3482426452571093,-0.08760243418509085,-0.3139198941450355,0.3139198941450355
1,4,COMPOSITE_Q,0.7896187345137828,0.16955548329492756,-0.1610749523530459,-0.06230342160620493,-0.2671826340865432,0.0,0.0,0.0,0.0,0.0,0.0,-0.1610749523530459,-0.06230342160620493,-0.2671826340865432,0.2671826340865432
1,5,COMPOSITE_Q,1.0106885647437358,0.24292624510325272,0.06469632372953095,0.07868180147586054,-0.06837013471786227,0.0,0.0,0.0,0.0,0.0,0.0,0.06469632372953095,0.07868180147586054,-0.06837013471786227,0.06837013471786227
1,6,COMPOSITE_Q,0.9092111224281946,0.3238159368701561,-0.14153044980514365,-0.06343002852756498,-0.2560559486903002,0.0,0.0,0.0,0.0,0.0,0.0,-0.14153044980514365,-0.06343002852756498,-0.2560559486903002,0.2560559486903002
1,7,COMPOSITE_Q,0.9491923936190725,0.24782653781372957,0.012840086315842474,-0.0721643620481705,-0.20742462528407085,0.0,0.0,0.0,0.0,0.0,0.0,0.012840086315842474,-0.0721643620481705,-0.20742462528407085,0.20742462528407085
1,8,COMPOSITE_Q,0.4046048506627499,0.21678637039877469,-0.045216388881759634,-0.0232500016877031,0.13487164743401955,0.0,0.0,0.0,0.0,0.0,0.0,-0.045216388881759634,-0.0232500016877031,0.13487164743401955,0.13487164743401955
1,9,COMPOSITE_Q,0.7318099873808342,0.2532237438010753,0.4794674881732355,0.027530233791366248,-0.2614168817323846,0.0,0.0,0.0,0.0,0.0,0.0,0.4794674881732355,0.027530233791366248,-0.2614168817323846,0.2614168817323846
1,10,COMPOSITE_Q,1.0469838816856818,0.2610458648295884,-0.20131232122150827,-0.07680579811756177,-0.46498922634780276,0.0,0.0,0.0,0.0,0.0,0.0,-0.20131232122150827,-0.07680579811756177,-0.46498922634780276,0.46498922634780276
1,1,COMPOSITE_Q_PLUS_RF,0.25146948141146375,0.10681304613647823,0.154006770632151,0.009565151731527007,-0.2913767670174401,2.3394134203233642e-07,-2.416323312981596e-11,-5.907207875152765e-11,2.3394134202048278e-07,-2.41632339137432e-11,-5.907208056044055e-11,0.15400700457349303,0.009565151707363773,-0.29137676707651217,0.29137676707651217
1,2,COMPOSITE_Q_PLUS_RF,0.9146143913063131,0.1570964603279801,-0.018577696057544914,-0.08039989797174818,-0.07231040257698174,2.774017012625973e-08,-4.440835733302155e-11,-6.46595338212034e-10,2.7740170126244745e-08,-4.440835199570614e-11,-6.465953328316232e-10,-0.018577668317374788,-0.08039989801615653,-0.07231040322357707,0.07231040322357707
1,3,COMPOSITE_Q_PLUS_RF,1.1466903175276204,0.11348152325237237,0.34823698160399,-0.08760194611915227,-0.31393854053674536,2.7001408582272665e-06,-2.6990160823075362e-08,-1.2408883939580502e-05,2.700140858236111e-06,-2.699016082852168e-08,-1.2408883939607485e-05,0.34823968174484826,-0.0876019731093131,-0.31395094942068497,0.31395094942068497
1,4,COMPOSITE_Q_PLUS_RF,0.7896181862267001,0.16955559956635335,-0.16108261788764677,-0.062303376293511126,-0.26710762863037885,5.454076090926808e-12,-5.945375204935637e-11,-1.2459282555945567e-08,5.454081630773544e-12,-5.945375441962497e-11,-1.2459282550114636e-08,-0.1610826178821927,-0.06230337635296488,-0.2671076410896614,0.2671076410896614
1,5,COMPOSITE_Q_PLUS_RF,1.0106868825097708,0.2429262784295098,0.0647012116040111,0.0786817697205128,-0.06843282557234037,-7.129665908346729e-10,-7.1282810570597e-11,3.5932584102991713e-07,-7.129665885452496e-10,-7.128281298562911e-11,3.5932584102615905e-07,0.06470121089104451,0.07868176964922999,-0.06843246624649935,0.06843246624649935
1,6,COMPOSITE_Q_PLUS_RF,0.9092110136231778,0.32381612532857973,-0.14153062360341098,-0.06343002355193415,-0.25605361522653036,2.2032141384749354e-07,-4.118889334754589e-11,3.665820065832593e-06,2.2032141383521164e-07,-4.1188899513322497e-11,3.665820065834602e-06,-0.14153040328199715,-0.06343002359312305,-0.2560499494064645,0.2560499494064645
1,7,COMPOSITE_Q_PLUS_RF,0.949192477073938,0.2478267323731985,0.012840122504311364,-0.07216436188122356,-0.20743119088588052,1.3280808366766744e-07,-3.183307759592635e-11,3.950982010753607e-06,1.3280808366759878e-07,-3.183307784038192e-11,3.950982010753057e-06,0.012840255312395032,-0.07216436191305664,-0.20742723990386977,0.20742723990386977
1,8,COMPOSITE_Q_PLUS_RF,0.4046046640058936,0.2167863996924192,-0.0452246214953343,-0.023250003987222077,0.13500725235156819,1.8867106913706213e-08,4.657962190652207e-09,-9.016663965835301e-11,1.8867106911513165e-08,4.657962189569265e-09,-9.016665192262963e-11,-0.04522460262822739,-0.023249999329259887,0.13500725226140153,0.13500725226140153
1,9,COMPOSITE_Q_PLUS_RF,0.7317998403692945,0.2532288481568965,0.4794712558669956,0.027530210677622933,-0.26149662563069637,3.3598456481857237e-05,3.648521797299824e-08,-0.00036595217802058185,3.359845648187587e-05,3.648521797183779e-08,-0.000365952178020601,0.4795048543234775,0.027530247162840905,-0.26186257780871697,0.26186257780871697
1,10,COMPOSITE_Q_PLUS_RF,1.0469462308011728,0.26104613731340304,-0.20134110721106735,-0.07680590183697251,-0.46470362571230983,1.2758728105596466e-07,-7.105575734438478e-11,-1.4475443967165163e-07,1.2758728104578232e-07,-7.105575849930545e-11,-1.447544396571132e-07,-0.2013409796237863,-0.07680590190802827,-0.4647037704667495,0.4647037704667495
1,1,COMPOSITE_Q_PLUS_GB,0.25146948141146375,0.10681295628699428,0.154006770632151,0.009565151731527007,-0.2913767670174401,1.2778063062905622e-07,1.9426413871663075e-09,-3.8934945337695875e-06,1.2778063063212386e-07,1.942641388030797e-09,-3.893494533779851e-06,0.15400689841278165,0.009565153674168395,-0.29138066051197387,0.29138066051197387
1,2,COMPOSITE_Q_PLUS_GB,0.914614435060824,0.15710045105048226,-0.01855943789720033,-0.08039990091102024,-0.07236256998372256,-5.594624565872942e-08,-2.7354056673815447e-10,-4.625369831419062e-07,-5.594624565702366e-08,-2.735405651987932e-10,-4.6253698314513425e-07,-0.018559493843445986,-0.0803999011845608,-0.07236303252070571,0.07236303252070571
1,3,COMPOSITE_Q_PLUS_GB,1.1466861915071538,0.11348115828251262,0.3482190957229907,-0.0876019935693571,-0.3138772542718024,-9.995440896444033e-07,4.6041047877229394e-08,2.944461158731487e-06,-9.995440896637398e-07,4.6041047876976826e-08,2.944461158727041e-06,0.34821809617890104,-0.08760194752830923,-0.3138743098106437,0.3138743098106437
1,4,COMPOSITE_Q_PLUS_GB,0.7896198266822291,0.16955564986199959,-0.16107363626273677,-0.062303479316188314,-0.2671920751773063,-4.953504747979718e-08,-2.7354056673815447e-10,3.926502857858204e-06,-4.9535047480508965e-08,-2.735405651987932e-10,3.926502857853897e-06,-0.16107368579778425,-0.06230347958972888,-0.26718814867444846,0.26718814867444846
1,5,COMPOSITE_Q_PLUS_GB,1.0106884896665151,0.24292632509407985,0.06469651862539179,0.07868181368216136,-0.06837448618655068,-6.004841611177474e-07,1.870594241184796e-09,8.95469662253579e-06,-6.004841611173539e-07,1.8705942350649707e-09,8.954696622529013e-06,0.06469591814123067,0.0786818155527556,-0.06836553148992815,0.06836553148992815
1,6,COMPOSITE_Q_PLUS_GB,0.9092116873604937,0.32381597492458547,-0.14152751308400002,-0.06343002672707516,-0.2560946380665013,1.5662924680767436e-07,2.032963627296978e-09,-2.4297807667303727e-06,1.5662924679471502e-07,2.032963630771434e-09,-2.429780766755041e-06,-0.14152735645475323,-0.06343002469411153,-0.25609706784726805,0.25609706784726805
1,7,COMPOSITE_Q_PLUS_GB,0.9491911797356885,0.24782655837090817,0.012837628899708159,-0.07216437704841012,-0.20739349677972338,5.4620254027304766e-08,2.032963627296978e-09,-1.8618059940103845e-06,5.462025402802606e-08,2.032963630771434e-09,-1.8618059940134213e-06,0.012837683519962187,-0.0721643750154465,-0.2073953585857174,0.2073953585857174
1,8,COMPOSITE_Q_PLUS_GB,0.4046049502816706,0.21678641538828955,-0.04522695844434541,-0.02325000582597171,0.135057683981235,-3.3218049749817904e-07,2.347764825003714e-09,1.968065418011526e-06,-3.321804974976139e-07,2.347764826299281e-09,1.9680654180231905e-06,-0.04522729062484291,-0.023250003478206882,0.13505965204665302,0.13505965204665302
