assembly_index,method,final_quality,final_mean_gap,final_max_gap,final_parallelism,final_rms
1,COMPOSITE_Q,0.34865096832552384,0.3300516119862321,0.7044949997249691,1.612393085714814e-08,0.38286979974984214
1,COMPOSITE_Q_PLUS_RF,0.3486513564083983,0.33004503752671266,0.7045052120054858,3.1959394886094117e-07,0.38286185670554107
1,COMPOSITE_Q_PLUS_GB,0.3486507304054039,0.33004014570796897,0.7045105140798621,2.4449476443422213e-08,0.38285525134211607
2,COMPOSITE_Q,0.2737408978391329,0.23427013155895124,0.5825365942826328,6.919597440036007e-07,0.28698672498734484
2,COMPOSITE_Q_PLUS_RF,0.27374156735986244,0.2342759354393963,0.5825301327544117,3.188771230400178e-08,0.2869973733540635
2,COMPOSITE_Q_PLUS_GB,0.27374071481740625,0.23425948552130474,0.5825536768999909,8.671855844522014e-09,0.286967634894608
3,COMPOSITE_Q,0.20645751584338082,0.1912889814308897,0.4206559782007308,9.810555928746467e-08,0.22873998522226882
3,COMPOSITE_Q_PLUS_RF,0.2064583034642323,0.19130496161402716,0.4206455026772812,1.0358915880637198e-07,0.22873133100092183
3,COMPOSITE_Q_PLUS_GB,0.20645757922655505,0.19129011866083678,0.4206552579979027,3.1304671743725976e-08,0.22873956837531667
4,COMPOSITE_Q,0.15736049121625026,0.14084251114274085,0.3294121057195768,1.8446097749258428e-07,0.162840508192617
4,COMPOSITE_Q_PLUS_RF,0.1573604003005965,0.14084689622926075,0.32940737764574957,3.7268386265942866e-08,0.16284106957577543
4,COMPOSITE_Q_PLUS_GB,0.15736038581904782,0.1408476346670994,0.329406586959766,3.188378572271944e-08,0.162841097658525
5,COMPOSITE_Q,0.40514884686115993,0.41486626382534714,0.7787839369636101,5.7248964457912166e-08,0.4705376944978343
5,COMPOSITE_Q_PLUS_RF,0.4051483579260076,0.4148664980500063,0.7787817144754186,4.461828839730231e-08,0.47053880782893687
5,COMPOSITE_Q_PLUS_GB,0.405150040619463,0.41486656447839276,0.7787871586533983,4.9206817787084134e-08,0.47053908917880394
6,COMPOSITE_Q,0.365842507906386,0.3707464403589911,0.7094198577024443,4.684390425557794e-08,0.41792604434784086
6,COMPOSITE_Q_PLUS_RF,0.36584258846289874,0.37074643480660907,0.709420105836648,1.0458428351123317e-07,0.41792594894636603
6,COMPOSITE_Q_PLUS_GB,0.36584301391246493,0.3707464363671389,0.7094215865100622,1.5121879137769412e-08,0.41792602512740845
7,COMPOSITE_Q,0.3487353487828742,0.37077700182616186,0.6535223900269312,3.3173301516864484e-07,0.41445431707041724
7,COMPOSITE_Q_PLUS_RF,0.3487353063882501,0.3707769846926179,0.6535225287443687,7.870070017901298e-08,0.4144542874694408
7,COMPOSITE_Q_PLUS_GB,0.34873554515712535,0.3707770321973096,0.6535233010625663,2.4852394864272043e-08,0.4144543772344409
8,COMPOSITE_Q,0.32235500448054594,0.31036202028581594,0.6449543099966846,4.129956243659194e-08,0.357600930059271
8,COMPOSITE_Q_PLUS_RF,0.32235037460795896,0.3109082735312249,0.6442318947061778,7.936994295132394e-08,0.3580830032575523
8,COMPOSITE_Q_PLUS_GB,0.32235040139405957,0.31096198749994775,0.6441616771595292,6.169963095992159e-09,0.35813300145227556
9,COMPOSITE_Q,0.25110381268046117,0.2092907514282978,0.541602916900373,6.743043401424842e-08,0.25835691952729706
9,COMPOSITE_Q_PLUS_RF,0.25110458218700216,0.20928630224026157,0.5416113577679563,3.633493309562752e-07,0.25835175179737513
9,COMPOSITE_Q_PLUS_GB,0.2511044306453345,0.20929036842871793,0.5416042502312001,1.3599967646493738e-06,0.25835637048329707
10,COMPOSITE_Q,0.5300481678369374,0.5400607395182233,1.0236573619736207,1.268372129548112e-07,0.6093269933822036
10,COMPOSITE_Q_PLUS_RF,0.5300489679452703,0.5400665134968858,1.023651604101161,8.218415348260066e-08,0.6093350801061023
10,COMPOSITE_Q_PLUS_GB,0.5300482376615866,0.5400608520104054,1.023657313897374,2.360330910722297e-07,0.6093271707932556
11,COMPOSITE_Q,0.17156626713607973,0.1639636154348228,0.3448903212092398,8.710333632144796e-08,0.18910060011860083
11,COMPOSITE_Q_PLUS_RF,0.1715688468602849,0.16396502648689756,0.34488817976968256,9.068454253358116e-06,0.18910164447034858
11,COMPOSITE_Q_PLUS_GB,0.17156777392332279,0.16396257165694747,0.3448962338833341,8.956108555890907e-07,0.18909863577981628
12,COMPOSITE_Q,0.3702656871597089,0.39537388958487685,0.6914866733793904,1.7923679165865458e-07,0.44207464499391214
12,COMPOSITE_Q_PLUS_RF,0.37027359467830273,0.39537374425190935,0.6915132834427546,4.689301277838176e-08,0.44207472301999656
12,COMPOSITE_Q_PLUS_GB,0.37026615451874806,0.3953739164674515,0.691488338025846,3.1641457731712563e-08,0.4420746867832149
13,COMPOSITE_Q,0.15028203721682815,0.15178576748083245,0.29171560559756315,2.4662110464923614e-08,0.1723161789467632
13,COMPOSITE_Q_PLUS_RF,0.15028221964924784,0.1517858708379026,0.29171594856357613,2.09339906742656e-07,0.1723161102683221
13,COMPOSITE_Q_PLUS_GB,0.15028362767775352,0.151785700533446,0.2917207098962844,2.1732895427728494e-07,0.17231639350148117
14,COMPOSITE_Q,0.13030838583698745,0.11813636619050731,0.26985387731112,2.1811664557835897e-08,0.13911306242999888
14,COMPOSITE_Q_PLUS_RF,0.13030700399063452,0.11822882201419453,0.26979607688434804,4.074681900223531e-08,0.13899522097026043
14,COMPOSITE_Q_PLUS_GB,0.13030719412791827,0.11823496988457534,0.26979285926218055,3.3787527414785856e-08,0.13898835247633304
15,COMPOSITE_Q,0.28754410036893757,0.287844980557405,0.5643095371569589,1.2404217974992804e-07,0.31897707841974554
15,COMPOSITE_Q_PLUS_RF,0.2875450253641859,0.2878462439860753,0.564310587661689,3.6238560363610617e-07,0.3189786715417557
15,COMPOSITE_Q_PLUS_GB,0.2875474333357951,0.28784606221180065,0.564319161137629,6.44436704000384e-09,0.3189786439765605
16,COMPOSITE_Q,0.14941719746990445,0.13959801376521527,0.30500677309541885,2.8518850170300425e-08,0.16035752856059196
16,COMPOSITE_Q_PLUS_RF,0.14941749049584574,0.13959790876607941,0.30500798003738666,1.554051656804667e-08,0.16035719192650963
16,COMPOSITE_Q_PLUS_GB,0.14941770910806698,0.13959801727927224,0.30500845221383793,2.2768978313880694e-08,0.1603576142944044
17,COMPOSITE_Q,0.40877190198960167,0.38151941754747887,0.8290968463625693,7.976210879556689e-07,0.4558678353026087
17,COMPOSITE_Q_PLUS_RF,0.4087720687131848,0.3815290603829479,0.8290840063729952,1.1261313803689887e-07,0.45588114902460447
17,COMPOSITE_Q_PLUS_GB,0.40877193169746373,0.3815244011657967,0.8290904512464996,2.4289050770676113e-08,0.4558746868705967
18,COMPOSITE_Q,0.1531312309318893,0.1400218782873058,0.31585504946769966,1.8221165104526094e-08,0.16368147139038103
18,COMPOSITE_Q_PLUS_RF,0.15317182783314792,0.14001375696826374,0.31600046141752713,3.55408726615547e-08,0.16367551655148868
18,COMPOSITE_Q_PLUS_GB,0.1531346773733536,0.13994960637557494,0.31595788665935504,3.056642830512324e-08,0.16362420292946137
19,COMPOSITE_Q,0.4936255706802791,0.4902671071150401,0.9681451018759324,1.4641256401715097e-07,0.561018640592181
19,COMPOSITE_Q_PLUS_RF,0.49362568105566546,0.4902673569773879,0.968145120725811,1.1190880783162882e-07,0.5610190417206343
19,COMPOSITE_Q_PLUS_GB,0.49362566189484736,0.4902672744466233,0.9681452480589166,4.4581427771639426e-08,0.5610189176875712
20,COMPOSITE_Q,0.1363534095951035,0.12523735709350514,0.28022474788213236,5.531104646516738e-08,0.147147615090983
20,COMPOSITE_Q_PLUS_RF,0.1363536344096254,0.12523645184223783,0.28022689478258217,7.853755978892707e-10,0.14714630186566735
20,COMPOSITE_Q_PLUS_GB,0.1363534465772621,0.12523775240408325,0.28022423626107473,5.2429551422594756e-08,0.14714834248849262
21,COMPOSITE_Q,0.13885402323368362,0.13001634094009845,0.2835114331353065,9.000862555286204e-08,0.14795664008474466
21,COMPOSITE_Q_PLUS_RF,0.1388574754143183,0.13001604020225582,0.28351404553131515,9.563887187952202e-06,0.14795580528090616
21,COMPOSITE_Q_PLUS_GB,0.13885312389682372,0.1300160394491196,0.2835084605223528,5.550420537348e-07,0.14795607392765872
22,COMPOSITE_Q,0.13999965306908435,0.12034299557409618,0.2984230962713724,1.0137639894214345e-07,0.14369795102524088
22,COMPOSITE_Q_PLUS_RF,0.14000000319963274,0.12034332207867236,0.298423644336298,2.865672204532821e-07,0.1436982730497553
22,COMPOSITE_Q_PLUS_GB,0.13999958881961938,0.12034368444753421,0.298422210889136,8.485352975817761e-10,0.14369819964057737
23,COMPOSITE_Q,0.197838122167095,0.19936203174974415,0.3846759519629828,6.8935775254797e-08,0.2262670637254434
23,COMPOSITE_Q_PLUS_RF,0.19783880318419822,0.1993618200714796,0.38467853544003106,7.042321570338572e-08,0.22626675403780339
23,COMPOSITE_Q_PLUS_GB,0.19783832230216897,0.19936205205325483,0.384676596255227,6.11143793349811e-08,0.22626709475310658
24,COMPOSITE_Q,0.6080206929395886,0.6525715144233172,1.1316346208797368,2.5485963339733075e-10,0.7275885227221461
24,COMPOSITE_Q_PLUS_RF,0.6080244381884204,0.6525688531660065,1.1316417366636973,4.588663446214447e-06,0.7275988464047545
24,COMPOSITE_Q_PLUS_GB,0.6080230151472552,0.6525708549135256,1.131635408688536,7.958580114875158e-06,0.7275874849260222
