method,mean_final_quality,median_final_quality,p95_final_quality,beats_lsq_percent,mean_quality_difference_vs_lsq,mean_utilization
ZERO,1.94923420490662,1.8870067065538725,3.8766110787665466,0.0,1.5396700704734767,0.0
LSQ,0.4095641344331432,0.32076815583450435,0.9713316933623031,0.0,0.0,0.2393831320131604
LSQ_PLUS_ML_THETA,0.3505040399964937,0.2686928628353663,0.8270583147978829,93.33333333333333,-0.0590600944366495,0.23914402630907006
LSQ_PLUS_ML_Z_THETA,0.3475101441876135,0.26624473982004837,0.8125017671196401,96.66666666666667,-0.062053990245529635,0.2350708371686865
LSQ_PLUS_ML_ALL,0.3463305949714952,0.26413478619213326,0.8074934739195588,95.0,-0.06323353946164796,0.22216096945539127
DIRECT_NONLINEAR_REFERENCE,0.31862681794142295,0.2479822772740925,0.7090821748760758,90.0,-0.09093731649172011,0.283328024061091
